soil_pit_number,pit_sample_id,sample_date,latitude,longitude,min_depth,max_depth,field_wet_mass,dry_mass,moisture_mass,sample_volume,sample_volumetric_water_content,field_bulk_density,porosity,saturation_water_fraction,coarse_root_biomass_fraction,fine_organic_mineral_fraction,soil_fraction,soil_organic_matter_fraction,total_organic_matter_fraction,gravel,sand,silt,clay,soil_type
FB-1,FB-1-a-1,2018-08-26,69.812372,-148.766486,0,7.5,-9999,129.9,-9999,251.375,-9999,0.51,0.75,-9999,6.3,51.3,42.4,13.23,7.4,0,72,9,19,Sandy Loam
FB-1,FB-1-a-2,2018-08-26,69.812372,-148.766486,7.5,15,-9999,131.4,-9999,251.375,-9999,0.52,0.79,-9999,3.1,38,58.9,9.98,7.1,0,64,19,17,Sandy Loam
FB-1,FB-1-a-3,2018-08-26,69.812372,-148.766486,15,22,-9999,181.4,-9999,251.375,-9999,0.72,0.64,-9999,1,33.4,65.6,6.94,6,0,60,19,21,Sandy Clay Loam
FB-1,FB-1-a-4,2018-08-26,69.812372,-148.766486,22,29,-9999,158.2,-9999,251.375,-9999,0.63,0.63,-9999,0,39,61,7.1,7.1,0,64,17,19,Sandy Loam
FB-1,FB-1-a-5,2018-08-26,69.812372,-148.766486,29,35.5,-9999,182.6,-9999,251.375,-9999,0.72,0.63,-9999,0,46,54,9.1,9.1,0,15,64,21,Silt Loam
FB-1,FB-1-a-6,2018-08-26,69.812372,-148.766486,35.5,42,-9999,196.3,-9999,251.375,-9999,0.78,0.6,-9999,0,52,48,7.7,7.7,0,49,34,17,loam
FB-1,FB-1-a-7,2018-08-26,69.812372,-148.766486,42,48.5,-9999,228.9,-9999,251.375,-9999,0.91,0.52,-9999,0,45,55,5,5,0,55,22,23,Sandy Clay Loam
FB-1,FB-1-a-8,2018-08-26,69.812372,-148.766486,48.5,55,-9999,227.2,-9999,251.375,-9999,0.9,0.6,-9999,0,42.5,57.5,6.1,6.1,0,49,32,19,Loam
FB-1,FB-1-b-1,2018-08-26,69.812372,-148.766486,0,7.5,-9999,152.2,-9999,251.375,-9999,0.6,0.71,-9999,5,52.7,42.3,11.46,6.8,0,45,32,23,Loam
FB-1,FB-1-b-2,2018-08-26,69.812372,-148.766486,7.5,15,-9999,158.7,-9999,251.375,-9999,0.63,0.74,-9999,3,39,58,9.6,6.8,0,64,15,21,Sandy Clay Loam
FB-1,FB-1-b-3,2018-08-26,69.812372,-148.766486,15,22,-9999,174.5,-9999,251.375,-9999,0.7,0.7,-9999,1.2,37,61.8,6.44,5.3,0,65,14,21,Sandy Clay Loam
FB-1,FB-1-b-4,2018-08-26,69.812372,-148.766486,22,29,-9999,176.9,-9999,251.375,-9999,0.7,0.64,-9999,0,37.4,62.6,6.1,6.1,0,69,16,15,Sandy Clay Loam
FB-1,FB-1-b-5,2018-08-26,69.812372,-148.766486,29,35.5,-9999,178.2,-9999,251.375,-9999,0.71,0.66,-9999,0,53,47,8,8,0,56,23,21,Sandy Clay Loam
FB-1,FB-1-b-6,2018-08-26,69.812372,-148.766486,35.5,42,-9999,198.4,-9999,251.375,-9999,0.79,0.58,-9999,0,53,47,7,6.8,0,52,27,21,Sandy Clay Loam
FB-1,FB-1-b-7,2018-08-26,69.812372,-148.766486,42,48.5,-9999,228.9,-9999,251.375,-9999,0.91,0.57,-9999,0,44.7,55.3,4.4,4.4,0,52,27,21,Sandy Clay Loam
