soil_pit_number,sampling_date,latitude,longitude,sampling_depth,adc_count,electrical_condutiviy,temperature,permitivity_70mhz,loss_70mhz
FB-1,2018-08-26,69.812372,-148.766486,1.5,3154,0.196346541,2.6,39.47,5.05
FB-1,2018-08-26,69.812372,-148.766486,4,3229,0.228107484,2.8,47.59,5.86
FB-1,2018-08-26,69.812372,-148.766486,6,3286,0.31453894,3,55.06,8.08
FB-1,2018-08-26,69.812372,-148.766486,9,3266,0.377349854,3,52.3,9.7
FB-1,2018-08-26,69.812372,-148.766486,11.5,3240,0.472518269,3.1,48.94,12.14
FB-1,2018-08-26,69.812372,-148.766486,14,3230,0.472518269,3.1,47.71,12.14
FB-1,2018-08-26,69.812372,-148.766486,16.5,3186,0.462504837,3.1,42.72,11.89
FB-1,2018-08-26,69.812372,-148.766486,19,3267,0.572980095,3,52.43,14.72
FB-1,2018-08-26,69.812372,-148.766486,21.5,3245,0.537319446,3,49.57,13.81
FB-1,2018-08-26,69.812372,-148.766486,24,3184,0.467484743,3,42.51,12.01
FB-1,2018-08-26,69.812372,-148.766486,26.5,3244,0.493200213,3,49.44,12.67
FB-1,2018-08-26,69.812372,-148.766486,29,3190,0.482748497,3,43.15,12.41
FB-1,2018-08-26,69.812372,-148.766486,31.5,3158,0.389670631,3,39.86,10.01
FB-1,2018-08-26,69.812372,-148.766486,34,3117,0.393866313,3,36.07,10.12
FB-1,2018-08-26,69.812372,-148.766486,36.5,3118,0.373330114,3,36.16,9.59
FB-1,2018-08-26,69.812372,-148.766486,39,3106,0.365418641,3,35.13,9.39
FB-1,2018-08-26,69.812372,-148.766486,41.5,3047,0.342676025,3,30.56,8.81
FB-1,2018-08-26,69.812372,-148.766486,44,2989,0.361525999,2.9,26.78,9.29
FB-1,2018-08-26,69.812372,-148.766486,46.5,2995,0.357674824,2.8,27.14,9.19
FB-1,2018-08-26,69.812372,-148.766486,49,2989,0.353864674,2.9,26.78,9.09
FB-1,2018-08-26,69.812372,-148.766486,51.5,2977,0.31792566,2.9,26.07,8.17
FB-1,2018-08-26,69.812372,-148.766486,54,2779,0.218541985,2.8,17.26,5.62
SGW-1,2018-08-22,69.479578,-148.56442,2,3226,0.129308748,10.8,47.23,3.32
SGW-1,2018-08-22,69.479578,-148.56442,4.5,3025,0.143926093,8.6,29.05,3.7
SGW-1,2018-08-22,69.479578,-148.56442,7,2724,0.086076326,8.4,15.54,2.21
SGW-1,2018-08-22,69.479578,-148.56442,9.5,2758,0.090811225,8.4,16.58,2.33
SGW-1,2018-08-22,69.479578,-148.56442,12,2780,0.101076725,8,17.3,2.6
SGW-1,2018-08-22,69.479578,-148.56442,14.5,2770,0.133530783,8,16.97,3.43
SGW-1,2018-08-22,69.479578,-148.56442,17,2786,0.1518432,7.8,17.5,3.9
SGW-1,2018-08-22,69.479578,-148.56442,19.5,2785,0.158489319,7.5,17.47,4.07
SGW-1,2018-08-22,69.479578,-148.56442,22,2729,0.158489319,7.6,15.69,4.07
SGW-1,2018-08-22,69.479578,-148.56442,24.5,2689,0.147042156,7.5,14.56,3.78
SGW-1,2018-08-22,69.479578,-148.56442,27,2679,0.148625395,7.4,14.29,3.82
SGW-1,2018-08-22,69.479578,-148.56442,29.5,2689,0.145475781,7.2,14.56,3.74
SGW-1,2018-08-22,69.479578,-148.56442,32,2713,0.1518432,7.2,15.22,3.9
SGW-1,2018-08-22,69.479578,-148.56442,34.5,2678,0.167207523,7.3,14.27,4.3
SGW-1,2018-08-22,69.479578,-148.56442,37,2631,0.161920682,7,13.1,4.16
SGW-1,2018-08-22,69.479578,-148.56442,39,2670,0.180224552,6.9,14.06,4.63
SGW-1,2018-08-22,69.479578,-148.56442,41,2688,0.163664123,6.9,14.53,4.21
SGW-1,2018-08-22,69.479578,-148.56442,43,2680,0.113714004,7,14.32,2.92
SGW-2,2018-08-22,69.476578,-148.56443,1.5,3276,0.1764053,7.2,53.66,4.53
SGW-2,2018-08-22,69.476578,-148.56443,4,3360,0.19013837,7.2,66.79,4.89
SGW-2,2018-08-22,69.476578,-148.56443,6.5,3374,0.182165075,7,69.31,4.68
SGW-2,2018-08-22,69.476578,-148.56443,9,3383,0.196346541,7,70.97,5.05
SGW-2,2018-08-22,69.476578,-148.56443,11.5,3375,0.182165075,6.7,69.49,4.68
SGW-2,2018-08-22,69.476578,-148.56443,14,3377,0.174526133,6.6,69.86,4.48
SGW-2,2018-08-22,69.476578,-148.56443,16.5,3365,0.184126492,6.5,67.68,4.73
SGW-2,2018-08-22,69.476578,-148.56443,19,3359,0.19013837,6.4,66.62,4.89
SGW-2,2018-08-22,69.476578,-148.56443,21.5,3324,0.1783047,6.2,60.77,4.58
SGW-2,2018-08-22,69.476578,-148.56443,24,3153,0.233046111,6,39.37,5.99
SGW-2,2018-08-22,69.476578,-148.56443,26.5,2921,0.245865546,5.9,23.07,6.32
SGW-2,2018-08-22,69.476578,-148.56443,29,2890,0.288712187,5.6,21.6,7.42
SGW-2,2018-08-22,69.476578,-148.56443,31.5,2895,0.298138872,5.5,21.83,7.66
SGW-2,2018-08-22,69.476578,-148.56443,34,2889,0.30459371,5.3,21.56,7.83
SGW-2,2018-08-22,69.476578,-148.56443,36.5,2863,0.31792566,4.9,20.42,8.17
SGW-2,2018-08-22,69.476578,-148.56443,39,2854,0.339025651,4.8,20.05,8.71
SGW-2,2018-08-22,69.476578,-148.56443,41,2869,0.346365705,4.7,20.68,8.9
HV-1,2018-08-25,69.155356,-148.838789,1,2067,0.01,8.1,3.58,0.26
HV-1,2018-08-25,69.155356,-148.838789,3,2146,0.017082764,8.3,4.73,0.44
HV-1,2018-08-25,69.155356,-148.838789,5,2481,0.013937537,8.3,10.02,0.36
HV-1,2018-08-25,69.155356,-148.838789,7,2659,0.016019581,8.2,13.78,0.41
HV-1,2018-08-25,69.155356,-148.838789,9,2805,0.023056358,8.2,18.17,0.59
HV-1,2018-08-25,69.155356,-148.838789,11,2920,0.024065525,8.2,23.02,0.62
HV-1,2018-08-25,69.155356,-148.838789,13,3051,0.03111883,8.1,30.85,0.8
HV-1,2018-08-25,69.155356,-148.838789,15,3137,0.033902565,7.9,37.86,0.87
HV-1,2018-08-25,69.155356,-148.838789,17,3189,0.045757798,7.7,43.04,1.18
HV-1,2018-08-25,69.155356,-148.838789,19,3089,0.05093036,7.5,33.73,1.31
HV-1,2018-08-25,69.155356,-148.838789,21,3010,0.068007708,7.1,28.08,1.75
HV-1,2018-08-25,69.155356,-148.838789,23,3039,0.081588304,7,30,2.1
HV-1,2018-08-25,69.155356,-148.838789,25,2989,0.1,6.6,26.78,2.57
HV-1,2018-08-25,69.155356,-148.838789,27,2974,0.102165044,6.3,25.9,2.63
HV-1,2018-08-25,69.155356,-148.838789,29,2970,0.105500815,6,25.67,2.71
HV-1,2018-08-25,69.155356,-148.838789,31,2998,0.101076725,5.7,27.32,2.6
HV-1,2018-08-25,69.155356,-148.838789,33,2983,0.105500815,5.6,26.42,2.71
HV-1,2018-08-25,69.155356,-148.838789,35,3027,0.110118545,5.6,29.19,2.83
HV-1,2018-08-25,69.155356,-148.838789,37,3002,0.107784954,5.7,27.57,2.77
HV-1,2018-08-25,69.155356,-148.838789,39,2999,0.098934745,5.7,27.39,2.54
HV-1,2018-08-25,69.155356,-148.838789,41,3079,0.106636769,5.4,32.94,2.74
HV-1,2018-08-25,69.155356,-148.838789,43,3225,0.134968543,5.5,47.11,3.47
HV-2,2018-08-25,69.155358,-148.8418,1,2157,0.01199692,7.5,4.89,0.31
HV-2,2018-08-25,69.155358,-148.8418,2.5,2188,0.011011855,7.7,5.35,0.28
HV-2,2018-08-25,69.155358,-148.8418,5,2385,0.011011855,7.7,8.37,0.28
HV-2,2018-08-25,69.155358,-148.8418,7.7,2517,0.012930875,7.6,10.68,0.33
HV-2,2018-08-25,69.155358,-148.8418,10,2651,0.019013837,7.6,13.58,0.49
HV-2,2018-08-25,69.155358,-148.8418,12.5,2843,0.018022455,7.2,19.61,0.46
HV-2,2018-08-25,69.155358,-148.8418,15,2835,0.015022568,7.2,19.29,0.39
HV-2,2018-08-25,69.155358,-148.8418,17.5,2897,0.020059753,7.2,21.92,0.52
HV-2,2018-08-25,69.155358,-148.8418,20,3044,0.019013837,7.1,30.35,0.49
HV-2,2018-08-25,69.155358,-148.8418,22.5,3348,0.027074356,6.8,64.72,0.7
HV-2,2018-08-25,69.155358,-148.8418,25,3448,0.044788116,6.4,84.38,1.15
HV-2,2018-08-25,69.155358,-148.8418,27.5,3403,0.045757798,5.8,74.84,1.18
HV-2,2018-08-25,69.155358,-148.8418,30,3392,0.052033024,4.8,72.69,1.34
