lon,lat,date,pf_depth,pf_observed,thaw_depth,obs_limit,site_id,transect_direction,source,comments,method
-148.766486,69.812372,2018-08-26,75,1,75,,FB,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,62,1,62,,FB,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,62,1,62,,FB,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,74,1,74,,FB,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,68,1,68,,FB,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,64,1,64,,FB,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,63,1,63,,FB,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,65,1,65,,FB,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,62,1,62,,FB,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,64,1,64,,FB,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,57,1,57,,FB,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,50,1,50,,FB,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,64,1,64,,FB,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,55,1,55,,FB,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,70,1,70,,FB,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,52,1,52,,FB,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,52,1,52,,FB,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,52,1,52,,FB,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,55,1,55,,FB,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,50,1,50,,FB,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,53,1,53,,FB,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,49,1,49,,FB,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,55,1,55,,FB,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,73,1,73,,FB,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,62,1,62,,FB,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,59,1,59,,FB,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,71,1,71,,FB,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,65,1,65,,FB,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,70,1,70,,FB,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,85,1,85,,FB,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,97,1,97,,FB,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,59,1,59,,FB,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,89,1,89,,FB,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,91,1,91,,FB,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,,1,,,FB,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,,1,,,FB,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,,1,,,FB,N-S,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,72,1,72,,FB,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,73,1,73,,FB,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,65,1,65,,FB,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,71,1,71,,FB,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,59,1,59,,FB,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,70,1,70,,FB,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,58,1,58,,FB,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,53,1,53,,FB,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,66,1,66,,FB,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,59,1,59,,FB,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,50,1,50,,FB,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,69,1,69,,FB,E-W,Bakian_Dogaheh_2020,,tp/pit
-148.766486,69.812372,2018-08-26,78,1,78,,FB,E-W,Bakian_Dogaheh_2020,,tp/pit
