site_id,source,date,lat,lon,pf_observed,pf_depth,thaw_depth,obs_limit,method,barrow_raw_file,barrow_plot_id,barrow_date_token,barrow_date_precision,barrow_n_cases,barrow_thaw_depth_min_cm,barrow_thaw_depth_max_cm,barrow_thaw_depth_mean_cm,barrow_thaw_depth_median_cm
U1_P1,Barrow_CALM_U1,1962-08-01,71.29058,-156.78872,1,42.778,42.778,,tp,62pl1.dat,P1,620800,month,36,32.0,53.0,42.778,42.5
U1_P14,Barrow_CALM_U1,1962-08-01,71.29058,-156.78872,1,54.417,54.417,,tp,62pl14.dat,P14,620800,month,36,45.0,64.0,54.417,55.0
U1_P15,Barrow_CALM_U1,1962-08-01,71.29058,-156.78872,1,53.028,53.028,,tp,62pl15.dat,P15,620800,month,36,45.0,64.0,53.028,52.0
U1_P16,Barrow_CALM_U1,1962-08-01,71.29058,-156.78872,1,45.083,45.083,,tp,62pl16.dat,P16,620800,month,36,32.0,58.0,45.083,46.5
U1_P19,Barrow_CALM_U1,1962-08-01,71.29058,-156.78872,1,53.028,53.028,,tp,62pl19.dat,P19,620800,month,36,38.0,74.0,53.028,52.5
U1_P21,Barrow_CALM_U1,1962-08-01,71.29058,-156.78872,1,47.639,47.639,,tp,62pl21.dat,P21,620800,month,36,38.0,57.0,47.639,48.0
U1_P25,Barrow_CALM_U1,1962-08-01,71.29058,-156.78872,1,32.611,32.611,,tp,62pl25.dat,P25,620800,month,36,26.0,40.0,32.611,33.0
U1_P29,Barrow_CALM_U1,1962-08-01,71.29058,-156.78872,1,43.806,43.806,,tp,62pl29.dat,P29,620800,month,36,35.0,52.0,43.806,44.0
U1_P30,Barrow_CALM_U1,1962-08-01,71.29058,-156.78872,1,35.667,35.667,,tp,62pl30.dat,P30,620800,month,36,31.0,43.0,35.667,35.0
U1_P33,Barrow_CALM_U1,1962-08-01,71.29058,-156.78872,1,39.694,39.694,,tp,62pl33.dat,P33,620800,month,36,32.0,45.0,39.694,40.0
U1_P34,Barrow_CALM_U1,1962-08-01,71.29058,-156.78872,1,38.583,38.583,,tp,62pl34.dat,P34,620800,month,36,34.0,45.0,38.583,38.0
U1_P37,Barrow_CALM_U1,1962-08-01,71.29058,-156.78872,1,41.972,41.972,,tp,62pl37.dat,P37,620800,month,36,34.0,53.0,41.972,41.0
U1_P40,Barrow_CALM_U1,1962-08-01,71.29058,-156.78872,1,39.889,39.889,,tp,62pl40.dat,P40,620800,month,36,30.0,56.0,39.889,38.0
U1_P44,Barrow_CALM_U1,1962-08-01,71.29058,-156.78872,1,39.222,39.222,,tp,62pl44.dat,P44,620800,month,36,29.0,53.0,39.222,38.5
U1_P45,Barrow_CALM_U1,1962-08-01,71.29058,-156.78872,1,35.417,35.417,,tp,62pl45.dat,P45,620800,month,36,29.0,41.0,35.417,36.0
U1_P48,Barrow_CALM_U1,1962-08-01,71.29058,-156.78872,1,43.278,43.278,,tp,62pl48.dat,P48,620800,month,36,33.0,56.0,43.278,43.5
U1_P5,Barrow_CALM_U1,1962-08-01,71.29058,-156.78872,1,41.111,41.111,,tp,62pl5.dat,P5,620800,month,36,31.0,49.0,41.111,40.5
