
                     630613       630620       630627       630704       630711       630718       630725       630801       630807       630816       630829       630903       630919      
                      no data      no data      no data      no data      no data      no data      no data      no data      no data      no data      P46          P46          no data    
   N OF CASES                                                                                                                                                36           36          
   MINIMUM                                                                                                                                               23.000       23.000         
   MAXIMUM                                                                                                                                               49.000       49.000          
   RANGE                                                                                                                                                 26.000       26.000         
   MEAN                                                                                                                                                  36.056       36.278          
   VARIANCE                                                                                                                                              34.168       33.635          
   STANDARD DEV                                                                                                                                           5.845        5.800          
   STD. ERROR                                                                                                                                             0.974        0.967          
   SKEWNESS(G1)                                                                                                                                           0.175        0.086          
   KURTOSIS(G2)                                                                                                                                          -0.262       -0.212          
   SUM                                                                                                                                                 1298.000     1306.000         
   C.V.                                                                                                                                                   0.162        0.160         
   MEDIAN                                                                                                                                                35.000       36.000         
                                                                                                                                                                                             
