
                     630613       630620       630627       630704       630711       630718       630725       630801       630807       630816       630829       630903       630919      
                      P48          P48          P48          P48          P48          P48          P48          P48          P48          P48          P48          no data      P48        
   N OF CASES              20           20           20           20           20           20           20           20           20           20           36                        20    
   MINIMUM             12.000       22.000       23.000       21.000       25.000       25.000       28.000       27.000       30.000       28.000       34.000                    27.000    
   MAXIMUM             29.000       36.000       43.000       43.000       47.000       46.000       49.000       49.000       55.000       52.000       56.000                    46.000    
   RANGE               17.000       14.000       20.000       22.000       22.000       21.000       21.000       22.000       25.000       24.000       22.000                    19.000    
   MEAN                19.450       28.450       30.550       31.800       33.950       34.000       38.500       38.750       41.100       40.050       42.528                    36.050    
   VARIANCE            25.945       27.313       33.313       34.274       33.313       30.211       38.789       35.566       38.305       39.103       29.799                    36.050    
   STANDARD DEV         5.094        5.226        5.772        5.854        5.772        5.496        6.228        5.964        6.189        6.253        5.459                     6.004    
   STD. ERROR           1.139        1.169        1.291        1.309        1.291        1.229        1.393        1.334        1.384        1.398        0.910                     1.343    
   SKEWNESS(G1)         0.202        0.278        0.641        0.298        0.850        0.782        0.133        0.053        0.275        0.258        0.366                     0.373    
   KURTOSIS(G2)        -1.136       -1.324       -0.702       -0.587        0.104       -0.054       -1.068       -0.873       -0.325       -0.537       -0.539                    -1.183    
   SUM                389.000      569.000      611.000      636.000      679.000      680.000      770.000      775.000      822.000      801.000     1531.000                   721.000    
   C.V.                 0.262        0.184        0.189        0.184        0.170        0.162        0.162        0.154        0.151        0.156        0.128                     0.167    
   MEDIAN              19.000       28.000       28.500       31.000       32.000       32.500       38.000       38.000       40.000       39.500       42.000                    35.000    
                                                                                                                                                                                             
