
                     640701       640709       640716       640724       640729       640805       640812       640823       640828      
                      P48          P48          P48          P48          P48          P48          P48          P48          P48        
   N OF CASES              20           20           20           20           20           20           20           20           36    
   MINIMUM             16.000       20.000       20.000       22.000       22.000       22.000       23.000       21.000       21.000    
   MAXIMUM             33.000       44.000       44.000       44.000       45.000       45.000       48.000       46.000       46.000    
   RANGE               17.000       24.000       24.000       22.000       23.000       23.000       25.000       25.000       25.000    
   MEAN                24.450       29.500       29.550       32.250       33.500       33.250       34.950       33.900       34.278    
   VARIANCE            26.155       37.737       41.945       44.092       41.947       49.355       46.261       48.411       42.206    
   STANDARD DEV         5.114        6.143        6.476        6.640        6.477        7.025        6.802        6.958        6.497    
   STD. ERROR           1.144        1.374        1.448        1.485        1.448        1.571        1.521        1.556        1.083    
   SKEWNESS(G1)         0.064        0.658        0.505        0.252        0.060        0.102        0.153        0.224       -0.021    
   KURTOSIS(G2)        -0.918       -0.019       -0.363       -1.042       -0.869       -1.125       -0.796       -0.873       -0.636    
   SUM                489.000      590.000      591.000      645.000      670.000      665.000      699.000      678.000     1234.000    
   C.V.                 0.209        0.208        0.219        0.206        0.193        0.211        0.195        0.205        0.190    
   MEDIAN              24.500       28.500       28.500       31.500       32.500       33.500       34.000       31.500       35.000    
                                                                                                                                         
