
                     640701       640709       640716       640724       640729       640805       640812       640823       640828      
                       P8           P8           P8           P8           P8           P8           P8           P8           P8        
   N OF CASES              20           20           20           20           20           20           20           20           36    
   MINIMUM             11.000       15.000       16.000       17.000       18.000       19.000       18.000       18.000       16.000    
   MAXIMUM             27.000       35.000       33.000       37.000       38.000       38.000       40.000       38.000       38.000    
   RANGE               16.000       20.000       17.000       20.000       20.000       19.000       22.000       20.000       22.000    
   MEAN                15.200       20.850       20.550       22.600       24.500       24.450       24.300       24.400       25.056    
   VARIANCE            16.168       19.503       15.629       20.147       20.263       20.155       28.432       25.200       26.968    
   STANDARD DEV         4.021        4.416        3.953        4.489        4.501        4.489        5.332        5.020        5.193    
   STD. ERROR           0.899        0.987        0.884        1.004        1.007        1.004        1.192        1.122        0.866    
   SKEWNESS(G1)         1.609        1.675        1.545        1.617        1.339        1.418        1.378        0.902        0.396    
   KURTOSIS(G2)         1.978        3.429        2.893        3.330        2.154        2.152        1.858        0.822       -0.451    
   SUM                304.000      417.000      411.000      452.000      490.000      489.000      486.000      488.000      902.000    
   C.V.                 0.265        0.212        0.192        0.199        0.184        0.184        0.219        0.206        0.207    
   MEDIAN              13.500       20.000       20.000       22.000       24.000       23.000       24.000       24.000       24.500    
                                                                                                                                         
