
                     650717       650724       650731       650807       650814       650821       650828       650904       650920      
                      P50          P50          P50          P50          P50          P50          P50          P50                     
   N OF CASES              20           20           20           20           20           20           20           36                 
   MINIMUM             15.000       22.000       20.000       23.000       22.000       25.000       28.000       24.000                 
   MAXIMUM             44.000       43.000       44.000       47.000       45.000       50.000       52.000       47.000                 
   RANGE               29.000       21.000       24.000       24.000       23.000       25.000       24.000       23.000                 
   MEAN                30.100       32.500       32.200       32.950       33.900       36.900       39.000       36.667                 
   VARIANCE            49.989       39.211       48.063       38.576       41.463       45.779       39.263       37.257                 
   STANDARD DEV         7.070        6.262        6.933        6.211        6.439        6.766        6.266        6.104                 
   STD. ERROR           1.581        1.400        1.550        1.389        1.440        1.513        1.401        1.017                 
   SKEWNESS(G1)        -0.067       -0.124       -0.089        0.286       -0.146       -0.093       -0.101       -0.264                 
   KURTOSIS(G2)        -0.436       -1.184       -0.920       -0.554       -0.613       -0.636       -0.460       -0.794                 
   SUM                602.000      650.000      644.000      659.000      678.000      738.000      780.000     1320.000                 
   C.V.                 0.235        0.193        0.215        0.188        0.190        0.183        0.161        0.166                 
   MEDIAN              29.000       32.500       31.500       32.500       34.500       37.000       40.000       36.000      no data    
                                                                                                                                         
