
                     660707       660714       660721       660728       660804       660811       660817       660826      
                     P1             P1           P1           P1           P1           P1           P1           P1        
   N OF CASES        20                 20           20           20           20           20           36           20    
   MINIMUM             20.000       24.000       24.000       29.000       28.000       30.000       28.000       29.000    
   MAXIMUM             40.000       44.000       46.000       49.000       52.000       50.000       52.000       48.000    
   RANGE               20.000       20.000       22.000       20.000       24.000       20.000       24.000       19.000    
   MEAN                28.300       31.550       33.800       36.800       37.250       36.950       37.194       36.350    
   VARIANCE            28.221       32.050       41.747       28.379       37.566       22.682       30.733       24.450    
   STANDARD DEV         5.312        5.661        6.461        5.327        6.129        4.763        5.544        4.945    
   STD. ERROR           1.188        1.266        1.445        1.191        1.371        1.065        0.924        1.106    
   SKEWNESS(G1)         0.418        0.509        0.306        0.659        0.659        1.058        0.617        0.613    
   KURTOSIS(G2)        -0.438       -0.597       -1.134       -0.239       -0.101        0.984       -0.011       -0.089    
   SUM                566.000      631.000      676.000      736.000      745.000      739.000     1339.000      727.000    
   C.V.                 0.188        0.179        0.191        0.145        0.165        0.129        0.149        0.136    
   MEDIAN              28.500       31.000       32.500       36.500       37.000       36.000       37.000       36.000    
                                                                                                                            
