
                     660707       660714       660721       660728       660804       660811       660817       660826      
                      P25          P25          P25          P25          P25          P25          P25          P25        
   N OF CASES              20           20           20           20           20           20           36           20    
   MINIMUM             14.000       16.000       19.000       20.000       23.000       20.000       21.000       21.000    
   MAXIMUM             28.000       30.000       33.000       34.000       36.000       35.000       36.000       35.000    
   RANGE               14.000       14.000       14.000       14.000       13.000       15.000       15.000       14.000    
   MEAN                20.850       24.450       26.050       27.900       30.550       29.050       28.194       28.650    
   VARIANCE            14.029       16.576       15.945       16.095       15.418       17.945       14.333       18.766    
   STANDARD DEV         3.746        4.071        3.993        4.012        3.927        4.236        3.786        4.332    
   STD. ERROR           0.838        0.910        0.893        0.897        0.878        0.947        0.631        0.969    
   SKEWNESS(G1)        -0.003       -0.310       -0.022       -0.116       -0.178       -0.325        0.094       -0.054    
   KURTOSIS(G2)        -0.841       -1.050       -1.247       -1.005       -1.185       -0.874       -0.779       -1.306    
   SUM                417.000      489.000      521.000      558.000      611.000      581.000     1015.000      573.000    
   C.V.                 0.180        0.167        0.153        0.144        0.129        0.146        0.134        0.151    
   MEDIAN              21.000       24.500       26.000       27.500       30.500       29.500       28.000       28.000    
                                                                                                                            
