
                    660707      660714      660721      660728      660804      660811      660817      660826                   
                     P62         P62         P62         P62         P62         P62         P62         P62                 
   N OF CASES             20          20          20          20          20          20          36          20             
   MINIMUM            15.000       18.000      19.000      19.000      21.000     20.000      20.000      20.000             
   MAXIMUM            23.000       25.000      31.000      30.000      32.000     31.000      30.000      30.000             
   RANGE               8.000        7.000      12.000      11.000      11.000     11.000      10.000      10.000             
   MEAN               18.000       21.050      23.450      23.750      25.050     24.650      24.083      24.300             
   VARIANCE            5.274        3.629       8.576       8.197       7.418      7.924       7.279       7.695             
   STANDARD DEV        2.296        1.905       2.929       2.863       2.724      2.815       2.698       2.774             
   STD. ERROR          0.514        0.426       0.655       0.640       0.609      0.629       0.450       0.620             
   SKEWNESS(G1)        0.137        0.302       0.820       0.548       0.700      0.542       0.521       0.561             
   KURTOSIS(G2)       -0.561       -0.727       0.499      -0.457       0.433     -0.314      -0.686      -0.625              
   SUM               374.000      421.000     469.000     475.000     501.000    493.000     867.000     486.000              
   C.V.                0.123        0.090       0.125       0.121       0.109      0.114       0.112       0.114             
   MEDIAN             19.000       21.000      23.000      23.500      25.000     24.000      24.000      24.000             
														             
                                                                           
