
                     660707       660714       660721       660728       660804       660811       660817       660826      
                       P8           P8           P8           P8           P8           P8           P8           P8        
   N OF CASES              20           20           20           20           20           20           36           20    
   MINIMUM             18.000       21.000       22.000       24.000       25.000       25.000       26.000       25.000    
   MAXIMUM             36.000       38.000       40.000       40.000       43.000       43.000       42.000       41.000    
   RANGE               18.000       17.000       18.000       16.000       18.000       18.000       16.000       16.000    
   MEAN                22.900       25.650       27.450       29.100       30.700       30.800       31.556       29.950    
   VARIANCE            17.674       15.924       18.576       16.726       19.063       19.011       15.740       15.524    
   STANDARD DEV         4.204        3.990        4.310        4.090        4.366        4.360        3.967        3.940    
   STD. ERROR           0.940        0.892        0.964        0.915        0.976        0.975        0.661        0.881    
   SKEWNESS(G1)         1.742        1.550        1.237        1.153        1.150        1.022        0.883        1.103    
   KURTOSIS(G2)         2.949        2.668        1.741        0.834        1.323        1.112        0.293        1.381    
   SUM                458.000      513.000      549.000      582.000      614.000      616.000     1136.000      599.000    
   C.V.                 0.184        0.156        0.157        0.141        0.142        0.142        0.126        0.132    
   MEDIAN              22.000       25.000       27.000       28.000       30.000       31.000       30.500       30.000    
                                                                                                                            
