

            usa crrel study area
            soil temperatures
            8/5/66

                              themocouple cable number (plot+point)

               depth     37-1     37-2     37-3     40-1     40-2     44-1     44-2               1-1      1-2    depth      br        cm
                cm                                                                                                  cm
                 5.0      4.3      6.5      4.7      5.3      5.0      6.9      6.5               5.9      4.7
                10.0       0*      5.0      4.3      5.2       0*      3.5      5.3               4.3      3.2      7.5      5.2      6.5
                15.0       0*      4.7      2.7       0*       0*      3.0      3.5               3.5      2.0     15.0      3.8      5.0
                20.0      5.4      4.9       0*      3.6      0.1      2.7      2.4               2.2      1.5     22.5      2.2      2.3
                25.0      4.4      3.6      1.7       0*      5.9       0*       0*               1.3      0.8     30.0      1.2      0.7
                30.0      3.2      2.7      0.7      1.5      0.0      2.1      0.7               0.9      0.5     37.0      0.4     -0.2
                35.0      2.7      2.8      0.1      0.7     -1.2      1.3      0.5               0.1     -0.1     45.0     -0.5     -0.5
                40.0      2.2      0.8       0*      0.0       0*      1.0     -0.2              -0.2     -0.4     52.5     -1.0     -1.0
                45.0      1.7      0.0       0*     -1.0     -1.5      0.8     -0.5              -0.7     -0.6     60.0     -1.3     -1.3
                50.0      1.2       0*     -0.7     -1.2     -1.9      0.5     -0.7              -0.9     -0.8     75.0     -1.8     -2.0
                75.0     -1.2     -1.9       0*     -2.2     -3.0     -1.3     -2.2              -1.7     -2.0    105.0     -3.1     -3.0
               100.0     -2.2     -2.6       0*     -3.3     -3.9     -2.1     -3.3              -2.8     -3.1    165.0     -3.9     -5.6

            time       1430.0   1355.0   1400.0   1340.0   1330.0   1410.0   1420.0            1500.0   1510.0            1445.0   1530.0

            0* denotes thermocouple inoperative


