lon,lat,pf_depth,pf_observed,obs_limit,site_id,thaw_depth,year,month,day,date,method,source,comments
105.75,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
106.25,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
106.75,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
107.25,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
107.75,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
108.25,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
108.75,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
109.25,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
109.75,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
110.25,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
110.75,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
111.25,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
111.75,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
112.25,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
112.75,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
113.25,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
113.75,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
114.25,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
114.75,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
115.25,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
115.75,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
116.25,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
116.75,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
117.25,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
117.75,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
118.25,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
118.75,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
119.25,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
119.75,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
120.25,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
120.75,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
121.25,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
121.75,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
122.25,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
122.75,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
123.25,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
123.75,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
124.25,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
124.75,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
125.25,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
125.75,77.75,,0,,,,,,,,,Beer_etal_2013,The data represent the period 1960-1987.
