Name,Type,PF,X,Y
PP1,WPT,0,-117.259435,63.14535798
PP100,WPT,1,-117.145101,63.16156204
PP101,WPT,1,-117.142397,63.16054498
PP102,WPT,0,-117.140135,63.16002103
PP103,WPT,1,-117.139683,63.160318
PP104,WPT,1,-117.172895,63.16781703
PP105,WPT,0,-117.17235,63.16705101
PP106,WPT,0,-117.170869,63.16649797
PP107,WPT,0,-117.170554,63.16573396
PP108,WPT,1,-117.171086,63.16495403
PP11,WPT,1,-117.264177,63.14965203
PP110,WPT,0,-117.266871,63.14512404
PP113,WPT,0,-117.241351,63.13994897
PP114,WPT,1,-117.240897,63.13962299
PP115,WPT,1,-117.240594,63.13924899
PP116,WPT,0,-117.239189,63.13905898
PP117,WPT,1,-117.238727,63.13837904
PP118,WPT,1,-117.240269,63.13744102
PP119,WPT,1,-117.24016,63.13726299
PP12,WPT,1,-117.264438,63.14937299
PP120,WPT,1,-117.239751,63.13703299
PP121,WPT,1,-117.239615,63.13614199
PP122,WPT,1,-117.240741,63.13532098
PP123,WPT,1,-117.241412,63.13501596
PP124,WPT,1,-117.242427,63.13460701
PP125,WPT,0,-117.27132,63.15171003
PP127,WPT,0,-117.265957,63.14663404
PP128,WPT,0,-117.271103,63.144729
PP13,WPT,1,-117.264927,63.14920099
PP130,WPT,0,-117.273858,63.14320601
PP131,WPT,0,-117.268601,63.142414
PP132,WPT,1,-117.268573,63.14211703
PP133,WPT,0,-117.268794,63.14177496
PP134,WPT,1,-117.268534,63.14131496
PP135,WPT,1,-117.266841,63.14069797
PP136,WPT,1,-117.266267,63.14032598
PP137,WPT,0,-117.259166,63.13957899
PP138,WPT,0,-117.260091,63.13939501
PP14,WPT,0,-117.267406,63.14975504
PP15,WPT,1,-117.266637,63.15002401
PP16,WPT,1,-117.26628,63.150684
PP18,WPT,0,-117.264041,63.14775998
PP19,WPT,0,-117.26254,63.14758002
PP2,WPT,0,-117.226596,63.15346403
PP20,WPT,0,-117.243827,63.13435597
PP21,WPT,0,-117.246712,63.134863
PP22,WPT,1,-117.254288,63.13791904
PP23,WPT,1,-117.279241,63.17090401
PP24,WPT,0,-117.277086,63.16826304
PP25,WPT,0,-117.276368,63.168573
PP26,WPT,0,-117.280225,63.16912998
PP27,WPT,0,-117.281499,63.16872496
PP28,WPT,0,-117.283421,63.17077098
PP29,WPT,0,-117.283355,63.17121296
PP3,WPT,1,-117.222157,63.15113797
PP30,WPT,1,-117.309239,63.17813398
PP31,WPT,1,-117.302619,63.17852299
PP32,WPT,1,-117.302971,63.17784003
PP33,WPT,0,-117.302895,63.17820104
PP34,WPT,1,-117.295904,63.17775697
PP35,WPT,1,-117.294458,63.17791002
PP36,WPT,0,-117.287282,63.17231703
PP37,WPT,0,-117.274446,63.16576598
PP38,WPT,1,-117.274681,63.15899198
PP39,WPT,1,-117.273194,63.158966
PP4,WPT,1,-117.221892,63.15091702
PP40,WPT,1,-117.269681,63.15901201
PP41,WPT,1,-117.27072,63.15888402
