site_id,bonnaventure_point_type,pf_observed,lat,lon,source,date,pf_depth,thaw_depth,obs_limit,method,bonnaventure_published_site_count,bonnaventure_shared_site_count,bonnaventure_protocol_limit_cm,quality_flag_obs_limit_assumed,quality_flag_upper_bound_presence,quality_flag_date_assigned,quality_flag_date_source_approximate,quality_flag_model_or_estimate
PP1,WPT,0,63.14535798,-117.259435,Bonnaventure_Whati,2019-08-15,,,150.0,temp,139,145,150.0,True,False,True,True,True
PP100,WPT,1,63.16156204,-117.145101,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP101,WPT,1,63.16054498,-117.142397,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP102,WPT,0,63.16002103,-117.140135,Bonnaventure_Whati,2019-08-15,,,150.0,temp,139,145,150.0,True,False,True,True,True
PP103,WPT,1,63.160318,-117.139683,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP104,WPT,1,63.16781703,-117.172895,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP105,WPT,0,63.16705101,-117.17235,Bonnaventure_Whati,2019-08-15,,,150.0,temp,139,145,150.0,True,False,True,True,True
PP106,WPT,0,63.16649797,-117.170869,Bonnaventure_Whati,2019-08-15,,,150.0,temp,139,145,150.0,True,False,True,True,True
PP107,WPT,0,63.16573396,-117.170554,Bonnaventure_Whati,2019-08-15,,,150.0,temp,139,145,150.0,True,False,True,True,True
PP108,WPT,1,63.16495403,-117.171086,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP11,WPT,1,63.14965203,-117.264177,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP110,WPT,0,63.14512404,-117.266871,Bonnaventure_Whati,2019-08-15,,,150.0,temp,139,145,150.0,True,False,True,True,True
PP113,WPT,0,63.13994897,-117.241351,Bonnaventure_Whati,2019-08-15,,,150.0,temp,139,145,150.0,True,False,True,True,True
PP114,WPT,1,63.13962299,-117.240897,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP115,WPT,1,63.13924899,-117.240594,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP116,WPT,0,63.13905898,-117.239189,Bonnaventure_Whati,2019-08-15,,,150.0,temp,139,145,150.0,True,False,True,True,True
PP117,WPT,1,63.13837904,-117.238727,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP118,WPT,1,63.13744102,-117.240269,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP119,WPT,1,63.13726299,-117.24016,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP12,WPT,1,63.14937299,-117.264438,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
PP120,WPT,1,63.13703299,-117.239751,Bonnaventure_Whati,2019-08-15,,,,temp,139,145,150.0,False,True,True,True,True
