date,site_id,lat,lon,method,pf_depth,thaw_depth,pf_observed,source,obs_limit
1990-09-01,Barrow,71.31667,-156.6,Frost Probe Transect or Grid,,,0,Brown_etal_2000_calm,
1990-09-01,Barrow,71.31667,-156.6,Frost Probe Transect or Grid,,,0,Brown_etal_2000_calm,
1990-09-01,Barrow,71.31667,-156.6,Frost Probe Transect or Grid,,,0,Brown_etal_2000_calm,
1990-09-01,Barrow,71.31667,-156.6,Frost Probe Transect or Grid,30.0,30.0,1,Brown_etal_2000_calm,
1990-09-01,Barrow,71.31667,-156.6,Frost Probe Transect or Grid,35.0,35.0,1,Brown_etal_2000_calm,
1990-09-01,Barrow,71.31667,-156.6,Frost Probe Transect or Grid,35.0,35.0,1,Brown_etal_2000_calm,
1990-09-01,Barrow,71.31667,-156.6,Frost Probe Transect or Grid,36.0,36.0,1,Brown_etal_2000_calm,
1990-09-01,Barrow,71.31667,-156.6,Frost Probe Transect or Grid,37.0,37.0,1,Brown_etal_2000_calm,
1990-09-01,Barrow,71.31667,-156.6,Frost Probe Transect or Grid,41.0,41.0,1,Brown_etal_2000_calm,
1990-09-01,Barrow,71.31667,-156.6,Frost Probe Transect or Grid,37.0,37.0,1,Brown_etal_2000_calm,
1990-09-01,Barrow,71.31667,-156.6,Frost Probe Transect or Grid,34.0,34.0,1,Brown_etal_2000_calm,
1990-09-01,Barrow,71.31667,-156.6,Frost Probe Transect or Grid,31.0,31.0,1,Brown_etal_2000_calm,
1990-09-01,Barrow,71.31667,-156.6,Frost Probe Transect or Grid,31.0,31.0,1,Brown_etal_2000_calm,
1990-09-01,Barrow,71.31667,-156.6,Frost Probe Transect or Grid,29.0,29.0,1,Brown_etal_2000_calm,
1990-09-01,Barrow,71.31667,-156.6,Frost Probe Transect or Grid,42.0,42.0,1,Brown_etal_2000_calm,
1990-09-01,Barrow,71.31667,-156.6,Frost Probe Transect or Grid,33.0,33.0,1,Brown_etal_2000_calm,
1990-09-01,Barrow,71.31667,-156.6,Frost Probe Transect or Grid,32.0,32.0,1,Brown_etal_2000_calm,
1990-09-01,Barrow,71.31667,-156.6,Frost Probe Transect or Grid,32.0,32.0,1,Brown_etal_2000_calm,
1990-09-01,Barrow,71.31667,-156.6,Frost Probe Transect or Grid,34.0,34.0,1,Brown_etal_2000_calm,
1990-09-01,Barrow,71.31667,-156.6,Frost Probe Transect or Grid,34.0,34.0,1,Brown_etal_2000_calm,
1990-09-01,Barrow,71.31667,-156.6,Frost Probe Transect or Grid,41.0,41.0,1,Brown_etal_2000_calm,
1990-09-01,Barrow,71.31667,-156.6,Frost Probe Transect or Grid,41.0,41.0,1,Brown_etal_2000_calm,
1990-09-01,Barrow,71.31667,-156.6,Frost Probe Transect or Grid,38.0,38.0,1,Brown_etal_2000_calm,
1990-09-01,Barrow,71.31667,-156.6,Frost Probe Transect or Grid,41.0,41.0,1,Brown_etal_2000_calm,
1990-09-01,Barrow,71.31667,-156.6,Frost Probe Transect or Grid,34.0,34.0,1,Brown_etal_2000_calm,
1990-09-01,Barrow,71.31667,-156.6,Frost Probe Transect or Grid,40.0,40.0,1,Brown_etal_2000_calm,
1990-09-01,Barrow,71.31667,-156.6,Frost Probe Transect or Grid,40.0,40.0,1,Brown_etal_2000_calm,
1990-09-01,Barrow,71.31667,-156.6,Frost Probe Transect or Grid,39.0,39.0,1,Brown_etal_2000_calm,
1990-09-01,Barrow,71.31667,-156.6,Frost Probe Transect or Grid,38.0,38.0,1,Brown_etal_2000_calm,
1990-09-01,Barrow,71.31667,-156.6,Frost Probe Transect or Grid,47.0,47.0,1,Brown_etal_2000_calm,
1990-09-01,Barrow,71.31667,-156.6,Frost Probe Transect or Grid,45.0,45.0,1,Brown_etal_2000_calm,
1990-09-01,Barrow,71.31667,-156.6,Frost Probe Transect or Grid,31.0,31.0,1,Brown_etal_2000_calm,
1990-09-01,Barrow,71.31667,-156.6,Frost Probe Transect or Grid,32.0,32.0,1,Brown_etal_2000_calm,
1990-09-01,Barrow,71.31667,-156.6,Frost Probe Transect or Grid,44.0,44.0,1,Brown_etal_2000_calm,
1990-09-01,"Barrow, CRREL Plots",71.31667,-156.5833,Frost Probe Transect or Grid,,,0,Brown_etal_2000_calm,
1990-09-01,"Barrow, CRREL Plots",71.31667,-156.5833,Frost Probe Transect or Grid,23.0,23.0,1,Brown_etal_2000_calm,
