"thaw.1col","obs.limit.1col"
NA,NA
NA,NA
NA,NA
30,30
35,35
35,35
36,36
37,37
41,41
37,37
34,34
31,31
31,31
29,29
42,42
33,33
32,32
32,32
34,34
34,34
41,41
41,41
38,38
41,41
34,34
40,40
40,40
39,39
38,38
47,47
45,45
31,31
32,32
44,44
NA,NA
23,23
23,23
29,29
34,34
34,34
35,35
37,37
40,40
37,37
36,36
29,29
NA,NA
28,28
41,41
35,35
34,34
35,35
35,35
36,36
41,41
39,39
38,38
40,40
34,34
39,39
38,38
39,39
37,37
43,43
42,42
34,34
32,32
42,42
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
44,44
47,47
45,45
51,51
49,49
43,43
40,40
42,42
37,37
59,59
47,47
47,47
46,46
NA,NA
54,54
49,49
50,50
50,50
58,58
52,52
54,54
56,56
53,53
51,51
55,55
57,57
46,46
44,44
57,57
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
30,30
31,31
34,34
33,33
28,28
29,29
29,29
29,29
35,35
27,27
34,34
27,27
30,30
25,25
29,29
29,29
34,34
35,35
31,31
37,37
37,37
37,37
35,35
37,37
NA,NA
31,31
31,31
39,39
NA,NA
NA,NA
NA,NA
48,48
55,55
51,51
55,55
52,52
58,58
51,51
46,46
46,46
48,48
48,48
54,54
45,45
53,53
44,44
47,47
44,44
46,46
51,51
52,52
54,54
48,48
54,54
55,55
56,56
52,52
58,58
NA,NA
51,51
45,45
57,57
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
64,64
65,65
70,70
71,71
61,61
62,62
61,61
61,61
67,67
56,56
67,67
58,58
63,63
58,58
65,65
63,63
69,69
72,72
70,70
73,73
72,72
72,72
68,68
73,73
NA,NA
65,65
65,65
70,70
NA,NA
NA,NA
NA,NA
52,52
54,54
55,55
55,55
55,55
60,60
54,54
47,47
48,48
50,50
50,50
58,58
49,49
56,56
46,46
51,51
48,48
49,49
54,54
56,56
58,58
49,49
54,54
57,57
56,56
51,51
53,53
NA,NA
52,52
46,46
57,57
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
41,41
44,44
42,42
44,44
39,39
37,37
34,34
37,37
37,37
42,42
35,35
40,40
32,32
NA,NA
32,32
34,34
36,36
40,40
43,43
35,35
39,39
41,41
41,41
35,35
44,44
NA,NA
38,38
35,35
44,44
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
43,43
48,48
41,41
46,46
42,42
41,41
36,36
41,41
38,38
45,45
36,36
43,43
34,34
NA,NA
37,37
40,40
43,43
45,45
44,44
41,41
43,43
46,46
45,45
43,43
50,50
NA,NA
42,42
41,41
46,46
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
63,63
66,66
72,72
66,66
55,55
58,58
55,55
55,55
64,64
53,53
65,65
57,57
57,57
60,60
66,66
65,65
69,69
70,70
68,68
68,68
67,67
69,69
62,62
73,73
NA,NA
61,61
65,65
72,72
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
36,36
40,40
47,47
44,44
NA,NA
NA,NA
NA,NA
35,35
NA,NA
32,32
39,39
33,33
43,43
38,38
43,43
40,40
42,42
44,44
42,42
42,42
46,46
45,45
44,44
44,44
NA,NA
40,40
42,42
48,48
NA,NA
NA,NA
NA,NA
44,44
45,45
43,43
43,43
48,48
48,48
44,44
40,40
42,42
40,40
40,40
45,45
41,41
47,47
40,40
44,44
49,49
44,44
47,47
43,43
47,47
47,47
46,46
46,46
45,45
43,43
47,47
41,41
38,38
38,38
44,44
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
48,48
46,46
40,40
NA,NA
48,48
41,41
41,41
41,41
46,46
42,42
41,41
46,46
36,36
48,48
51,51
54,54
57,57
49,49
54,54
51,51
50,50
49,49
52,52
52,52
53,53
NA,NA
49,49
46,46
55,55
NA,NA
NA,NA
56,56
60,60
60,60
48,48
45,45
50,50
56,56
50,50
44,44
46,46
39,39
47,47
48,48
55,55
48,48
47,47
52,52
58,58
63,63
59,59
55,55
55,55
50,50
59,59
64,64
60,60
55,55
58,58
52,52
48,48
48,48
54,54
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
53,53
54,54
56,56
54,54
53,53
45,45
49,49
39,39
46,46
51,51
44,44
49,49
45,45
54,54
58,58
64,64
56,56
51,51
60,60
55,55
55,55
63,63
57,57
62,62
60,60
48,48
52,52
49,49
57,57
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
43,43
43,43
47,47
46,46
47,47
37,37
43,43
30,30
40,40
42,42
39,39
38,38
41,41
45,45
47,47
55,55
47,47
50,50
53,53
46,46
54,54
49,49
53,53
47,47
52,52
41,41
42,42
39,39
45,45
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
45,45
47,47
49,49
54,54
48,48
44,44
46,46
37,37
41,41
40,40
51,51
48,48
51,51
NA,NA
55,55
61,61
55,55
50,50
51,51
50,50
51,51
53,53
56,56
50,50
56,56
40,40
53,53
47,47
51,51
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
43,43
47,47
45,45
51,51
52,52
41,41
45,45
33,33
37,37
45,45
44,44
41,41
38,38
44,44
47,47
53,53
47,47
48,48
51,51
45,45
50,50
45,45
50,50
52,52
51,51
34,34
45,45
43,43
49,49
36,36
28,28
40,40
46,46
36,36
43,43
33,33
46,46
44,44
45,45
38,38
32,32
33,33
40,40
40,40
37,37
39,39
41,41
35,35
51,51
45,45
43,43
38,38
43,43
40,40
46,46
45,45
46,46
43,43
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
51,51
59,59
60,60
56,56
NA,NA
46,46
39,39
47,47
NA,NA
44,44
48,48
54,54
53,53
59,59
59,59
50,50
56,56
57,57
55,55
57,57
57,57
55,55
54,54
NA,NA
NA,NA
50,50
51,51
54,54
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
35,35
NA,NA
35,35
36,36
32,32
32,32
24,24
30,30
39,39
38,38
35,35
42,42
36,36
38,38
43,43
41,41
44,44
37,37
36,36
38,38
41,41
42,42
41,41
37,37
NA,NA
40,40
40,40
46,46
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
