/* DATA DESCRIPTION:
Citation:	Streletskiy, Dmitry A; CALM; GTN-P; Wieczorek, Mareike; Heim, Birgit; Bartsch, Annett (2025): GTN-P CALM: 35 years of Active Layer Thickness (ALT) across latitudinal and elevational gradients in the Northern Hemisphere [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.972777
Abstract:	The Global Terrestrial Network for Permafrost (GTN‐P) established by the International Permafrost Association (IPA) and WMO under the GCOS and GTOS networks is the primary international global program for monitoring the permafrost Essential Climate Variables (ECVs). Active Layer Thickness (ALT) is formulated as one important ECV by WMO and GCOS. The presented data collection is based on ALT data collected and managed by the Circumpolar Active Layer Monitoring Network-CALM under GTN‐P / IPA. The CALM observational network observes the long-term response of the active layer and near-surface permafrost to climate change over multi-decadal time scales in the Northern and the Southern hemisphere. The CALM activities and data are hosted on the CALM website (http://www.gwu.edu/~calm) and updated regularly. The data collection presented here contains 263 ALT time series located in the Northern Hemisphere and spans 35 years (1990-2024) of annual (discontinuous) ALT. The ALT time-series cover the Arctic and mountain permafrost in the Swiss Alps and Asia, latitudinal and elevation gradients, making these records unique and providing an important snapshot of the state of permafrost across these complex landscapes. The data provided here has been assembled from the original data sources and optimized by the validation team in the ESA Permafrost_cci project for the validation of the Permafrost_cci ALT time series maps.
Keyword(s):	Active Layer Thickness; ESA CCI
Related to:	Nelson, Frederick E; Shiklomanov, Nikolay I; Nyland, Kelsey E (2021): Cool, CALM, collected: the Circumpolar Active Layer Monitoring program and network. Polar Geography, 44(3), 155-166, https://doi.org/10.1080/1088937X.2021.1988001
	Westermann, Sebastian; Barboux, Chloé; Bartsch, Annett; Delaloye, Reynald; Grosse, Guido; Heim, Birgit; Hugelius, Gustaf; Irrgang, Anna Maria; Kääb, Andreas Max; Matthes, Heidrun; Nitze, Ingmar; Pellet, Cécile; Seifert, Frank Martin; Strozzi, Tazio; Wegmüller, Urs; Wieczorek, Mareike; Wiesmann, Andreas (2024): ESA Permafrost Climate Change Initiative (Permafrost_cci): Permafrost active layer thickness for the Northern Hemisphere, v4.0 [dataset]. NERC EDS Centre For Environmental Data Analysis, https://doi.org/10.5285/D34330CE3F604E368C06D76DE1987CE5
Project(s):	CCI Permafrost (ESA_CCI_Permafrost_CCN2) (URI: https://climate.esa.int/en/projects/permafrost/)
	Global Terrestrial Network for Permafrost (GTN-P) (URI: https://gtnp.arcticportal.org/)
Coverage:	MEDIAN LATITUDE: 62.748101 * MEDIAN LONGITUDE: 146.994497 * SOUTH-BOUND LATITUDE: 31.816670 * WEST-BOUND LONGITUDE: 7.273075 * NORTH-BOUND LATITUDE: 81.400720 * EAST-BOUND LONGITUDE: -20.552800
	DATE/TIME START: 1990-01-01T00:00:00 * DATE/TIME END: 2024-01-01T00:00:00
	MINIMUM ELEVATION: -1.0 m * MAXIMUM ELEVATION: 4788.0 m
Event(s):	CALM_C1 (C1, Alexandria Fiord) (URI: https://www2.gwu.edu/~calm/data/webforms/c1_f.html) * LATITUDE: 78.883330 * LONGITUDE: -75.916670 * ELEVATION: 0.0 m * LOCATION: Canada * METHOD/DEVICE: Sampling permafrost (PERM) * COMMENT: PI: Greg Henry, Method: Spatially-oriented mechanical probing at 100 m Grid or Transect
