Timestamp,TP1_2cm ,TP1_5cm ,TP1_10cm ,TP1_15cm ,TP1_20cm ,TP1_25cm ,TP1_30cm ,TP1_35cm ,TP1_40cm ,TP1_50cm,TP1_60cm ,TP1_70cm ,TP1_80cm ,TP1_100cm ,TP1_125cm ,TP1_150cm,Air Temperature ,Tdeep_2.0m ,Tdeep_2.5m ,Tdeep_3.0m,SnowDepth 
8/1/12,8.652,8.213,5.9973,4.0215,2.2289,0.9689,0.2202,-0.0733,-0.1532,-0.2605,-0.352,-0.4503,-0.5144,-0.6576,-0.8167,-0.9635,11.76,-1.166,-1.3774,-1.4328,-0.0159
8/2/12,9.781,9.394,6.6266,4.3932,2.4711,1.1051,0.2913,-0.0682,-0.1506,-0.2579,-0.3486,-0.4483,-0.5084,-0.6497,-0.8072,-0.9538,12.989,-1.1646,-1.3729,-1.4218,-0.0137
8/3/12,9.067,8.842,6.7762,4.7174,2.7488,1.2763,0.3805,-0.0613,-0.1446,-0.2519,-0.3455,-0.4428,-0.506,-0.6446,-0.7954,-0.9445,11.438,-1.1519,-1.3599,-1.413,-0.0171
8/4/12,8.867,8.771,6.3294,4.3445,2.5722,1.2448,0.4116,-0.0517,-0.1382,-0.2467,-0.3358,-0.4393,-0.4973,-0.6348,-0.7868,-0.9343,11.755,-1.144,-1.3519,-1.4037,-0.0226
8/5/12,8.015,8.257,6.1839,4.3106,2.5732,1.2611,0.4553,-0.0437,-0.136,-0.2441,-0.3341,-0.4329,-0.4919,-0.627,-0.7802,-0.9256,11.346,-1.1341,-1.338,-1.3942,-0.0101
8/6/12,6.684,6.626,5.2921,3.8592,2.3917,1.223,0.4734,-0.029,-0.1253,-0.2342,-0.326,-0.4275,-0.488,-0.612,-0.774,-0.9161,8.873,-1.1237,-1.3292,-1.3811,-0.016
8/7/12,8.04,8.14,5.585,3.743,2.2236,1.1215,0.4525,-0.0303,-0.1297,-0.2383,-0.3265,-0.4235,-0.4793,-0.6151,-0.7635,-0.9074,10.838,-1.1127,-1.3175,-1.3691,-0.0129
8/8/12,7.685,7.741,5.6438,3.9101,2.3588,1.203,0.5056,-0.0142,-0.1199,-0.2306,-0.3206,-0.4182,-0.4725,-0.605,-0.7562,-0.8965,10.513,-1.1037,-1.3086,-1.3593,-0.0204
8/9/12,8.062,8.384,5.9126,4.0326,2.4255,1.2518,0.5483,-0.0023,-0.1155,-0.2277,-0.3138,-0.4126,-0.4674,-0.5995,-0.746,-0.8881,11.893,-1.0959,-1.2985,-1.3497,-0.0273
8/10/12,8.483,8.953,6.3577,4.3377,2.6059,1.3475,0.6108,0.0212,-0.1121,-0.2231,-0.3105,-0.405,-0.4612,-0.5947,-0.7412,-0.8758,12.568,-1.0865,-1.2871,-1.34,-0.0273
8/11/12,9.38,9.887,6.9435,4.7182,2.8387,1.4823,0.6971,0.0555,-0.1059,-0.2196,-0.3046,-0.4015,-0.4561,-0.5882,-0.7333,-0.8691,14.188,-1.0768,-1.2762,-1.3315,-0.0182
8/12/12,9.074,9.808,7.088,4.9425,3.047,1.6374,0.8036,0.1112,-0.0982,-0.2141,-0.2991,-0.3945,-0.4496,-0.5804,-0.7242,-0.8592,14.556,-1.0669,-1.2687,-1.3209,-0.0146
8/13/12,8.94,9.472,6.9552,4.9103,3.0759,1.689,0.862,0.1607,-0.09,-0.2126,-0.2956,-0.3899,-0.4453,-0.5729,-0.7162,-0.8517,14.565,-1.059,-1.2564,-1.312,-0.0148
8/14/12,10.314,10.583,7.793,5.4712,3.3954,1.8531,0.9675,0.2273,-0.0806,-0.2061,-0.2934,-0.3824,-0.4362,-0.5652,-0.7082,-0.8395,15.354,-1.0473,-1.2517,-1.2995,-0.0128
8/15/12,9.887,10.032,7.7145,5.6062,3.5775,2.0504,1.1133,0.3164,-0.0745,-0.1995,-0.2875,-0.3815,-0.4302,-0.5648,-0.7034,-0.838,14.196,-1.0395,-1.2373,-1.2916,-0.0211
8/16/12,9.832,9.607,7.7213,5.6384,3.9901,2.538,1.4066,0.466,-0.0592,-0.1929,-0.2797,-0.3707,-0.4305,-0.5508,-0.691,-0.8236,12.243,-1.0286,-1.232,-1.2806,-0.012
8/17/12,9.649,9.283,7.3278,5.5819,4.3553,2.7608,1.5703,0.5909,-0.0455,-0.1978,-0.2836,-0.371,-0.4263,-0.553,-0.6953,-0.8255,11.753,-1.0206,-1.219,-1.2703,-0.0107
8/18/12,8.977,8.895,7.0245,5.3385,4.0466,2.6938,1.5979,0.658,-0.0234,-0.1942,-0.2698,-0.3685,-0.4164,-0.5491,-0.6795,-0.8119,11.812,-1.0154,-1.2099,-1.2647,-0.0029
8/19/12,8.492,8.559,6.6452,5.028,3.763,2.5757,1.5693,0.693,-0.0141,-0.1829,-0.2677,-0.3582,-0.4177,-0.5386,-0.6779,-0.8079,11.762,-1.0064,-1.202,-1.2552,-0.02
8/20/12,7.751,7.529,6.0868,4.7065,3.5793,2.4774,1.5304,0.7152,0.0026,-0.1772,-0.2671,-0.3545,-0.4104,-0.5321,-0.6703,-0.7998,7.997,-0.9958,-1.1945,-1.2435,-0.0052
8/21/12,6.056,6.198,5.1305,4.0865,3.1351,2.2449,1.4308,0.7022,0.0217,-0.1737,-0.2635,-0.3515,-0.4015,-0.5277,-0.6607,-0.7912,8.198,-0.9914,-1.1842,-1.2387,-0.018
8/22/12,7.465,7.677,5.602,4.076,2.961,2.0645,1.3091,0.6582,0.0419,-0.1652,-0.2559,-0.3435,-0.3985,-0.5181,-0.6568,-0.7858,10.787,-0.9822,-1.1752,-1.2299,-0.0015
8/23/12,8.831,9.123,6.5276,4.634,3.2695,2.2329,1.4031,0.7147,0.0745,-0.162,-0.2507,-0.3395,-0.3964,-0.516,-0.6489,-0.7777,11.915,-0.9718,-1.1685,-1.2223,-0.009
8/24/12,7.052,7.278,5.9523,4.6219,3.4337,2.424,1.5529,0.818,0.1172,-0.1569,-0.2465,-0.3362,-0.3901,-0.5117,-0.6424,-0.7725,9.577,-0.963,-1.1599,-1.2102,-0.017
8/25/12,7.338,7.378,5.7005,4.3375,3.2915,2.3523,1.5256,0.829,0.1489,-0.1568,-0.2451,-0.3332,-0.3859,-0.5083,-0.6377,-0.767,9.531,-0.9572,-1.1509,-1.2027,-0.0121
8/26/12,7.778,7.862,6.02,4.5102,3.3441,2.3763,1.544,0.8476,0.1795,-0.1505,-0.2393,-0.3267,-0.3774,-0.5024,-0.6293,-0.7585,9.169,-0.9502,-1.1454,-1.1943,0.0074
8/27/12,6.031,6.129,5.1328,4.1255,3.1666,2.3262,1.549,0.8805,0.2171,-0.1429,-0.2355,-0.3242,-0.3755,-0.4964,-0.6237,-0.7508,7.281,-0.941,-1.1364,-1.186,-0.0014
8/28/12,4.603,4.972,4.0924,3.3539,2.6547,1.9961,1.3719,0.8063,0.2251,-0.1396,-0.2305,-0.3188,-0.3704,-0.4908,-0.6172,-0.7442,7.371,-0.9356,-1.1267,-1.1798,-0.0135
8/29/12,6.155,6.403,4.7914,3.557,2.5724,1.8304,1.228,0.7226,0.218,-0.1312,-0.231,-0.3194,-0.366,-0.4837,-0.615,-0.7394,8.489,-0.9252,-1.1214,-1.1711,0.0051
8/30/12,7.816,8.042,5.8289,4.1767,3.092,2.1357,1.3736,0.7957,0.2515,-0.1293,-0.2246,-0.3132,-0.3652,-0.4831,-0.6063,-0.7345,11.084,-0.9178,-1.1125,-1.1678,-0.0117
8/31/12,6.507,6.612,5.3977,4.2285,3.2365,2.3573,1.5734,0.9385,0.319,-0.1281,-0.2194,-0.3078,-0.3615,-0.4793,-0.6042,-0.7267,8.062,-0.9163,-1.1063,-1.1555,-0.0153
9/1/12,5.592,6.377,4.8788,3.7908,2.9598,2.2307,1.54,0.9495,0.3426,-0.1196,-0.2172,-0.3051,-0.3539,-0.4718,-0.596,-0.7218,7.869,-0.9042,-1.1,-1.1515,-0.0149
9/2/12,6.259,6.879,5.2125,3.9128,2.9024,2.1269,1.4523,0.8994,0.3422,-0.1169,-0.2116,-0.2997,-0.3497,-0.4668,-0.5924,-0.7153,8.56,-0.8999,-1.0937,-1.1431,-0.0182
9/3/12,6.937,7.221,5.5436,4.1765,3.1947,2.2991,1.5427,0.9514,0.3794,-0.1099,-0.2129,-0.3004,-0.3468,-0.4631,-0.5863,-0.7111,9.964,-0.8944,-1.0836,-1.1378,-0.0174
9/4/12,6.107,6.349,5.192,4.1045,3.1895,2.3746,1.6352,1.0335,0.4318,-0.1055,-0.2026,-0.2928,-0.3426,-0.4568,-0.5817,-0.7056,8.199,-0.8838,-1.0808,-1.1296,-0.0255
9/5/12,6.543,7.007,5.236,3.9527,3.0304,2.2792,1.5994,1.0332,0.4529,-0.1021,-0.1983,-0.2879,-0.3412,-0.4535,-0.5775,-0.6964,9.495,-0.877,-1.0715,-1.1249,-0.0253
9/6/12,6.297,6.472,5.2046,4.0652,3.1186,2.3338,1.6272,1.0489,0.4706,-0.0905,-0.1969,-0.2833,-0.3319,-0.4443,-0.5666,-0.694,7.873,-0.8753,-1.0628,-1.1157,-0.005
9/7/12,6.089,6.398,4.9982,3.8825,3.0109,2.291,1.6265,1.0697,0.4963,-0.0893,-0.1932,-0.2826,-0.3297,-0.4452,-0.5632,-0.6883,6.618,-0.8654,-1.0562,-1.1129,-0.0141
9/8/12,4.998,5.262,4.4038,3.6039,2.8633,2.2005,1.5757,1.0495,0.5005,-0.083,-0.1906,-0.2773,-0.3225,-0.4393,-0.5592,-0.6797,6.208,-0.8614,-1.05,-1.1085,-0.0382
9/9/12,2.679,3.264,3.1393,2.8487,2.4245,1.9386,1.4258,0.9683,0.4774,-0.078,-0.1861,-0.2737,-0.3231,-0.436,-0.5568,-0.6767,2.749,-0.8547,-1.0452,-1.0968,-0.0328
9/10/12,1.28,2.109,1.973,1.8577,1.6678,1.3988,1.0711,0.7507,0.3796,-0.074,-0.1815,-0.2697,-0.3185,-0.4307,-0.5516,-0.6713,2.306,-0.8478,-1.0375,-1.0916,-0.0246
9/11/12,1.58,2.488,1.7292,1.3515,1.136,0.9287,0.7164,0.5052,0.2598,-0.0731,-0.179,-0.2675,-0.3145,-0.4282,-0.5472,-0.6651,4.485,-0.8425,-1.0329,-1.0861,-0.0338
9/12/12,2.512,3.018,2.0171,1.414,1.0453,0.7593,0.5503,0.372,0.1848,-0.0724,-0.1794,-0.2667,-0.3117,-0.4272,-0.5421,-0.6592,5.365,-0.8367,-1.0276,-1.0793,-0.0318
9/13/12,2.268,2.932,2.1666,1.6032,1.1762,0.8218,0.5747,0.3765,0.182,-0.067,-0.1727,-0.2603,-0.3081,-0.4208,-0.5377,-0.6554,4.321,-0.8314,-1.0228,-1.0732,-0.0257
9/14/12,0.722,1.07,1.2676,1.2203,1.0258,0.7915,0.5772,0.3888,0.1924,-0.0638,-0.1691,-0.2568,-0.3037,-0.4165,-0.5332,-0.6492,1.926,-0.8265,-1.0153,-1.0653,-0.0283
9/15/12,0.821,1.295,0.9041,0.7407,0.6426,0.5375,0.4171,0.2925,0.148,-0.0637,-0.1684,-0.2559,-0.302,-0.4152,-0.5328,-0.6468,3.082,-0.8212,-1.0087,-1.0586,-0.0256
9/16/12,1.537,1.74,1.1213,0.7829,0.5665,0.4213,0.3022,0.2019,0.1002,-0.063,-0.1636,-0.2506,-0.2994,-0.4097,-0.5258,-0.6409,4.055,-0.8147,-1.0025,-1.053,-0.0137
9/17/12,3.261,3.471,2.3013,1.4813,0.9244,0.5767,0.3696,0.2261,0.1048,-0.0595,-0.1662,-0.2524,-0.2971,-0.412,-0.5197,-0.6425,5.751,-0.8069,-0.997,-1.051,-0.0153
9/18/12,1.868,1.988,1.6981,1.4041,1.0794,0.794,0.552,0.3552,0.1731,-0.0557,-0.1576,-0.2448,-0.2913,-0.4031,-0.5153,-0.633,3.547,-0.8045,-0.9918,-1.0425,-0.0134
9/19/12,4.022,4.141,2.72,1.8006,1.2078,0.8397,0.5795,0.3742,0.1835,-0.0581,-0.1579,-0.2438,-0.2908,-0.4007,-0.5136,-0.63,6.68,-0.7973,-0.9847,-1.0381,0.0095
