Timestamp,TP1_2cm ,TP1_5cm ,TP1_10cm ,TP1_15cm ,TP1_20cm ,TP1_25cm ,TP1_30cm ,TP1_35cm ,TP1_40cm ,TP1_50cm,TP1_60cm ,TP1_70cm ,TP1_80cm ,TP1_100cm ,TP1_125cm ,TP1_150cm,Air Temperature ,2.0m ,2.5m ,3.0m,SnowDepth 
8/1/12,8.7894,7.0974,5.6133,4.2832,3.1338,2.0137,0.9655,0.0762,-0.1139,-0.4818,-0.64,-0.7696,-0.8911,-1.0784,-1.2945,-1.4828,11.835,-1.6957,-1.9666,-2.1013,-0.008
8/2/12,9.2081,7.3576,5.7588,4.3955,3.2439,2.1193,1.0543,0.1223,-0.1366,-0.4869,-0.6395,-0.7656,-0.8798,-1.0681,-1.2848,-1.4708,11.832,-1.6855,-1.9541,-2.089,-0.008
8/3/12,8.8335,7.4135,5.9376,4.6276,3.4458,2.268,1.1578,0.182,-0.1336,-0.4832,-0.6343,-0.7574,-0.8711,-1.0608,-1.2748,-1.4585,10.218,-1.6729,-1.9419,-2.0741,-0.008
8/4/12,8.5783,7.0234,5.6698,4.5091,3.4309,2.3151,1.2232,0.2394,-0.1316,-0.4787,-0.6258,-0.7503,-0.8674,-1.0503,-1.2655,-1.444,10.366,-1.6622,-1.9293,-2.0609,-0.0104
8/5/12,8.4097,7.1249,5.6933,4.4722,3.3947,2.3043,1.2464,0.2873,-0.1218,-0.4713,-0.6185,-0.7406,-0.8574,-1.0415,-1.2546,-1.436,10.683,-1.6462,-1.9154,-2.0473,-0.0018
8/6/12,7.0924,6.3747,5.4268,4.396,3.3917,2.3412,1.3029,0.3439,-0.1178,-0.4694,-0.6147,-0.7355,-0.8489,-1.0342,-1.2464,-1.4292,8.679,-1.6338,-1.9008,-2.033,0.0051
8/7/12,7.9415,6.7223,5.2215,4.0812,3.1402,2.1933,1.2533,0.3678,-0.1034,-0.4538,-0.6004,-0.7253,-0.8378,-1.019,-1.2323,-1.4124,10.092,-1.6228,-1.8911,-2.0235,-0.0006
8/8/12,8.3234,7.0441,5.5464,4.3127,3.2789,2.2704,1.3028,0.4104,-0.0939,-0.4467,-0.5914,-0.7181,-0.8273,-1.0081,-1.2216,-1.4014,10.149,-1.6118,-1.8763,-2.0097,-0.0027
8/9/12,8.5684,7.4174,5.8151,4.5145,3.4403,2.3999,1.398,0.4655,-0.0812,-0.4408,-0.5829,-0.7081,-0.8179,-1.0026,-1.2124,-1.3901,11.992,-1.5992,-1.8654,-1.997,-0.0014
8/10/12,8.8586,7.8723,6.1557,4.759,3.6258,2.5429,1.4988,0.5321,-0.0701,-0.428,-0.5737,-0.6956,-0.809,-0.9914,-1.2021,-1.3805,12.493,-1.588,-1.8537,-1.985,-0.006
8/11/12,8.6534,7.8371,6.2095,4.8626,3.747,2.6688,1.6056,0.6091,-0.0562,-0.4232,-0.5681,-0.689,-0.8002,-0.9822,-1.1897,-1.3695,13.176,-1.5748,-1.8415,-1.972,-0.005
8/12/12,8.7143,7.7842,6.1943,4.8869,3.7869,2.7322,1.6932,0.6991,-0.0414,-0.4151,-0.5585,-0.6809,-0.7892,-0.9707,-1.179,-1.3571,14.057,-1.5671,-1.8308,-1.9607,-0.0061
8/13/12,9.7517,8.2835,6.4784,5.0396,3.8593,2.7852,1.7544,0.7605,-0.0243,-0.4088,-0.5489,-0.6725,-0.7824,-0.9618,-1.1686,-1.3492,14.898,-1.5545,-1.8193,-1.9495,-0.0023
8/14/12,11.3158,9.3187,7.2539,5.5723,4.1984,3.0063,1.8993,0.8629,-0.002,-0.3987,-0.5423,-0.6637,-0.7724,-0.9538,-1.1595,-1.3364,15.759,-1.5448,-1.8075,-1.9363,-0.0045
8/15/12,10.2642,8.9413,7.2904,5.8056,4.5015,3.3092,2.1436,1.0323,0.0434,-0.3883,-0.5329,-0.6526,-0.7647,-0.9457,-1.1468,-1.3247,15.473,-1.5337,-1.7977,-1.9281,-0.0098
8/16/12,9.2925,8.3389,7.0893,5.8451,4.6884,3.5003,2.3174,1.1885,0.128,-0.3755,-0.5221,-0.6397,-0.7584,-0.9368,-1.1381,-1.3154,11.708,-1.5206,-1.7825,-1.912,-0.0069
8/17/12,7.0133,6.3846,6.0098,5.299,4.482,3.518,2.4477,1.3453,0.2597,-0.3586,-0.5154,-0.6364,-0.7388,-0.9249,-1.1297,-1.3083,10.785,-1.5115,-1.7729,-1.9025,-0.0078
8/18/12,6.9352,6.292,5.6214,4.748,3.8913,2.9634,2.031,1.1073,0.248,-0.3353,-0.4952,-0.6138,-0.7349,-0.914,-1.1129,-1.292,11.405,-1.5025,-1.7608,-1.889,-0.008
8/19/12,7.9462,6.7223,5.689,4.7896,3.9418,3.0566,2.1464,1.2386,0.3503,-0.3144,-0.4749,-0.6008,-0.7155,-0.898,-1.1092,-1.2847,11.58,-1.4919,-1.7513,-1.8805,-0.0037
8/20/12,7.6627,6.7192,5.7426,4.8623,4.0335,3.1512,2.2423,1.332,0.4363,-0.2853,-0.4523,-0.5843,-0.7035,-0.8905,-1.0994,-1.2742,8.267,-1.4774,-1.7433,-1.8679,0.0036
8/21/12,6.0055,5.605,5.0939,4.4891,3.8491,3.1039,2.2777,1.4096,0.53,-0.2585,-0.4298,-0.5642,-0.6874,-0.8805,-1.0865,-1.2664,7.334,-1.469,-1.7285,-1.8555,-0.0033
8/22/12,7.2106,6.1211,5.1557,4.3626,3.6903,2.9888,2.232,1.4343,0.6134,-0.217,-0.3954,-0.5472,-0.6732,-0.8677,-1.0722,-1.252,10.504,-1.4604,-1.7178,-1.8461,-0.0135
8/23/12,9.0654,7.4856,5.839,4.6959,3.8598,3.0632,2.2649,1.4633,0.6646,-0.1678,-0.3577,-0.5173,-0.6486,-0.8523,-1.0637,-1.244,11.983,-1.4485,-1.7081,-1.8354,0.0064
8/24/12,7.4549,7.0209,6.1229,5.1883,4.3329,3.4455,2.535,1.646,0.7985,-0.1441,-0.3321,-0.4918,-0.6272,-0.8355,-1.0518,-1.2306,9.887,-1.4378,-1.6977,-1.8262,0
8/25/12,7.5406,6.6388,5.7318,4.9266,4.2144,3.4559,2.6192,1.7591,0.9081,-0.1335,-0.3123,-0.4699,-0.6122,-0.8153,-1.0358,-1.2221,9.318,-1.4248,-1.6861,-1.8142,-0.0031
8/26/12,7.8564,6.7778,5.7375,4.8736,4.152,3.3989,2.5876,1.7632,0.9447,-0.1258,-0.2986,-0.456,-0.5949,-0.8048,-1.0253,-1.2088,8.797,-1.4137,-1.6743,-1.8042,-0.006
