Timestamp,TP1_2cm ,TP1_5cm ,TP1_10cm ,TP1_15cm ,TP1_20cm ,TP1_25cm ,TP1_30cm ,TP1_35cm ,TP1_40cm ,TP1_50cm,TP1_60cm ,TP1_70cm ,TP1_80cm ,TP1_100cm ,TP1_125cm ,TP1_150cm,Air Temperature ,1m,2m,3m,SnowDepth 
8/1/12,9.3117,7.8764,5.9388,4.0614,2.2495,0.6919,-0.0657,-0.2517,-0.3628,-0.594,-0.7573,-0.9301,-1.1006,-1.4143,-1.7972,-2.121,11.6775,-1.5149,-2.7891,-3.5356,0.0275
8/2/12,10.4851,8.9934,6.6067,4.5477,2.5841,0.871,-0.0385,-0.2359,-0.3544,-0.5868,-0.7513,-0.9212,-1.091,-1.4025,-1.7791,-2.1008,12.8413,-1.4981,-2.7668,-3.5101,0.0203
8/3/12,8.8178,7.9437,6.4303,4.6364,2.7522,1.0256,-0.0115,-0.2233,-0.3422,-0.5745,-0.7375,-0.909,-1.0786,-1.3902,-1.7612,-2.081,10.8542,-1.4796,-2.742,-3.4837,0.0136
8/4/12,9.8954,8.2673,5.9664,4.1416,2.4824,0.9943,0.0006,-0.2168,-0.3347,-0.5658,-0.7282,-0.8977,-1.0693,-1.3759,-1.7436,-2.0621,11.4696,-1.4625,-2.7164,-3.458,0.0205
8/5/12,8.3125,7.6423,5.6838,4.0173,2.4489,1.0373,0.0181,-0.2052,-0.3245,-0.5568,-0.7178,-0.8868,-1.0557,-1.3589,-1.7281,-2.0411,11.3165,-1.4458,-2.691,-3.4301,0.0196
8/6/12,7.3586,6.488,5.0855,3.7122,2.3275,1.0421,0.036,-0.1957,-0.3135,-0.5481,-0.7062,-0.875,-1.0425,-1.3418,-1.7103,-2.0231,9.4063,-1.4296,-2.6696,-3.406,0.0182
8/7/12,7.8598,7.1315,4.9187,3.3905,2.0959,0.96,0.0469,-0.1854,-0.3041,-0.5363,-0.6968,-0.8636,-1.0308,-1.3321,-1.6932,-2.0014,10.5899,-1.4144,-2.6466,-3.3838,0.0181
8/8/12,8.0296,6.7405,4.7723,3.3363,2.0858,0.9817,0.0686,-0.1746,-0.2955,-0.5293,-0.6852,-0.8507,-1.018,-1.3161,-1.6755,-1.9836,10.4037,-1.3965,-2.6226,-3.3592,0.0201
8/9/12,7.2469,6.7465,4.682,3.2434,2.0342,0.9783,0.089,-0.1668,-0.2855,-0.5183,-0.6747,-0.8407,-1.0048,-1.3007,-1.6599,-1.9673,11.2223,-1.3806,-2.6016,-3.3335,0.0145
8/10/12,8.2329,7.6145,5.0718,3.4275,2.1277,1.033,0.1175,-0.1568,-0.2758,-0.5088,-0.6631,-0.83,-0.993,-1.2879,-1.643,-1.9491,13.1557,-1.369,-2.5832,-3.3066,0.015
8/11/12,10.211,9.2633,5.9799,3.9328,2.4099,1.1804,0.1658,-0.1472,-0.2681,-0.4998,-0.6519,-0.8179,-0.9806,-1.2725,-1.6256,-1.9295,15.2929,-1.3519,-2.5577,-3.2893,0.0155
8/12/12,9.1085,8.9395,6.0691,4.1698,2.6489,1.3488,0.2384,-0.1352,-0.2599,-0.4881,-0.6411,-0.8075,-0.9685,-1.2574,-1.6104,-1.9122,15.4754,-1.3381,-2.539,-3.2634,0.0105
8/13/12,9.7964,8.6266,6.075,4.2546,2.7404,1.4316,0.3036,-0.1244,-0.2503,-0.4782,-0.6307,-0.7955,-0.9562,-1.244,-1.5945,-1.8935,14.6208,-1.3221,-2.516,-3.2427,0.0139
8/14/12,10.4879,8.9807,6.3939,4.4981,2.9161,1.5511,0.3838,-0.1129,-0.2406,-0.4704,-0.6225,-0.7855,-0.9466,-1.23,-1.5804,-1.8769,14.5404,-1.3055,-2.4922,-3.2148,0.0105
8/15/12,10.03,8.7279,6.3098,4.4958,2.964,1.6312,0.4569,-0.093,-0.2295,-0.4538,-0.614,-0.7668,-0.9296,-1.2218,-1.562,-1.856,13.8308,-1.2913,-2.4777,-3.1962,0.0075
8/16/12,9.8746,9.3,7.966,5.9687,3.8455,2.0363,0.617,-0.0747,-0.2174,-0.453,-0.6031,-0.7658,-0.9176,-1.2046,-1.5518,-1.842,12.3046,-1.2734,-2.4542,-3.1695,0.0064
8/17/12,9.4337,9.2917,8.4054,6.7753,4.6657,2.6043,0.9155,-0.0422,-0.2073,-0.44,-0.5936,-0.7531,-0.9148,-1.1957,-1.5332,-1.8185,11.8992,-1.262,-2.4364,-3.1537,0.011
8/18/12,9.5437,9.1533,8.0732,6.5141,4.5846,2.6653,1.0508,-0.0127,-0.1873,-0.4299,-0.5807,-0.737,-0.8951,-1.177,-1.514,-1.8098,11.7696,-1.2461,-2.4169,-3.1305,0.0148
8/19/12,9.2692,8.8963,7.9056,6.4137,4.5543,2.7145,1.1532,0.0224,-0.168,-0.4196,-0.5739,-0.7321,-0.88,-1.1582,-1.5054,-1.792,11.1846,-1.2323,-2.3955,-3.1111,0.0245
