site_id,thaw_depth,lat,lon,date,obs_limit,pf_observed,pf_depth,org_thick,method,source
KC_bore,40,66.56238,-159.00464,2012-08-20,150,1,40,42,temp,Cable_2017
KC_bore,50,66.56238,-159.00464,2013-08-21,150,1,50,42,temp,Cable_2017
KC_bore,50,66.56238,-159.00464,2014-07-24,150,1,50,42,temp,Cable_2017
STS_bore,40,66.501157,-157.60744,2012-08-15,150,1,40,30,temp,Cable_2017
STS_bore,40,66.501157,-157.60744,2013-08-09,150,1,40,30,temp,Cable_2017
STS_bore,40,66.501157,-157.60744,2014-07-23,150,1,40,30,temp,Cable_2017
SV_bore,40,66.605569,-160.019213,2012-08-28,150,1,40,34,temp,Cable_2017
SV_bore,50,66.605569,-160.019213,2013-08-18,150,1,50,34,temp,Cable_2017
SV_bore,40,66.605569,-160.019213,2014-07-15,150,1,40,34,temp,Cable_2017
SS-AWS,50,66.50142,-157.609424,2012-08-17,150,1,50,10,temp,Cable_2017
SS-AWS,25,66.50142,-157.609424,2013-07-14,150,1,25,10,temp,Cable_2017
SS-AWS,25,66.50142,-157.609424,2014-07-15,150,1,25,10,temp,Cable_2017
S3-BEW,25,66.607057,-158.679527,2012-07-28,150,1,25,18,temp,Cable_2017
S3-BEW,25,66.607057,-158.679527,2013-06-19,150,1,25,18,temp,Cable_2017
S3-AWS,50,66.611343,-158.683565,2013-08-06,150,1,50,8,temp,Cable_2017
S3-AWS,50,66.611343,-158.683565,2014-07-02,150,1,50,8,temp,Cable_2017
S1-BF,25,66.763641,-160.092071,2012-07-29,150,1,25,90,temp,Cable_2017
S1-BF,75,66.763641,-160.092071,2013-08-06,150,1,75,90,temp,Cable_2017
S1-BF,75,66.763641,-160.092071,2014-06-12,150,1,75,90,temp,Cable_2017
