date,site,stake,depth,flag,hit_type,crew,notes
9/10/2004,BFBURN,1,55,G,,,
9/10/2004,BFBURN,2,53,G,,,
9/10/2004,BFBURN,3,59,G,,,
9/10/2004,BFBURN,4,54,G,,,
9/10/2004,BFBURN,5,49,G,,,
9/10/2004,BFBURN,6,54,G,,,
9/10/2004,BFBURN,7,47,G,,,
9/10/2004,BFBURN,8,55,G,,,
9/10/2004,BFBURN,9,49,G,,,
9/10/2004,BFBURN,10,48,G,,,
9/10/2005,BFBURN,1,104,G,,,
9/10/2005,BFBURN,2,95,G,,,
9/10/2005,BFBURN,3,93,G,,,
9/10/2005,BFBURN,4,94,G,,,
9/10/2005,BFBURN,5,85,G,,,
9/10/2005,BFBURN,6,84,G,,,
9/10/2005,BFBURN,7,80,G,,,
9/10/2005,BFBURN,8,87,G,,,
9/10/2005,BFBURN,9,95,G,,,
9/10/2005,BFBURN,10,85,G,,,
9/12/2006,BFBURN,1,120,G,,,
9/12/2006,BFBURN,2,109,G,,,
9/12/2006,BFBURN,3,104,G,,,
9/12/2006,BFBURN,4,97,G,,,
9/12/2006,BFBURN,5,96,G,,,
9/12/2006,BFBURN,6,92,G,,,
9/12/2006,BFBURN,7,93,G,,,
9/12/2006,BFBURN,8,92,G,,,
9/12/2006,BFBURN,9,95,G,,,
9/12/2006,BFBURN,10,93,G,,,
9/13/2007,BFBURN,1,130,G,,,
9/13/2007,BFBURN,2,124,G,,,
9/13/2007,BFBURN,3,114,G,,,
9/13/2007,BFBURN,4,97,G,,,
9/13/2007,BFBURN,5,87,G,,,
9/13/2007,BFBURN,6,96,G,,,
9/13/2007,BFBURN,7,91,G,,,
9/13/2007,BFBURN,8,98,G,,,
9/13/2007,BFBURN,9,94,G,,,
9/13/2007,BFBURN,10,94,G,,,
9/23/2008,BFBURN,1,153,G,,,
9/23/2008,BFBURN,2,143,G,,,
9/23/2008,BFBURN,3,130,G,,,
9/23/2008,BFBURN,4,115,G,,,
9/23/2008,BFBURN,5,103,G,,,
9/23/2008,BFBURN,6,98,G,,,
9/23/2008,BFBURN,7,95,G,,,
9/23/2008,BFBURN,8,104,G,,,
9/23/2008,BFBURN,9,96,G,,,
9/23/2008,BFBURN,10,97,G,,,
9/21/2009,BFBURN,1,154,G,,,
9/21/2009,BFBURN,2,100,G,,,
9/21/2009,BFBURN,3,139,G,,,
9/21/2009,BFBURN,4,117,G,,,
9/21/2009,BFBURN,5,119,G,,,
9/21/2009,BFBURN,6,94,G,,,
9/21/2009,BFBURN,7,92,G,,,
9/21/2009,BFBURN,8,100,G,,,
9/21/2009,BFBURN,9,86,G,,,
9/21/2009,BFBURN,10,90,G,,,
9/29/2010,BFBURN,1,162,G,,,
9/29/2010,BFBURN,2,74,G,,,
9/29/2010,BFBURN,3,153,G,,,
9/29/2010,BFBURN,4,73,G,,,
9/29/2010,BFBURN,5,108,G,,,
9/29/2010,BFBURN,6,73,G,,,
9/29/2010,BFBURN,7,100,G,,,
9/29/2010,BFBURN,8,106,G,,,
9/29/2010,BFBURN,9,96,G,,,
9/29/2010,BFBURN,10,90,G,,,
9/27/2011,BFBURN,1,177,G,,,
9/27/2011,BFBURN,2,70,G,,,
9/27/2011,BFBURN,3,157,G,,,
9/27/2011,BFBURN,4,137,G,,,
9/27/2011,BFBURN,5,122,G,,,
9/27/2011,BFBURN,6,108,G,,,
9/27/2011,BFBURN,7,117,G,,,
9/27/2011,BFBURN,8,112,G,,,
9/27/2011,BFBURN,9,95,G,,,
9/27/2011,BFBURN,10,92,G,,,
9/25/2012,BFBURN,1,175,G,,,
9/25/2012,BFBURN,2,171,G,,,
9/25/2012,BFBURN,3,157,G,,,
9/25/2012,BFBURN,4,92,G,,,
9/25/2012,BFBURN,5,127,G,,,
9/25/2012,BFBURN,6,96,G,,,
9/25/2012,BFBURN,7,110,G,,,
9/25/2012,BFBURN,8,100,G,,,
9/25/2012,BFBURN,9,87,G,,,
9/25/2012,BFBURN,10,99,G,,,
10/2/2013,BFBURN,1,166,G,,,
10/2/2013,BFBURN,2,167,G,,,
10/2/2013,BFBURN,3,175,G,,,
10/2/2013,BFBURN,4,152,G,,,
10/2/2013,BFBURN,5,118,G,,,
10/2/2013,BFBURN,6,83,G,,,
10/2/2013,BFBURN,7,114,G,,,
10/2/2013,BFBURN,8,88,G,,,
10/2/2013,BFBURN,9,68,G,,,
10/2/2013,BFBURN,10,74,G,,,
9/24/2014,BFBURN,1,183,G,,,
9/24/2014,BFBURN,2,177,G,,,
9/24/2014,BFBURN,3,180,G,,,
9/24/2014,BFBURN,4,150,G,,,
9/24/2014,BFBURN,5,135,G,,,
9/24/2014,BFBURN,6,123,G,,,
9/24/2014,BFBURN,7,127,G,,,
9/24/2014,BFBURN,8,120,G,,,
9/24/2014,BFBURN,9,99,G,,,
9/24/2014,BFBURN,10,93,G,,,
9/18/2015,BFBURN,1,180,G,,,
9/18/2015,BFBURN,2,173,G,,,
9/18/2015,BFBURN,3,156,G,,,
9/18/2015,BFBURN,4,143,G,,,
9/18/2015,BFBURN,5,125,G,,,
9/18/2015,BFBURN,6,84,R,,,
9/18/2015,BFBURN,7,130,G,,,
9/18/2015,BFBURN,8,82,G,,,
9/18/2015,BFBURN,9,76,G,,,
9/18/2015,BFBURN,10,96,G,,,
9/28/2016,BFBURN,1,195,G,,,
9/28/2016,BFBURN,2,191,G,,,
9/28/2016,BFBURN,3,183,G,,,
9/28/2016,BFBURN,4,158,G,,,
9/28/2016,BFBURN,5,143,G,,,
9/28/2016,BFBURN,6,133,G,,,
9/28/2016,BFBURN,7,139,G,,,
9/28/2016,BFBURN,8,116,G,,,
9/28/2016,BFBURN,9,104,G,,,
9/28/2016,BFBURN,10,106,G,,,
9/29/2017,BFBURN,1,195,G,,,
9/29/2017,BFBURN,2,187,G,,,
9/29/2017,BFBURN,3,184,G,,,
9/29/2017,BFBURN,4,151,G,,,
9/29/2017,BFBURN,5,134,G,,,
9/29/2017,BFBURN,6,127,G,,,
9/29/2017,BFBURN,7,123,G,,,
9/29/2017,BFBURN,8,113,G,,,
9/29/2017,BFBURN,9,74,G,,,
9/29/2017,BFBURN,10,103,G,,,
10/9/2018,BFBURN,1,84,G,,,
10/9/2018,BFBURN,2,190,G,,,
10/9/2018,BFBURN,3,192,G,,,
10/9/2018,BFBURN,4,177,G,,,
10/9/2018,BFBURN,5,173,G,,,
10/9/2018,BFBURN,6,160,G,,,
10/9/2018,BFBURN,7,146,G,,,
10/9/2018,BFBURN,8,123,G,,,
10/9/2018,BFBURN,9,113,G,,,
10/9/2018,BFBURN,10,110,G,,,
10/2/2020,BFBURN,1,82,G,Ice,Maw,
10/2/2020,BFBURN,2,193,G,Ice,Maw,
10/2/2020,BFBURN,3,192,G,Ice,Maw,
10/2/2020,BFBURN,4,180,G,Ice,Maw,
10/2/2020,BFBURN,5,178,G,Ice,Maw,
10/2/2020,BFBURN,6,158,G,Ice,Maw,
10/2/2020,BFBURN,7,159,G,Ice,Maw,
10/2/2020,BFBURN,8,130,G,Ice,Maw,
10/2/2020,BFBURN,9,110,G,Ice,Maw,
10/2/2020,BFBURN,10,108,G,Ice,Maw,
9/21/2021,BFBURN,1,207,G,Ice,"MAW, OPH",
9/21/2021,BFBURN,2,194,G,Ice,"MAW, OPH",
9/21/2021,BFBURN,3,192,G,Ice,"MAW, OPH",
9/21/2021,BFBURN,4,183,G,Ice,"MAW, OPH",
9/21/2021,BFBURN,5,182,G,Ice,"MAW, OPH",
9/21/2021,BFBURN,6,179,G,Ice,"MAW, OPH",
9/21/2021,BFBURN,7,156,G,Ice,"MAW, OPH",
9/21/2021,BFBURN,8,123,G,Ice,"MAW, OPH",
9/21/2021,BFBURN,9,114,G,Ice,"MAW, OPH",
9/21/2021,BFBURN,10,111,G,Ice,"MAW, OPH",
9/27/2022,BFBURN,10,67,G,Ice,Jh mw,
9/27/2022,BFBURN,9,55,G,Ice,Jh mw,
9/27/2022,BFBURN,8,79,G,Ice,Jh mw,
9/27/2022,BFBURN,1,200,G,Ice,Jh mw,
9/27/2022,BFBURN,2,195,G,Rock,Jh mw,
9/27/2022,BFBURN,7,188,G,Ice,Jh mw,
9/27/2022,BFBURN,3,155,G,Ice,Jh mw,
9/27/2022,BFBURN,6,178,G,Ice,Jh mw,Rocky layer at 77
9/27/2022,BFBURN,4,130,G,Ice,Jh mw,
9/27/2022,BFBURN,5,191,G,Rock,Jh mw,
10/3/2023,BFBURN,1,204,G,Ice,KO,
10/3/2023,BFBURN,2,193,G,Ice,KO,
10/3/2023,BFBURN,3,190,G,Ice,KO,
10/3/2023,BFBURN,4,178,G,Ice,KO,
10/3/2023,BFBURN,5,176,G,Ice,KO,
10/3/2023,BFBURN,6,171,G,Ice,KO,
10/3/2023,BFBURN,7,132,G,Ice,KO,
10/3/2023,BFBURN,8,88,G,Rock,KO,May be ice. Not sure
10/3/2023,BFBURN,9,85,G,Ice,KO,
10/3/2023,BFBURN,10,72,G,Ice,KO,
9/10/2004,BFCONTROL,1,45,G,,,
9/10/2004,BFCONTROL,2,48,G,,,
9/10/2004,BFCONTROL,3,48,G,,,
9/10/2004,BFCONTROL,4,42,G,,,
9/10/2004,BFCONTROL,5,38,G,,,
9/10/2004,BFCONTROL,6,35,G,,,
9/10/2004,BFCONTROL,7,48,G,,,
9/10/2004,BFCONTROL,8,53,G,,,
9/10/2004,BFCONTROL,9,50,G,,,
9/10/2004,BFCONTROL,10,53,G,,,
9/10/2005,BFCONTROL,1,55,G,,,
9/10/2005,BFCONTROL,2,53,G,,,
9/10/2005,BFCONTROL,3,51,G,,,
9/10/2005,BFCONTROL,4,51,G,,,
9/10/2005,BFCONTROL,5,50,G,,,
9/10/2005,BFCONTROL,6,46,G,,,
9/10/2005,BFCONTROL,7,57,G,,,
9/10/2005,BFCONTROL,8,52,G,,,
9/10/2005,BFCONTROL,9,57,G,,,
9/10/2005,BFCONTROL,10,64,G,,,
9/12/2006,BFCONTROL,1,44,G,,,
9/12/2006,BFCONTROL,2,42,G,,,
9/12/2006,BFCONTROL,3,51,G,,,
9/12/2006,BFCONTROL,4,52,G,,,
9/12/2006,BFCONTROL,5,39,G,,,
9/12/2006,BFCONTROL,6,39,G,,,
9/12/2006,BFCONTROL,7,49,G,,,
9/12/2006,BFCONTROL,8,58,G,,,
9/12/2006,BFCONTROL,9,54,G,,,
9/12/2006,BFCONTROL,10,59,G,,,
9/13/2007,BFCONTROL,1,50,G,,,
9/13/2007,BFCONTROL,2,42,G,,,
9/13/2007,BFCONTROL,3,47,G,,,
9/13/2007,BFCONTROL,4,49,G,,,
9/13/2007,BFCONTROL,5,51,G,,,
9/13/2007,BFCONTROL,6,39,G,,,
9/13/2007,BFCONTROL,7,50,G,,,
9/13/2007,BFCONTROL,8,50,G,,,
9/13/2007,BFCONTROL,9,55,G,,,
9/13/2007,BFCONTROL,10,60,G,,,
9/23/2008,BFCONTROL,1,52,G,,,
9/23/2008,BFCONTROL,2,42,G,,,
9/23/2008,BFCONTROL,3,55,G,,,
9/23/2008,BFCONTROL,4,56,G,,,
9/23/2008,BFCONTROL,5,45,G,,,
9/23/2008,BFCONTROL,6,41,G,,,
9/23/2008,BFCONTROL,7,56,G,,,
9/23/2008,BFCONTROL,8,58,G,,,
9/23/2008,BFCONTROL,9,52,G,,,
9/23/2008,BFCONTROL,10,58,G,,,
9/21/2009,BFCONTROL,1,54,G,,,
9/21/2009,BFCONTROL,2,50,G,,,
9/21/2009,BFCONTROL,3,55,G,,,
9/21/2009,BFCONTROL,4,45,G,,,
9/21/2009,BFCONTROL,5,42,G,,,
9/21/2009,BFCONTROL,6,40,G,,,
9/21/2009,BFCONTROL,7,49,G,,,
9/21/2009,BFCONTROL,8,49,G,,,
9/21/2009,BFCONTROL,9,53,G,,,
9/21/2009,BFCONTROL,10,57,G,,,
9/29/2010,BFCONTROL,1,54,G,,,
9/29/2010,BFCONTROL,2,44,G,,,
9/29/2010,BFCONTROL,3,50,G,,,
9/29/2010,BFCONTROL,4,45,G,,,
9/29/2010,BFCONTROL,5,40,G,,,
9/29/2010,BFCONTROL,6,40,G,,,
9/29/2010,BFCONTROL,7,50,G,,,
9/29/2010,BFCONTROL,8,46,G,,,
9/29/2010,BFCONTROL,9,52,G,,,
9/29/2010,BFCONTROL,10,58,G,,,
9/27/2011,BFCONTROL,1,53,G,,,
9/27/2011,BFCONTROL,2,45,G,,,
9/27/2011,BFCONTROL,3,39,G,,,
9/27/2011,BFCONTROL,4,48,G,,,
9/27/2011,BFCONTROL,5,47,G,,,
9/27/2011,BFCONTROL,6,43,G,,,
9/27/2011,BFCONTROL,7,53,G,,,
9/27/2011,BFCONTROL,8,50,G,,,
9/27/2011,BFCONTROL,9,58,G,,,
9/27/2011,BFCONTROL,10,58,G,,,
9/25/2012,BFCONTROL,1,50,G,,,
