date,site,stake,depth,flag,hit_type,crew,notes
8/30/2002,SL1A,1,101,G,,,
8/30/2002,SL1A,2,74,G,,,
8/30/2002,SL1A,3,76,G,,,
8/30/2002,SL1A,4,66,G,,,
8/30/2002,SL1A,5,73,G,,,
8/30/2002,SL1A,6,71,G,,,
8/30/2002,SL1A,7,78,G,,,
8/30/2002,SL1A,8,57,G,,,
8/30/2002,SL1A,9,79,G,,,
8/30/2002,SL1A,10,79,G,,,
8/30/2002,SL1A,11,101,G,,,
8/30/2002,SL1A,12,80,G,,,
8/30/2002,SL1A,13,81,G,,,
8/30/2002,SL1A,14,75,G,,,
8/30/2002,SL1A,15,70,G,,,
8/30/2002,SL1A,16,68,G,,,
8/30/2002,SL1A,17,74,G,,,
8/30/2002,SL1A,18,81,G,,,
8/30/2002,SL1A,19,93,G,,,
8/30/2002,SL1A,20,105,G,,,
8/26/2003,SL1A,1,122,G,,,
8/26/2003,SL1A,2,90,G,,,
8/26/2003,SL1A,3,90,G,,,
8/26/2003,SL1A,4,85,G,,,
8/26/2003,SL1A,5,86,G,,,
8/26/2003,SL1A,6,87,G,,,
8/26/2003,SL1A,7,95,G,,,
8/26/2003,SL1A,8,75,G,,,
8/26/2003,SL1A,9,99,G,,,
8/26/2003,SL1A,10,100,G,,,
8/26/2003,SL1A,11,115,G,,,
8/26/2003,SL1A,12,95,G,,,
8/26/2003,SL1A,13,87,G,,,
8/26/2003,SL1A,14,93,G,,,
8/26/2003,SL1A,15,72,G,,,
8/26/2003,SL1A,16,81,G,,,
8/26/2003,SL1A,17,83,G,,,
8/26/2003,SL1A,18,85,G,,,
8/26/2003,SL1A,19,110,G,,,
8/26/2003,SL1A,20,120,G,,,
9/15/2004,SL1A,1,170,G,,,
9/15/2004,SL1A,2,105,G,,,
9/15/2004,SL1A,3,125,G,,,
9/15/2004,SL1A,4,115,G,,,
9/15/2004,SL1A,5,100,G,,,
9/15/2004,SL1A,6,125,G,,,
9/15/2004,SL1A,7,125,G,,,
9/15/2004,SL1A,8,113,G,,,
9/15/2004,SL1A,9,142,G,,,
9/15/2004,SL1A,10,152,G,,,
9/15/2004,SL1A,11,150,G,,,
9/15/2004,SL1A,12,125,G,,,
9/15/2004,SL1A,13,127,G,,,
9/15/2004,SL1A,14,115,G,,,
9/15/2004,SL1A,15,95,G,,,
9/15/2004,SL1A,16,105,G,,,
9/15/2004,SL1A,17,116,G,,,
9/15/2004,SL1A,18,124,G,,,
9/15/2004,SL1A,19,170,G,,,
9/15/2004,SL1A,20,150,G,,,
9/12/2005,SL1A,1,210,G,,,
9/12/2005,SL1A,2,155,G,,,
9/12/2005,SL1A,3,155,G,,,
9/12/2005,SL1A,4,145,G,,,
9/12/2005,SL1A,5,131,G,,,
9/12/2005,SL1A,6,145,G,,,
9/12/2005,SL1A,7,154,G,,,
9/12/2005,SL1A,8,143,G,,,
9/12/2005,SL1A,9,180,G,,,
9/12/2005,SL1A,10,188,G,,,
9/12/2005,SL1A,11,182,G,,,
9/12/2005,SL1A,12,157,G,,,
9/12/2005,SL1A,13,160,G,,,
9/12/2005,SL1A,14,150,G,,,
9/12/2005,SL1A,15,127,G,,,
9/12/2005,SL1A,16,135,G,,,
9/12/2005,SL1A,17,148,G,,,
9/12/2005,SL1A,18,158,G,,,
9/12/2005,SL1A,19,211,G,,,
9/12/2005,SL1A,20,188,G,,,
9/11/2006,SL1A,1,181,G,,,
9/11/2006,SL1A,2,158,G,,,
9/11/2006,SL1A,3,165,G,,,
9/11/2006,SL1A,4,148,G,,,
9/11/2006,SL1A,5,140,G,,,
9/11/2006,SL1A,6,152,G,,,
9/11/2006,SL1A,7,162,G,,,
9/11/2006,SL1A,8,148,G,,,
9/11/2006,SL1A,9,188,G,,,
9/11/2006,SL1A,10,192,G,,,
9/11/2006,SL1A,11,195,G,,,
9/11/2006,SL1A,12,160,G,,,
9/11/2006,SL1A,13,165,G,,,
9/11/2006,SL1A,14,160,G,,,
9/11/2006,SL1A,15,134,G,,,
9/11/2006,SL1A,16,135,G,,,
9/11/2006,SL1A,17,153,G,,,
9/11/2006,SL1A,18,159,G,,,
9/11/2006,SL1A,19,210,G,,,
9/11/2006,SL1A,20,196,G,,,
9/19/2007,SL1A,1,125,G,,,
9/19/2007,SL1A,2,175,G,,,
9/19/2007,SL1A,3,180,G,,,
9/19/2007,SL1A,4,170,G,,,
9/19/2007,SL1A,5,168,G,,,
9/19/2007,SL1A,6,160,G,,,
9/19/2007,SL1A,7,176,G,,,
9/19/2007,SL1A,8,105,G,,,
9/19/2007,SL1A,9,205,G,,,
9/19/2007,SL1A,10,195,G,,,
9/19/2007,SL1A,11,221,G,,,
9/19/2007,SL1A,12,120,G,,,
9/19/2007,SL1A,13,125,G,,,
9/19/2007,SL1A,14,177,G,,,
9/19/2007,SL1A,15,104,G,,,
9/19/2007,SL1A,16,107,G,,,
9/19/2007,SL1A,17,157,G,,,
9/19/2007,SL1A,18,160,G,,,
9/19/2007,SL1A,19,225,G,,,
9/19/2007,SL1A,20,202,G,,,
9/24/2008,SL1A,1,210,G,,,
9/24/2008,SL1A,2,185,G,,,
9/24/2008,SL1A,3,200,G,,,
9/24/2008,SL1A,4,189,G,,,
9/24/2008,SL1A,5,184,G,,,
9/24/2008,SL1A,6,177,G,,,
9/24/2008,SL1A,7,194,G,,,
9/24/2008,SL1A,8,127,G,,,
9/24/2008,SL1A,9,199,G,,,
9/24/2008,SL1A,10,205,G,,,
9/24/2008,SL1A,11,226,G,,,
9/24/2008,SL1A,12,155,G,,,
9/24/2008,SL1A,13,173,G,,,
9/24/2008,SL1A,14,190,G,,,
9/24/2008,SL1A,15,143,G,,,
9/24/2008,SL1A,16,155,G,,,
9/24/2008,SL1A,17,147,G,,,
9/24/2008,SL1A,18,150,G,,,
9/24/2008,SL1A,19,225,G,,,
9/24/2008,SL1A,20,212,G,,,
9/24/2009,SL1A,1,208,G,,,
9/24/2009,SL1A,2,200,G,,,
9/24/2009,SL1A,3,,O,,,
9/24/2009,SL1A,4,198,G,,,
9/24/2009,SL1A,5,178,G,,,
9/24/2009,SL1A,6,185,G,,,
9/24/2009,SL1A,7,210,G,,,
9/24/2009,SL1A,8,148,G,,,
9/24/2009,SL1A,9,205,G,,,
9/24/2009,SL1A,10,212,G,,,
9/24/2009,SL1A,11,245,G,,,
9/24/2009,SL1A,12,164,G,,,
9/24/2009,SL1A,13,182,G,,,
9/24/2009,SL1A,14,206,G,,,
9/24/2009,SL1A,15,157,G,,,
9/24/2009,SL1A,16,150,G,,,
9/24/2009,SL1A,17,183,G,,,
9/24/2009,SL1A,18,185,G,,,
9/24/2009,SL1A,19,240,G,,,
9/24/2009,SL1A,20,218,G,,,
9/27/2010,SL1A,1,230,G,,,
9/27/2010,SL1A,2,220,G,,,
9/27/2010,SL1A,3,241,G,,,
9/27/2010,SL1A,4,212,G,,,
9/27/2010,SL1A,5,207,G,,,
9/27/2010,SL1A,6,198,G,,,
9/27/2010,SL1A,7,223,G,,,
9/27/2010,SL1A,8,162,G,,,
9/27/2010,SL1A,9,212,G,,,
9/27/2010,SL1A,10,229,G,,,
9/27/2010,SL1A,11,245,G,,,
9/27/2010,SL1A,12,160,G,,,
9/27/2010,SL1A,13,187,G,,,
9/27/2010,SL1A,14,217,G,,,
9/27/2010,SL1A,15,158,G,,,
9/27/2010,SL1A,16,170,G,,,
9/27/2010,SL1A,17,164,G,,,
9/27/2010,SL1A,18,164,G,,,
9/27/2010,SL1A,19,245,G,,,
9/27/2010,SL1A,20,234,G,,,
9/21/2011,SL1A,1,278,G,,,
9/21/2011,SL1A,2,250,G,,,
9/21/2011,SL1A,3,245,G,,,
9/21/2011,SL1A,4,223,G,,,
9/21/2011,SL1A,5,233,G,,,
9/21/2011,SL1A,6,205,G,,,
9/21/2011,SL1A,7,236,G,,,
9/21/2011,SL1A,8,180,G,,,
9/21/2011,SL1A,9,297,G,,,
9/21/2011,SL1A,10,374,G,,,
9/21/2011,SL1A,11,381,G,,,
9/21/2011,SL1A,12,215,G,,,
9/21/2011,SL1A,13,215,G,,,
9/21/2011,SL1A,14,370,G,,,
9/21/2011,SL1A,15,227,G,,,
9/21/2011,SL1A,16,180,G,,,
9/21/2011,SL1A,17,180,G,,,
9/21/2011,SL1A,18,171,G,,,
9/21/2011,SL1A,19,255,G,,,
9/21/2011,SL1A,20,270,G,,,
9/26/2012,SL1A,1,248,G,,,
9/26/2012,SL1A,2,234,G,,,
9/26/2012,SL1A,3,236,G,,,
9/26/2012,SL1A,4,230,G,,,
9/26/2012,SL1A,5,223,G,,,
9/26/2012,SL1A,6,209,G,,,
9/26/2012,SL1A,7,236,G,,,
9/26/2012,SL1A,8,176,G,,,
9/26/2012,SL1A,9,246,G,,,
9/26/2012,SL1A,10,251,G,,,
9/26/2012,SL1A,11,279,G,,,
9/26/2012,SL1A,12,179,G,,,
9/26/2012,SL1A,13,211,G,,,
9/26/2012,SL1A,14,355,G,,,
9/26/2012,SL1A,15,162,G,,,
9/26/2012,SL1A,16,267,G,,,
9/26/2012,SL1A,17,189,G,,,
9/26/2012,SL1A,18,166,G,,,
9/26/2012,SL1A,19,268,G,,,
9/26/2012,SL1A,20,243,G,,,
9/23/2013,SL1A,1,245,G,,,
9/23/2013,SL1A,2,244,G,,,
9/23/2013,SL1A,3,212,G,,,
9/23/2013,SL1A,4,187,G,,,
9/23/2013,SL1A,5,223,G,,,
9/23/2013,SL1A,6,210,G,,,
9/23/2013,SL1A,7,244,G,,,
9/23/2013,SL1A,8,174,G,,,
9/23/2013,SL1A,9,242,G,,,
9/23/2013,SL1A,10,254,G,,,
9/23/2013,SL1A,11,265,G,,,
9/23/2013,SL1A,12,197,G,,,
9/23/2013,SL1A,13,203,G,,,
9/23/2013,SL1A,14,227,G,,,
9/23/2013,SL1A,15,161,G,,,
9/23/2013,SL1A,16,188,G,,,
9/23/2013,SL1A,17,181,G,,,
9/23/2013,SL1A,18,176,G,,,
9/23/2013,SL1A,19,263,G,,,
9/23/2013,SL1A,20,245,G,,,
9/25/2014,SL1A,1,264,G,,,
9/25/2014,SL1A,2,260,G,,,
9/25/2014,SL1A,3,249,G,,,
9/25/2014,SL1A,4,250,G,,,
9/25/2014,SL1A,5,231,G,,,
9/25/2014,SL1A,6,205,G,,,
9/25/2014,SL1A,7,258,G,,,
9/25/2014,SL1A,8,207,G,,,
9/25/2014,SL1A,9,254,G,,,
9/25/2014,SL1A,10,141,G,,,
9/25/2014,SL1A,11,286,G,,,
9/25/2014,SL1A,12,193,G,,,
9/25/2014,SL1A,13,221,G,,,
9/25/2014,SL1A,14,251,G,,,
9/25/2014,SL1A,15,185,G,,,
9/25/2014,SL1A,16,224,G,,,
9/25/2014,SL1A,17,212,G,,,
9/25/2014,SL1A,18,212,G,,,
9/25/2014,SL1A,19,286,G,,,
9/25/2014,SL1A,20,255,G,,,
9/17/2015,SL1A,1,195,G,,,
9/17/2015,SL1A,2,270,G,,,
9/17/2015,SL1A,3,265,G,,,
9/17/2015,SL1A,4,248,G,,,
9/17/2015,SL1A,5,250,G,,,
9/17/2015,SL1A,6,230,G,,,
9/17/2015,SL1A,7,257,G,,,
9/17/2015,SL1A,8,221,G,,,
9/17/2015,SL1A,9,262,G,,,
9/17/2015,SL1A,10,285,G,,,
9/17/2015,SL1A,11,287,G,,,
9/17/2015,SL1A,12,218,G,,,
9/17/2015,SL1A,13,241,G,,,
9/17/2015,SL1A,14,270,G,,,
9/17/2015,SL1A,15,205,G,,,
9/17/2015,SL1A,16,243,G,,,
9/17/2015,SL1A,17,235,G,,,
9/17/2015,SL1A,18,222,G,,,
9/17/2015,SL1A,19,300,G,,,
9/17/2015,SL1A,20,300,G,,,
9/27/2016,SL1A,1,261,G,,,
9/27/2016,SL1A,2,289,G,,,
9/27/2016,SL1A,3,266,G,,,
9/27/2016,SL1A,4,284,G,,,
9/27/2016,SL1A,5,261,G,,,
9/27/2016,SL1A,6,259,G,,,
9/27/2016,SL1A,7,288,G,,,
9/27/2016,SL1A,8,247,G,,,
9/27/2016,SL1A,9,283,G,,,
9/27/2016,SL1A,10,315,G,,,
9/27/2016,SL1A,11,315,G,,,
9/27/2016,SL1A,12,250,G,,,
9/27/2016,SL1A,13,263,G,,,
9/27/2016,SL1A,14,281,G,,,
9/27/2016,SL1A,15,213,G,,,
9/27/2016,SL1A,16,255,G,,,
9/27/2016,SL1A,17,250,G,,,
9/27/2016,SL1A,18,280,G,,,
9/27/2016,SL1A,19,320,G,,,
9/27/2016,SL1A,20,301,G,,,
9/26/2017,SL1A,1,309,G,,,
9/26/2017,SL1A,2,302,G,,,
9/26/2017,SL1A,3,203,G,,,
9/26/2017,SL1A,4,287,G,,,
9/26/2017,SL1A,5,269,G,,,
9/26/2017,SL1A,6,268,G,,,
9/26/2017,SL1A,7,290,G,,,
9/26/2017,SL1A,8,241,G,,,
9/26/2017,SL1A,9,306,G,,,
9/26/2017,SL1A,10,331,G,,,
9/26/2017,SL1A,11,316,G,,,
9/26/2017,SL1A,12,259,G,,,
9/26/2017,SL1A,13,263,G,,,
9/26/2017,SL1A,14,301,G,,,
9/26/2017,SL1A,15,231,G,,,
9/26/2017,SL1A,16,255,G,,,
9/26/2017,SL1A,17,268,G,,,
9/26/2017,SL1A,18,264,G,,,
9/26/2017,SL1A,19,322,G,,,
9/26/2017,SL1A,20,229,G,,,
10/4/2018,SL1A,1,267,G,,,
10/4/2018,SL1A,2,318,G,,,
10/4/2018,SL1A,3,306,G,,,
10/4/2018,SL1A,4,293,G,,,
10/4/2018,SL1A,5,287,G,,,
10/4/2018,SL1A,6,269,G,,,
10/4/2018,SL1A,7,304,G,,,
10/4/2018,SL1A,8,263,G,,,
10/4/2018,SL1A,9,306,G,,,
10/4/2018,SL1A,10,330,G,,,
10/4/2018,SL1A,11,339,G,,,
10/4/2018,SL1A,12,286,G,,,
10/4/2018,SL1A,13,285,G,,,
10/4/2018,SL1A,14,311,G,,,
10/4/2018,SL1A,15,247,G,,,
10/4/2018,SL1A,16,281,G,,,
10/4/2018,SL1A,17,281,G,,,
10/4/2018,SL1A,18,299,G,,,
10/4/2018,SL1A,19,318,G,,,
10/4/2018,SL1A,20,312,R,,,
10/7/2019,SL1A,1,337,G,Ice,"Kdo, maw",
10/7/2019,SL1A,2,323,G,Ice,"Kdo, maw",
10/7/2019,SL1A,3,311,G,Ice,"Kdo, maw",
10/7/2019,SL1A,4,316,G,Ice,"Kdo, maw",
10/7/2019,SL1A,5,307,G,Ice,"Kdo, maw",
10/7/2019,SL1A,6,279,G,Ice,"Kdo, maw",
10/7/2019,SL1A,7,319,G,Ice,"Kdo, maw",
10/7/2019,SL1A,8,276,G,Ice,"Kdo, maw",
10/7/2019,SL1A,9,330,G,Ice,"Kdo, maw",
10/7/2019,SL1A,10,349,G,Ice,"Kdo, maw",
10/7/2019,SL1A,11,350,G,Ice,"Kdo, maw",
10/7/2019,SL1A,12,292,G,Ice,"Kdo, maw",
10/7/2019,SL1A,13,303,G,Ice,"Kdo, maw",
10/7/2019,SL1A,14,328,G,Ice,"Kdo, maw",
10/7/2019,SL1A,15,266,G,Ice,"Kdo, maw",
10/7/2019,SL1A,16,297,G,Ice,"Kdo, maw",
10/7/2019,SL1A,17,290,R,Rock,"Kdo, maw",
10/7/2019,SL1A,18,300,G,Ice,"Kdo, maw",
10/7/2019,SL1A,19,339,G,Ice,"Kdo, maw",
10/7/2019,SL1A,20,335,G,Ice,"Kdo, maw",
9/23/2020,SL1A,1,263,G,Ice,Jpd Lmd,
9/23/2020,SL1A,2,348,G,Ice,Jpd Lmd,
9/23/2020,SL1A,3,313,G,Ice,Jpd Lmd,
9/23/2020,SL1A,4,273,G,Ice,Jpd Lmd,
9/23/2020,SL1A,5,192,G,Ice,Jpd Lmd,
9/23/2020,SL1A,6,264,G,Ice,Jpd Lmd,
9/23/2020,SL1A,7,253,G,Ice,Jpd Lmd,
9/23/2020,SL1A,8,281,G,Ice,Jpd Lmd,
9/23/2020,SL1A,9,324,G,Ice,Jpd Lmd,
9/23/2020,SL1A,10,375,G,Ice,Jpd Lmd,
9/23/2020,SL1A,11,174,G,Ice,Jpd Lmd,
9/23/2020,SL1A,12,332,G,Ice,Jpd Lmd,
9/23/2020,SL1A,13,308,G,Ice,Jpd Lmd,
9/23/2020,SL1A,14,319,G,Ice,Jpd Lmd,
9/23/2020,SL1A,15,273,G,Ice,Jpd Lmd,
9/23/2020,SL1A,16,294,G,Ice,Jpd Lmd,
9/23/2020,SL1A,17,239,G,Ice,Jpd Lmd,
9/23/2020,SL1A,18,303,G,Ice,Jpd Lmd,
9/23/2020,SL1A,19,339,G,Ice,Jpd Lmd,
9/23/2020,SL1A,20,337,G,Ice,Jpd Lmd,
9/10/2021,SL1A,1,356,G,Rock,"MAW, OPH",
9/10/2021,SL1A,2,363,G,Ice,"MAW, OPH",
9/10/2021,SL1A,3,325,G,Ice,"MAW, OPH",
9/10/2021,SL1A,4,328,G,Ice,"MAW, OPH",
9/10/2021,SL1A,5,318,G,Ice,"MAW, OPH",
9/10/2021,SL1A,6,306,G,Ice,"MAW, OPH",
9/10/2021,SL1A,7,337,G,Ice,"MAW, OPH",
9/10/2021,SL1A,8,308,G,Ice,"MAW, OPH",
9/10/2021,SL1A,9,335,G,Ice,"MAW, OPH",
9/10/2021,SL1A,10,357,G,Ice,"MAW, OPH",
9/10/2021,SL1A,11,356,G,Ice,"MAW, OPH",
9/10/2021,SL1A,12,317,G,Ice,"MAW, OPH",
9/10/2021,SL1A,13,335,G,Ice,"MAW, OPH",
9/10/2021,SL1A,14,342,G,Ice,"MAW, OPH",
9/10/2021,SL1A,15,269,G,Ice,"MAW, OPH",Sounded like rock but tip was cold
9/10/2021,SL1A,16,322,G,Rock,"MAW, OPH","Sounds like rock. Gas exuded from hole, smelled badly like sulphur"
9/10/2021,SL1A,17,309,G,Rock,"MAW, OPH",
9/10/2021,SL1A,18,304,G,Ice,"MAW, OPH",
9/10/2021,SL1A,19,339,G,Ice,"MAW, OPH",
9/10/2021,SL1A,20,375,G,Rock,"MAW, OPH",Maxed out 3 segment of probe. Couldnt remove handle
9/28/2022,SL1A,1,-9999,,None,"Ern,maw,oph,jsc",
9/28/2022,SL1A,2,-9999,,None,"Ern,maw,oph,jsc",
9/28/2022,SL1A,3,-9999,,None,"Ern,maw,oph,jsc",
9/28/2022,SL1A,4,-9999,,None,"Ern,maw,oph,jsc",
9/28/2022,SL1A,5,-9999,,None,"Ern,maw,oph,jsc",
9/28/2022,SL1A,6,343,G,Ice,"Ern,maw,oph,jsc",
9/28/2022,SL1A,8,312,G,Ice,"Ern,maw,oph,jsc",
9/28/2022,SL1A,10,-9999,,None,"Ern,maw,oph,jsc",
9/28/2022,SL1A,11,-9999,,None,"Ern,maw,oph,jsc",
9/28/2022,SL1A,12,-9999,,None,"Ern,maw,oph,jsc",
9/28/2022,SL1A,13,-9999,,None,"Ern,maw,oph,jsc",
9/28/2022,SL1A,14,-9999,,None,"Ern,maw,oph,jsc",
