site_id,thaw_depth,date,pf_observed,pf_depth,lat,lon,source,method,obs_limit
BFBURN,52.3,2004-09-10,1,52.3,65.15142,-147.47664,Chapin_2025,tp,
BFBURN,90.2,2005-09-10,1,90.2,65.15142,-147.47664,Chapin_2025,tp,
BFBURN,99.1,2006-09-12,1,99.1,65.15142,-147.47664,Chapin_2025,tp,
BFBURN,102.5,2007-09-13,1,102.5,65.15142,-147.47664,Chapin_2025,tp,
BFBURN,113.4,2008-09-23,1,113.4,65.15142,-147.47664,Chapin_2025,tp,
BFBURN,109.1,2009-09-21,1,109.1,65.15142,-147.47664,Chapin_2025,tp,
BFBURN,103.5,2010-09-29,1,103.5,65.15142,-147.47664,Chapin_2025,tp,
BFBURN,118.7,2011-09-27,1,118.7,65.15142,-147.47664,Chapin_2025,tp,
BFBURN,121.4,2012-09-25,1,121.4,65.15142,-147.47664,Chapin_2025,tp,
BFBURN,120.5,2013-10-02,1,120.5,65.15142,-147.47664,Chapin_2025,tp,
BFBURN,138.7,2014-09-24,1,138.7,65.15142,-147.47664,Chapin_2025,tp,
BFBURN,129.0,2015-09-18,1,129.0,65.15142,-147.47664,Chapin_2025,tp,
BFBURN,146.8,2016-09-28,1,146.8,65.15142,-147.47664,Chapin_2025,tp,
BFBURN,139.1,2017-09-29,1,139.1,65.15142,-147.47664,Chapin_2025,tp,
BFBURN,146.8,2018-10-09,1,146.8,65.15142,-147.47664,Chapin_2025,tp,
BFBURN,149.0,2020-10-02,1,149.0,65.15142,-147.47664,Chapin_2025,tp,
BFBURN,164.1,2021-09-21,1,164.1,65.15142,-147.47664,Chapin_2025,tp,
BFBURN,143.8,2022-09-27,1,143.8,65.15142,-147.47664,Chapin_2025,tp,
BFBURN,148.9,2023-10-03,1,148.9,65.15142,-147.47664,Chapin_2025,tp,
BFBURN,154.1,2024-10-01,1,154.1,65.15142,-147.47664,Chapin_2025,tp,
BFCONTROL,46.0,2004-09-10,1,46.0,65.15472,-147.49046,Chapin_2025,tp,
BFCONTROL,53.6,2005-09-10,1,53.6,65.15472,-147.49046,Chapin_2025,tp,
BFCONTROL,48.7,2006-09-12,1,48.7,65.15472,-147.49046,Chapin_2025,tp,
BFCONTROL,49.3,2007-09-13,1,49.3,65.15472,-147.49046,Chapin_2025,tp,
BFCONTROL,51.5,2008-09-23,1,51.5,65.15472,-147.49046,Chapin_2025,tp,
BFCONTROL,49.4,2009-09-21,1,49.4,65.15472,-147.49046,Chapin_2025,tp,
BFCONTROL,47.9,2010-09-29,1,47.9,65.15472,-147.49046,Chapin_2025,tp,
BFCONTROL,49.4,2011-09-27,1,49.4,65.15472,-147.49046,Chapin_2025,tp,
