Site,alt_prb,unc_alt_prb,owtt,vel,unc_vel,cv,alt_gpr,unc_alt_gpr,vwc,unc_vwc
BH_HD_1,0.38,0.03,7.101941,0.053506,0.018185,0.139794,0.300923,0.042067,0.478277,0.06686
BH_HD_1,0.36,0.03,7.733136,0.046553,0.015822,0.139794,0.327668,0.045806,0.560868,0.078406
BH_HD_1,0.35,0.03,8.09488,0.043237,0.014695,0.139794,0.342996,0.047949,0.606851,0.084834
BH_HD_1,0.33,0.03,8.26983,0.039904,0.013562,0.139794,0.350409,0.048985,0.663364,0.092734
BH_HD_1,0.38,0.03,8.275431,0.045919,0.015606,0.139794,0.350646,0.049018,0.569189,0.079569
BH_HD_1,0.39,0.03,8.340337,0.046761,0.015892,0.139794,0.353396,0.049403,0.558177,0.07803
BH_HD_1,0.41,0.03,8.361621,0.049034,0.016665,0.139794,0.354298,0.049529,0.529788,0.074061
BH_HD_1,0.37,0.03,8.49086,0.043576,0.01481,0.139794,0.359774,0.050294,0.601818,0.08413
BH_HD_1,0.4,0.03,8.84322,0.045232,0.015373,0.139794,0.374705,0.052381,0.57842,0.08086
BH_HD_1,0.41,0.03,8.964155,0.045738,0.015545,0.139794,0.379829,0.053098,0.571604,0.079907
BH_HD_1,0.43,0.03,8.669384,0.0496,0.016857,0.139794,0.367339,0.051352,0.522974,0.073109
BH_HD_1,0.38,0.03,8.429502,0.04508,0.015321,0.139794,0.357175,0.049931,0.580505,0.081151
BH_HD_1,0.39,0.03,8.125597,0.047996,0.016312,0.139794,0.344297,0.048131,0.542522,0.075841
BH_HD_1,0.4,0.03,7.738635,0.051689,0.017567,0.139794,0.327901,0.045839,0.498597,0.069701
BH_HD_1,0.36,0.03,7.623271,0.047224,0.01605,0.139794,0.323013,0.045155,0.552244,0.0772
BH_HD_1,0.3,0.03,7.714362,0.038889,0.013217,0.139794,0.326873,0.045695,0.684524,0.095692
BH_HD_1,0.35,0.03,7.631368,0.045863,0.015587,0.139794,0.323356,0.045203,0.56993,0.079673
BH_HD_1,0.4,0.03,7.570017,0.05284,0.017958,0.139794,0.320756,0.04484,0.485635,0.067889
BH_HD_1,0.41,0.03,7.447692,0.055051,0.01871,0.139794,0.315573,0.044115,0.461628,0.064533
BH_HD_1,0.32,0.03,7.503757,0.042645,0.014494,0.139794,0.317949,0.044447,0.615879,0.086096
BH_HD_1,0.38,0.03,7.735314,0.049125,0.016696,0.139794,0.32776,0.045819,0.528677,0.073906
BH_HD_1,0.34,0.03,8.018306,0.042403,0.014411,0.139794,0.339751,0.047495,0.619673,0.086627
BH_HD_1,0.37,0.03,8.56647,0.043192,0.014679,0.139794,0.362978,0.050742,0.607534,0.08493
BH_HD_1,0.38,0.03,9.081095,0.041845,0.014222,0.139794,0.384784,0.05379,0.628653,0.087882
BH_HD_1,0.41,0.03,10.121007,0.04051,0.013768,0.139794,0.428847,0.05995,0.651847,0.091124
BH_HD_1,0.44,0.03,11.737823,0.037486,0.01274,0.139794,0.497355,0.069527,0.718916,0.1005
BH_HD_1,0.5,0.03,12.402406,0.040315,0.013702,0.139794,0.525514,0.073464,0.655478,0.091632
BH_HD_1,0.5,0.03,12.904972,0.038745,0.013168,0.139794,0.546809,0.076441,0.687741,0.096142
BH_HD_1,0.54,0.03,13.218251,0.040853,0.013884,0.139794,0.560083,0.078296,0.645631,0.090255
BH_HD_1,0.54,0.03,13.764715,0.039231,0.013333,0.139794,0.583238,0.081533,0.677101,0.094655
BH_HD_1,0.55,0.03,14.16857,0.038818,0.013193,0.139794,0.60035,0.083925,0.686087,0.095911
BH_HD_1,0.58,0.03,14.357269,0.040398,0.01373,0.139794,0.608346,0.085043,0.653926,0.091415
BH_HD_1,0.59,0.03,14.600692,0.040409,0.013734,0.139794,0.61866,0.086485,0.653714,0.091385
BH_HD_1,0.6,0.03,14.729301,0.040735,0.013844,0.139794,0.624109,0.087247,0.647738,0.09055
BH_HD_1,0.61,0.03,14.908807,0.040915,0.013906,0.139794,0.631715,0.08831,0.644513,0.090099
BH_HD_1,0.59,0.03,15.38382,0.038352,0.013034,0.139794,0.651843,0.091124,0.696858,0.097416
BH_HD_1,0.6,0.03,15.184737,0.039513,0.013429,0.139794,0.643407,0.089944,0.671204,0.09383
BH_HD_1,0.6,0.03,15.751046,0.038093,0.012946,0.139794,0.667403,0.093299,0.703159,0.098297
BH_HD_1,0.61,0.03,15.997356,0.038131,0.012959,0.139794,0.677839,0.094758,0.702206,0.098164
BH_HD_1,0.59,0.03,15.82472,0.037283,0.012671,0.139794,0.670524,0.093735,0.724512,0.101282
BH_HD_1,0.58,0.03,15.626883,0.037116,0.012614,0.139794,0.662142,0.092563,0.729304,0.101952
BH_HD_1,0.6,0.03,15.884672,0.037772,0.012837,0.139794,0.673065,0.09409,0.711292,0.099434
BH_HD_1,0.63,0.03,16.676921,0.037777,0.012839,0.139794,0.706634,0.098783,0.711175,0.099418
BH_HD_1,0.65,0.03,16.738741,0.038832,0.013198,0.139794,0.709253,0.099149,0.68578,0.095868
BH_HD_1,0.66,0.03,16.695529,0.039532,0.013435,0.139794,0.707422,0.098893,0.670831,0.093778
BH_HD_1,0.66,0.03,16.631117,0.039685,0.013487,0.139794,0.704693,0.098512,0.667724,0.093344
BH_HD_1,0.69,0.03,17.168778,0.040189,0.013659,0.139794,0.727475,0.101697,0.657852,0.091964
BH_HD_1,0.69,0.03,17.847822,0.03866,0.013139,0.139794,0.756247,0.105719,0.689663,0.096411
BH_HD_1,0.71,0.03,17.802111,0.039883,0.013555,0.139794,0.75431,0.105448,0.66378,0.092792
BH_HD_1,0.68,0.03,17.690235,0.038439,0.013064,0.139794,0.74957,0.104785,0.694788,0.097127
BH_HD_1,0.69,0.03,17.298503,0.039888,0.013556,0.139794,0.732971,0.102465,0.663683,0.092779
BH_HD_1,0.69,0.03,17.23122,0.040044,0.013609,0.139794,0.730121,0.102066,0.660647,0.092354
BH_HD_1,0.68,0.03,17.22176,0.039485,0.013419,0.139794,0.72972,0.10201,0.671788,0.093912
BH_HD_1,0.65,0.03,17.146106,0.037909,0.012884,0.139794,0.726514,0.101562,0.707761,0.098941
BH_HD_1,0.64,0.03,17.018796,0.037605,0.012781,0.139794,0.72112,0.100808,0.715686,0.100049
BH_HD_1,0.62,0.03,16.642607,0.037254,0.012661,0.139794,0.70518,0.09858,0.725349,0.101399
BH_HD_1,0.62,0.03,16.103039,0.038502,0.013085,0.139794,0.682317,0.095384,0.693316,0.096921
BH_HD_1,0.59,0.03,15.681078,0.037625,0.012787,0.139794,0.664438,0.092884,0.715167,0.099976
BH_HD_1,0.57,0.03,15.389853,0.037037,0.012588,0.139794,0.652098,0.091159,0.731581,0.102271
BH_HD_1,0.54,0.03,15.043169,0.035897,0.0122,0.139794,0.637409,0.089106,0.768757,0.107468
BH_HD_1,0.52,0.03,14.252475,0.036485,0.0124,0.139794,0.603905,0.084422,0.748607,0.104651
BH_HD_1,0.5,0.03,13.459335,0.037149,0.012626,0.139794,0.570298,0.079724,0.72834,0.101817
BH_HD_1,0.48,0.03,12.671698,0.03788,0.012874,0.139794,0.536925,0.075059,0.708521,0.099047
BH_HD_1,0.41,0.03,11.797957,0.034752,0.011811,0.139794,0.499903,0.069883,0.815576,0.114013
BH_HD_1,0.35,0.03,10.5727,0.033104,0.011251,0.139794,0.447986,0.062626,-8888,-8888
BH_HD_1,0.35,0.03,8.887733,0.03938,0.013384,0.139794,0.376591,0.052645,0.673959,0.094215
BH_HD_1,0.38,0.03,7.253018,0.052392,0.017806,0.139794,0.307325,0.042962,0.490641,0.068589
BH_HD_1,0.4,0.03,7.207736,0.055496,0.018861,0.139794,0.305406,0.042694,0.456928,0.063876
BH_HD_1,0.34,0.03,7.453864,0.045614,0.015503,0.139794,0.315835,0.044152,0.573262,0.080138
BH_HD_1,0.37,0.03,8.002746,0.046234,0.015713,0.139794,0.339092,0.047403,0.56503,0.078988
BH_HD_1,0.36,0.03,8.486432,0.042421,0.014417,0.139794,0.359587,0.050268,0.619394,0.086588
BH_HD_1,0.31,0.03,8.220965,0.037708,0.012816,0.139794,0.348338,0.048696,0.712959,0.099667
BH_HD_1,0.33,0.03,8.227119,0.040111,0.013632,0.139794,0.348599,0.048732,0.659343,0.092172
BH_HD_1,0.33,0.03,8.367263,0.039439,0.013404,0.139794,0.354537,0.049562,0.672727,0.094043
BH_HD_1,0.31,0.03,7.930212,0.039091,0.013286,0.139794,0.336019,0.046973,0.680093,0.095073
BH_HD_1,0.32,0.03,7.207962,0.044395,0.015088,0.139794,0.305416,0.042695,0.590022,0.082481
BH_HD_1,0.35,0.03,6.328232,0.055308,0.018797,0.139794,0.26814,0.037484,0.458909,0.064153
BH_HD_1,0.41,0.03,5.954085,0.06886,0.023403,0.139794,0.252286,0.035268,0.33613,0.046989
BH_HD_1,0.32,0.03,7.039471,0.045458,0.01545,0.139794,0.298276,0.041697,0.575361,0.080432
BH_HD_1,0.33,0.03,7.072444,0.04666,0.015858,0.139794,0.299673,0.041893,0.559479,0.078212
MS_HD_1,0.38,0.03,7.017573,0.05415,0.026677,0.278941,0.353148,0.098507,0.471274,0.131457
MS_HD_1,0.38,0.03,7.429427,0.051148,0.025198,0.278941,0.373874,0.104289,0.504798,0.140809
MS_HD_1,0.31,0.03,7.053255,0.043951,0.021653,0.278941,0.354944,0.099008,0.596356,0.166348
MS_HD_1,0.38,0.03,7.518917,0.050539,0.024898,0.278941,0.378377,0.105545,0.511869,0.142781
MS_HD_1,0.49,0.03,9.004995,0.054414,0.026807,0.278941,0.453162,0.126405,0.468422,0.130662
MS_HD_1,0.48,0.03,7.447992,0.064447,0.03175,0.278941,0.374808,0.104549,0.371816,0.103715
MS_HD_1,0.47,0.03,6.771489,0.069409,0.034194,0.278941,0.340764,0.095053,0.331967,0.092599
MS_HD_1,0.5,0.03,8.504924,0.058789,0.028963,0.278941,0.427997,0.119386,0.423559,0.118148
MS_HD_1,0.47,0.03,9.963836,0.047171,0.023239,0.278941,0.501414,0.139865,0.552922,0.154232
MS_HD_1,0.5,0.03,7.655017,0.065317,0.032178,0.278941,0.385226,0.107455,0.364468,0.101665
MS_HD_1,0.39,0.03,6.843159,0.056991,0.028077,0.278941,0.344371,0.096059,0.441476,0.123146
MS_HD_1,0.32,0.03,6.838682,0.046793,0.023052,0.278941,0.344146,0.095996,0.557766,0.155584
MS_HD_1,0.58,0.03,7.714836,0.07518,0.037037,0.278941,0.388237,0.108295,0.29156,0.081328
MS_HD_1,0.75,0.03,10.849471,0.069128,0.034056,0.278941,0.545982,0.152297,0.334092,0.093192
MS_HD_1,0.96,0.03,12.450845,0.077103,0.037985,0.278941,0.626569,0.174776,0.279388,0.077933
MS_HD_1,0.97,0.03,12.311454,0.078788,0.038815,0.278941,0.619554,0.172819,0.269216,0.075095
MS_HD_1,0.83,0.03,11.188468,0.074184,0.036546,0.278941,0.563042,0.157055,0.298109,0.083155
MS_HD_1,0.88,0.03,12.081959,0.072836,0.035882,0.278941,0.608005,0.169597,0.307244,0.085703
MS_HD_1,0.98,0.03,12.574875,0.077933,0.038394,0.278941,0.63281,0.176517,0.274322,0.07652
MS_HD_1,1.02,0.03,13.287806,0.076762,0.037817,0.278941,0.668687,0.186524,0.281502,0.078522
MS_HD_1,1.04,0.03,17.580466,0.059157,0.029143,0.278941,0.884709,0.246781,0.419989,0.117152
MS_HD_1,0.71,0.03,22.14932,0.032055,0.015792,0.278941,1.114629,0.310916,-8888,-8888
MS_HD_1,0.71,0.03,23.514239,0.030194,0.014875,0.278941,1.183316,0.330075,-8888,-8888
MS_HD_1,0.95,0.03,23.292126,0.040786,0.020093,0.278941,1.172139,0.326957,0.646817,0.180424
MS_HD_1,0.89,0.03,23.820266,0.037363,0.018407,0.278941,1.198717,0.334371,0.722284,0.201475
MS_HD_1,0.96,0.03,24.666287,0.03892,0.019174,0.278941,1.241291,0.346247,0.683838,0.19075
MS_HD_1,0.96,0.03,24.857844,0.03862,0.019026,0.278941,1.250931,0.348936,0.690593,0.192635
MS_HD_1,0.95,0.03,25.205339,0.03769,0.018568,0.278941,1.268418,0.353814,0.713433,0.199006
MS_HD_1,1,0.03,26.208903,0.038155,0.018797,0.278941,1.318921,0.367901,0.701624,0.195712
MS_HD_1,1,0.03,27.08812,0.036917,0.018187,0.278941,1.363166,0.380243,0.735163,0.205067
MS_HD_1,1,0.03,26.496912,0.03774,0.018593,0.278941,1.333414,0.371944,0.712126,0.198641
MS_HD_1,0.96,0.03,25.180228,0.038125,0.018782,0.278941,1.267154,0.353461,0.702358,0.195916
MS_HD_1,0.98,0.03,25.191533,0.038902,0.019165,0.278941,1.267723,0.35362,0.684226,0.190859
MS_HD_1,1,0.03,25.099646,0.039841,0.019628,0.278941,1.263099,0.35233,0.664603,0.185385
MS_HD_1,0.98,0.03,23.835243,0.041116,0.020256,0.278941,1.19947,0.334581,0.640993,0.178799
MS_HD_1,0.74,0.03,19.019471,0.038907,0.019168,0.278941,0.957124,0.266981,0.684103,0.190824
MS_HD_1,0.7,0.03,16.500896,0.042422,0.020899,0.278941,0.830381,0.231627,0.619374,0.172769
MS_HD_1,0.56,0.03,12.444806,0.044999,0.022169,0.278941,0.626265,0.174691,0.581618,0.162237
MS_HD_1,0.48,0.03,10.128217,0.047392,0.023348,0.278941,0.509686,0.142172,0.550105,0.153447
MS_HD_1,0.47,0.03,11.473535,0.040964,0.020181,0.278941,0.577387,0.161057,0.643656,0.179542
MS_HD_1,0.5,0.03,11.275412,0.044344,0.021846,0.278941,0.567417,0.158276,0.590744,0.164783
MS_HD_1,0.5,0.03,10.865911,0.046015,0.022669,0.278941,0.546809,0.152528,0.567912,0.158414
MS_HD_1,0.45,0.03,10.340236,0.043519,0.02144,0.278941,0.520356,0.145148,0.602657,0.168106
MS_HD_1,0.38,0.03,10.621353,0.035777,0.017625,0.278941,0.534502,0.149095,0.773148,0.215663
MS_HD_1,0.45,0.03,9.64321,0.046665,0.022989,0.278941,0.485279,0.135364,0.559415,0.156044
MS_HD_1,0.4,0.03,8.809584,0.045405,0.022369,0.278941,0.443328,0.123662,0.576075,0.160691
MS_HD_1,0.36,0.03,8.789184,0.040959,0.020179,0.278941,0.442302,0.123376,0.643733,0.179564
MS_HD_1,0.4,0.03,8.414075,0.047539,0.02342,0.278941,0.423425,0.11811,0.548247,0.152929
