Site,Date,Num,ALT1 (cm),ALT 2 (cm),ALT 3 (cm),ALT Ave (cm),Lat (deg),Lon (deg),Time,File,Comments,Vegetation
North Ridge,2014-08-11,10,22,-9999,-9999,22,68.647345,-149.3605483,2724,1,depth to rock; aggregate rock visible on surface; thin soil on top of ridge; multiple eratics,mossy vegetation; bushes and short shrubs; tussocks and frost boils
North Ridge,2014-08-11,1,53,-9999,-9999,53,68.64726,-149.387463,643,1,,
North Ridge,2014-08-11,2,52,-9999,-9999,52,68.6472567,-149.3838783,851,1,,
North Ridge,2014-08-11,3,41,-9999,-9999,41,68.6473017,-149.3795383,1164,1,,
North Ridge,2014-08-11,4,27,-9999,-9999,27,68.6474083,-149.37531,1528,1,,
North Ridge,2014-08-11,5,47,-9999,-9999,47,68.6474383,-149.37379,1631,1,,
North Ridge,2014-08-11,6,64,-9999,-9999,64,68.6473917,-149.371625,1800,1,,
North Ridge,2014-08-11,9,48,-9999,-9999,48,68.6473933,-149.36225,2588,1,,
North Ridge,2014-08-11,14,54,-9999,-9999,54,68.64799,-149.35252,3328,1,,
North Ridge,2014-08-11,15,48,-9999,-9999,48,68.64831,-149.3493367,3737,1,,
North Ridge,2014-08-11,16,56,-9999,-9999,56,68.6484483,-149.34823,3829,1,,
North Ridge,2014-08-11,17,62,-9999,-9999,62,68.6482433,-149.346455,4142,1,,
North Ridge,2014-08-11,18,43,-9999,-9999,43,68.64839,-149.3442567,4337,1,,
North Ridge,2014-08-11,19,46,-9999,-9999,46,68.648455,-149.342425,4492,1,,
North Ridge,2014-08-11,20,53,-9999,-9999,53,68.6487183,-149.3404217,4680,1,,
North Ridge,2014-08-11,21,29,-9999,-9999,29,68.64898,-149.338395,4848,1,,
North Ridge,2014-08-11,24,39,-9999,-9999,39,68.650405,-149.3319267,5344,1,,
North Ridge,2014-08-11,26,62,-9999,-9999,62,68.6511667,-149.326335,356,2,,
North Ridge,2014-08-11,27,71,-9999,-9999,71,68.6514933,-149.3236667,553,2,,
North Ridge,2014-08-11,28,42,-9999,-9999,42,68.651495,-149.3220067,679,2,,
North Ridge,2014-08-11,29,48,-9999,-9999,48,68.6515117,-149.3205083,787,2,,
