thaw_depth,date,Site,lat,lon,source,obs_limit,pf_observed,data_source,method
22.0,2014-08-11,North Ridge,68.647345,-149.3605483,Chen_2015,130,1,Chen_2015,tp
53.0,2014-08-11,North Ridge,68.64726,-149.387463,Chen_2015,130,1,Chen_2015,tp
52.0,2014-08-11,North Ridge,68.6472567,-149.3838783,Chen_2015,130,1,Chen_2015,tp
41.0,2014-08-11,North Ridge,68.6473017,-149.3795383,Chen_2015,130,1,Chen_2015,tp
27.0,2014-08-11,North Ridge,68.6474083,-149.37531,Chen_2015,130,1,Chen_2015,tp
47.0,2014-08-11,North Ridge,68.6474383,-149.37379,Chen_2015,130,1,Chen_2015,tp
64.0,2014-08-11,North Ridge,68.6473917,-149.371625,Chen_2015,130,1,Chen_2015,tp
48.0,2014-08-11,North Ridge,68.6473933,-149.36225,Chen_2015,130,1,Chen_2015,tp
54.0,2014-08-11,North Ridge,68.64799,-149.35252,Chen_2015,130,1,Chen_2015,tp
48.0,2014-08-11,North Ridge,68.64831,-149.3493367,Chen_2015,130,1,Chen_2015,tp
56.0,2014-08-11,North Ridge,68.6484483,-149.34823,Chen_2015,130,1,Chen_2015,tp
62.0,2014-08-11,North Ridge,68.6482433,-149.346455,Chen_2015,130,1,Chen_2015,tp
43.0,2014-08-11,North Ridge,68.64839,-149.3442567,Chen_2015,130,1,Chen_2015,tp
46.0,2014-08-11,North Ridge,68.648455,-149.342425,Chen_2015,130,1,Chen_2015,tp
53.0,2014-08-11,North Ridge,68.6487183,-149.3404217,Chen_2015,130,1,Chen_2015,tp
29.0,2014-08-11,North Ridge,68.64898,-149.338395,Chen_2015,130,1,Chen_2015,tp
39.0,2014-08-11,North Ridge,68.650405,-149.3319267,Chen_2015,130,1,Chen_2015,tp
62.0,2014-08-11,North Ridge,68.6511667,-149.326335,Chen_2015,130,1,Chen_2015,tp
71.0,2014-08-11,North Ridge,68.6514933,-149.3236667,Chen_2015,130,1,Chen_2015,tp
