OBJECTID,Point_Id,Lat,Lon,Time,Thaw depth [cm],Rock_depth [cm],NEAR_DIST [m],Permafrost_Table [m amsl],Surface_Elev [m amsl],Differential elev [m],Slope [m/m]
1,TRANS-1A026,69.16933165,-148.8910007,12/30/1899 0:00:00,40,no rocks,16.98556355,328.15387,328.55387,2.05974,0.121264154
2,TRANS-1A027,69.16932792,-148.8910809,12/30/1899 0:00:00,30,no rocks,14.10148619,327.79589,328.09589,1.60176,0.113588027
3,TRANS-1A028,69.16932468,-148.8911476,12/30/1899 0:00:00,39,no rocks,11.69557782,327.20323,327.59323,1.0991,0.09397569
4,TRANS-1A029,69.16931999,-148.8911938,12/30/1899 0:00:00,40,no rocks,9.877059343,326.69581,327.09581,0.60168,0.060916917
5,TRANS-1A030,69.16931961,-148.8912276,12/30/1899 0:00:00,45,no rocks,8.735695419,326.39217,326.84217,0.34804,0.039841133
6,TRANS-1A031,69.1693177,-148.8912638,12/30/1899 0:00:00,52,no rocks,7.420908314,326.19991,326.71991,0.22578,0.030424847
7,TRANS-1A032,69.16931605,-148.8912999,12/30/1899 0:00:00,52,no rocks,6.123490859,326.13279,326.65279,0.15866,0.025910057
8,TRANS-1A033,69.16931267,-148.8913337,12/30/1899 0:00:00,72,no rocks,4.79854875,325.77857,326.49857,0.00444,0.00092528
9,TRANS-1A034,69.16931198,-148.8913535,12/30/1899 0:00:00,95,no rocks,4.100975548,325.54413,326.49413,0,
,,,,,,,,,,,
10,TRANS-1A035,69.16970435,-148.8915066,12/30/1899 0:00:00,c.n.p.,no rocks,-0.579243317,,326.16472,0,0
11,TRANS-1B002,69.16970689,-148.8915427,12/30/1899 0:00:00,105,no rocks,-0.825217539,325.45193,326.50193,0.33721,0.408631644
12,TRANS-1B003,69.16971413,-148.8916,12/30/1899 0:00:00,107,no rocks,-3.219511982,325.89786,326.96786,0.80314,0.249460168
13,TRANS-1B004,69.16972566,-148.8916426,12/30/1899 0:00:00,106,no rocks,-5.311705409,326.05335,327.11335,0.94863,0.178592359
14,TRANS-1B005,69.16974055,-148.8917039,12/30/1899 0:00:00,46,no rocks,-8.233626032,327.10996,327.56996,1.40524,0.170670856
15,TRANS-1B006,69.1697544,-148.8917425,12/30/1899 0:00:00,45,no rocks,-10.30339244,327.18943,327.63943,1.47471,0.143128587
16,TRANS-1B007,69.16976716,-148.891767,12/30/1899 0:00:00,53,no rocks,-11.82072392,326.92743,327.45743,1.29271,0.109359631
17,TRANS-1B008,69.1697764,-148.8918104,12/30/1899 0:00:00,49,no rocks,-13.8255072,326.92681,327.41681,1.25209,0.090563766
18,TRANS-1B009,69.16979946,-148.8918965,12/30/1899 0:00:00,40,no rocks,-18.04173082,327.42728,327.82728,1.66256,0.092150804
19,TRANS-1B010,69.16984013,-148.8920877,12/30/1899 0:00:00,39,no rocks,-26.86562925,328.16124,328.55124,2.38652,
,,,,,,,,,,,
20,TRANS-1B011,69.16969248,-148.8914187,12/30/1899 0:00:00,95,no rocks,4.286647968,325.28601,326.23601,0,0
21,TRANS-1B012,69.16969275,-148.8913937,12/30/1899 0:00:00,68,no rocks,5.154567198,326.23817,326.91817,0.68216,0.132340888
22,TRANS-1B013,69.16968222,-148.891357,12/30/1899 0:00:00,44,no rocks,6.987812362,327.16474,327.60474,1.36873,0.195873891
23,TRANS-1B014,69.16967329,-148.8913026,12/30/1899 0:00:00,42,no rocks,9.366809267,327.64029,328.06029,1.82428,0.194760024
24,TRANS-1B015,69.16964943,-148.891178,12/30/1899 0:00:00,27,no rocks,14.98009005,327.83425,328.10425,1.86824,0.124714871
25,TRANS-1B016,69.16962947,-148.8910626,12/30/1899 0:00:00,30,no rocks,20.07573144,327.779,328.079,1.84299,0.091801886
26,TRANS-1B017,69.16958208,-148.8909161,12/30/1899 0:00:00,33,no rocks,27.66575366,328.24757,328.57757,2.34156,0.084637492
27,TRANS-1B018,69.16955008,-148.8907363,12/30/1899 0:00:00,31,no rocks,35.64735454,328.3897,328.6997,2.46369,0.069112843
28,TRANS-1B019,69.16950456,-148.8905512,12/30/1899 0:00:00,49,no rocks,42.51907027,328.35914,328.84914,2.61313,0.061457835
29,TRANS-1B020,69.16946681,-148.8903467,12/30/1899 0:00:00,44,no rocks,46.95585877,328.83444,329.27444,3.03843,0.064708219
30,TRANA001,69.17156273,-148.8843655,12/30/1899 0:00:00,c.n.p.,no rocks,-2.043051254,,323.92872,0,0
31,TRANA002,69.17156768,-148.8843841,12/30/1899 0:00:00,82,no rocks,-2.960547911,323.38578,324.20578,0.27706,0.093584028
32,TRANA003,69.17157506,-148.8843994,12/30/1899 0:00:00,54,no rocks,-3.965606399,323.96379,324.50379,0.57507,0.145014392
33,TRANA004,69.17158024,-148.8844206,12/30/1899 0:00:00,39,no rocks,-4.974753693,324.2525,324.6425,0.71378,0.14348047
