OBJECTID,Point_Id,Lat,Lon,Time,Thaw depth [cm],Rock_depth [cm],NEAR_DIST [m],Permafrost_Table [m amsl],Surface_Elev [m amsl],Differential elev [m],Slope [m/m]
1,TRAN001,69.19847385,-148.8148918,8/26/2016 8:24,63,no rocks,198.7517247,306.21741,306.84741,17.82091,0.089664178
2,TRAN002,69.19853835,-148.8152085,8/26/2016 8:25,54,no rocks,185.1190645,305.79791,306.33791,17.31141,0.093515004
3,TRAN003,69.1986901,-148.8158014,8/26/2016 8:26,59,no rocks,158.9904308,305.12893,305.71893,16.69243,0.104990155
4,TRAN004,69.19878657,-148.8160948,8/26/2016 8:27,49,no rocks,145.6379056,304.42283,304.91283,15.88633,0.109081011
5,TRAN005,69.19884295,-148.816557,8/26/2016 8:27,47,no rocks,126.4910048,303.18508,303.65508,14.62858,0.115649172
6,TRAN006,69.19893432,-148.8169971,8/26/2016 8:28,53,no rocks,107.5137536,301.6726,302.2026,13.1761,0.122552693
7,TRAN007,69.19903168,-148.8173022,8/26/2016 8:29,43,no rocks,93.68979608,300.68103,301.11103,12.08453,0.128984484
8,TRAN008,69.19910949,-148.8175051,8/26/2016 8:30,52,no rocks,84.23744771,299.68729,300.20729,11.18079,0.132729449
9,TRAN009,69.19916494,-148.8176533,8/26/2016 8:30,46,no rocks,77.36303771,298.94335,299.40335,10.37685,0.134131884
10,TRAN010,69.19924801,-148.8178865,8/26/2016 8:31,43,no rocks,66.62519127,297.81883,298.24883,9.22233,0.138421066
11,TRAN011,69.19941096,-148.8181324,8/26/2016 8:32,57,no rocks,53.81626434,296.13842,296.70842,7.68192,0.142743464
12,TRAN012,69.1995445,-148.818513,8/26/2016 8:33,52,no rocks,36.33441883,293.96825,294.48825,5.46175,0.150318904
13,TRAN013,69.19957641,-148.8187199,8/26/2016 8:34,48,no rocks,27.63221716,292.78022,293.26022,4.23372,0.153216804
14,TRAN014,69.19959245,-148.8188283,8/26/2016 8:35,62,no rocks,23.08288555,291.83834,292.45834,3.43184,0.148674653
15,TRAN015,69.19961194,-148.8188815,8/26/2016 8:35,52,no rocks,20.62604501,291.0673,291.5873,2.5608,0.124153709
16,TRAN016,69.19962566,-148.8189335,8/26/2016 8:37,91,no rocks,18.32444735,289.8096,290.7196,1.6931,0.092395692
17,TRAN017,69.19962521,-148.8189685,8/26/2016 8:38,104,no rocks,16.96902592,289.10518,290.14518,1.11868,0.065924821
18,TRAN018,69.19962444,-148.819139,8/26/2016 8:40,c.n.p.,no rocks,10.33054487,287.7765,289.0265,0,
,,,,,,,,,,,
19,TRAN029,69.19973794,-148.819651,8/26/2016 8:47,c.n.p.,no rocks,-11.88830688,287.4403,288.6903,0,0
20,TRAN030,69.19966778,-148.8196912,8/26/2016 8:51,100,no rocks,-12.07273296,288.65638,289.65638,0.96608,0.080021649
21,TRAN031,69.19967185,-148.8197111,8/26/2016 8:51,95,no rocks,-12.92973465,289.08534,290.03534,1.34504,0.104026884
22,TRAN032,69.1996843,-148.8197828,8/26/2016 8:52,73,no rocks,-15.97185361,289.70558,290.43558,1.74528,0.109272226
23,TRAN033,69.19969146,-148.8198404,8/26/2016 8:53,64,no rocks,-18.36110465,290.27101,290.91101,2.22071,0.120946427
24,TRAN034,69.19969888,-148.8198875,8/26/2016 8:54,54,no rocks,-20.34705488,290.66427,291.20427,2.51397,0.123554491
25,TRAN035,69.19971011,-148.8199274,8/26/2016 8:54,55,no rocks,-22.12583765,290.69329,291.24329,2.55299,0.11538501
26,TRAN036,69.19971426,-148.8199572,8/26/2016 8:55,55,no rocks,-23.36889147,291.06296,291.61296,2.92266,0.125066266
27,TRAN037,69.19972634,-148.8200279,8/26/2016 8:55,60,no rocks,-26.36775161,291.64351,292.24351,3.55321,0.134755896
28,TRAN038,69.1997448,-148.8201336,8/26/2016 8:56,51,no rocks,-30.85527162,292.53743,293.04743,4.35713,0.14121185
29,TRAN039,69.19977526,-148.8202859,8/26/2016 8:56,36,no rocks,-37.39904654,293.50104,293.86104,5.17074,0.138258605
30,TRAN040,69.19981181,-148.8204411,8/26/2016 8:57,54,no rocks,-44.17477315,294.00707,294.54707,5.85677,0.132581779
48,ACTTRAN001,69.20254326,-148.8134992,8/26/2016 10:56,49,no rocks,69.58493816,290.69975,291.18975,5.20907,0.07485916
49,ACTTRAN002,69.20258142,-148.8136965,8/26/2016 10:56,45,no rocks,60.74609293,290.01498,290.46498,4.4843,0.073820386
50,ACTTRAN003,69.20263574,-148.8138816,8/26/2016 10:57,50,no rocks,51.25549833,289.23769,289.73769,3.75701,0.073299648
51,ACTTRAN004,69.20269552,-148.8140207,8/26/2016 10:58,48,no rocks,42.89221912,288.39966,288.87966,2.89898,0.06758755
52,ACTTRAN005,69.2027484,-148.8141807,8/26/2016 10:58,47,no rocks,34.30289878,287.40914,287.87914,1.89846,0.055344011
53,ACTTRAN006,69.20278372,-148.814278,8/26/2016 10:59,56,no rocks,28.87436192,286.72295,287.28295,1.30227,0.045101256
54,ACTTRAN007,69.20280894,-148.8143932,8/26/2016 11:00,c.n.p.,no rocks,23.52355415,284.73068,285.98068,0,
,,,,,,,,,,,
55,ACTTRAN026,69.20310164,-148.8152751,8/26/2016 11:19,c.n.p.,no rocks,-23.90452763,282.3833,283.6333,0,0
56,ACTTRAN027,69.20311094,-148.8152966,8/26/2016 11:20,c.n.p.,no rocks,-25.19964683,282.68525,283.93525,0.30195,0.011982311
57,ACTTRAN028,69.20312303,-148.8153341,8/26/2016 11:22,90,no rocks,-27.1937287,283.44635,284.34635,0.71305,0.026221119
58,ACTTRAN029,69.20314914,-148.815435,8/26/2016 11:23,65,no rocks,-32.14092874,284.16011,284.81011,1.17681,0.036614063
59,ACTTRAN030,69.20316785,-148.8155249,8/26/2016 11:24,55,no rocks,-36.25322816,284.72851,285.27851,1.64521,0.045381062
60,ACTTRAN031,69.20321843,-148.8156583,8/26/2016 11:24,59,no rocks,-43.83667327,285.03306,285.62306,1.98976,0.045390306
61,ACTTRAN032,69.20327968,-148.8157807,8/26/2016 11:25,57,no rocks,-51.75648246,285.41623,285.98623,2.35293,0.045461552
62,ACTTRAN033,69.20333539,-148.8158967,8/26/2016 11:25,54,no rocks,-59.10932293,286.07102,286.61102,2.97772,0.050376486
63,ACTTRAN034,69.20335567,-148.8161761,8/26/2016 11:26,49,no rocks,-69.43677895,286.79167,287.28167,3.64837,0.052542328
64,ACTTRAN035,69.20341439,-148.8165089,8/26/2016 11:27,57,no rocks,-83.98014384,287.50149,288.07149,4.43819,0.052848088
65,ACTTRAN016,69.20581511,-148.8100907,8/26/2016 13:17,105,no rocks,-27.34870902,279.74502,280.79502,,
66,ACTTRAN017,69.20585548,-148.8103118,8/26/2016 13:20,60,no rocks,-37.02680422,281.52149,282.12149,,
67,ACTTRAN018,69.2058954,-148.810487,8/26/2016 13:20,58,no rocks,-45.24006334,282.39482,282.97482,,
68,ACTTRAN019,69.20600207,-148.810692,8/26/2016 13:21,43,no rocks,-58.96643939,283.68068,284.11068,,
69,ACTTRAN020,69.20609766,-148.810833,8/26/2016 13:22,49,no rocks,-69.93193924,284.58532,285.07532,,
,,,,,,,,,,,
70,ACTTRAN030,69.20546791,-148.8090142,8/26/2016 13:33,55,no rocks,30.11784804,279.68158,280.23158,0,
71,ACTTRAN031,69.20546313,-148.8089784,8/26/2016 13:33,c.n.p.,no rocks,31.56550025,279.25372,280.50372,0.27214,0.008621438
72,ACTTRAN032,69.20545205,-148.8088767,8/26/2016 13:34,100,no rocks,35.50378519,279.70086,280.70086,0.46928,0.013217746
73,ACTTRAN033,69.20544102,-148.8087824,8/26/2016 13:35,125,no rocks,39.20563234,279.80522,281.05522,0.82364,0.021008206
74,ACTTRAN034,69.20541579,-148.8086637,8/26/2016 13:36,60,no rocks,44.64921807,280.81058,281.41058,1.179,0.026405838
75,ACTTRAN035,69.20538873,-148.8084924,8/26/2016 13:37,c.n.p.,no rocks,51.85702366,280.68483,281.93483,1.70325,0.032845117
76,ACTTRAN036,69.20534462,-148.8083055,8/26/2016 13:38,c.n.p.,no rocks,60.72588183,281.04251,282.29251,2.06093,0.033938247
77,ACTTRAN037,69.20528521,-148.8081242,8/26/2016 13:40,50,no rocks,70.46898617,282.73471,283.23471,3.00313,0.042616336
78,ACTTRAN038,69.20521989,-148.8079564,8/26/2016 13:40,53,no rocks,80.19509986,283.62861,284.15861,3.92703,0.048968453
79,ACTTRAN039,69.20512389,-148.8077802,8/26/2016 13:41,59,no rocks,92.29027793,284.09927,284.68927,4.45769,0.048300754
80,ACTTRAN040,69.20507584,-148.8074757,8/26/2016 13:42,65,no rocks,105.1024851,284.59066,285.24066,5.00908,0.047659006
81,ACTTRAN041,69.20500831,-148.8072735,8/26/2016 13:43,56,no rocks,116.0531866,285.99794,286.55794,6.32636,0.054512592
