OBJECTID,Point_Id,Lat,Lon,Time,Thaw depth [cm],Rock_depth [cm],NEAR_DIST [m],Permafrost_Table [m amsl],Surface_Elev [m amsl],Differential elev [m],Slope [m/m]
1,ACTTRAN001,68.67633492,-149.1306149,8/27/2016 13:31,c.n.p.,5,367.5433192,,791.55134,29.20067,0.07944824
2,ACTTRAN002,68.6761124,-149.1303183,8/27/2016 13:32,c.n.p.,10,349.4704517,,790.2573,27.90663,0.079854047
3,ACTTRAN003,68.67606082,-149.1301629,8/27/2016 13:33,41,no rocks,341.8810192,788.92445,789.33445,26.98378,0.0789274
4,ACTTRAN004,68.6759009,-149.1297736,8/27/2016 13:34,c.n.p.,25,321.988183,,787.62707,25.2764,0.078501018
5,ACTTRAN005,68.67578712,-149.129577,8/27/2016 13:35,39,no rocks,310.9803498,786.08114,786.47114,24.12047,0.077562682
6,ACTTRAN006,68.67566143,-149.1292369,8/27/2016 13:36,c.n.p.,25,294.0076774,,784.55413,22.20346,0.075520001
7,ACTTRAN007,68.67555995,-149.12901,8/27/2016 13:36,c.n.p.,10,282.1714473,,783.07671,20.72604,0.073451939
8,ACTTRAN008,68.67538324,-149.1286167,8/27/2016 13:37,45,no rocks,261.6311498,780.42719,780.87719,18.52652,0.070811599
9,ACTTRAN009,68.67519722,-149.128266,8/27/2016 13:38,c.n.p.,48,242.4893933,,778.7734,16.42273,0.06772556
10,ACTTRAN010,68.67505399,-149.127906,8/27/2016 13:39,c.n.p.,55,224.2255858,,776.48158,14.13091,0.063020953
11,ACTTRAN011,68.67484097,-149.1271851,8/27/2016 13:41,c.n.p.,30,189.7901538,,772.75931,10.40864,0.054842887
12,ACTTRAN012,68.67467794,-149.1266745,8/27/2016 13:41,54,no rocks,165.0460526,769.86231,770.40231,8.05164,0.048784202
13,ACTTRAN013,68.67434938,-149.1255821,8/27/2016 13:43,52,no rocks,112.6937665,766.21732,766.73732,4.38665,0.038925401
14,ACTTRAN014,68.67418678,-149.1248338,8/27/2016 13:44,39,no rocks,78.642448,764.586,764.976,2.62533,0.033383116
15,ACTTRAN015,68.6741039,-149.1244983,8/27/2016 13:45,56,no rocks,63.08780058,763.89889,764.45889,2.10822,0.033417237
16,ACTTRAN016,68.67400068,-149.1241069,8/27/2016 13:46,49,no rocks,44.7479553,762.99425,763.48425,1.13358,0.025332554
17,ACTTRAN017,68.67386163,-149.123855,8/27/2016 13:47,73,no rocks,30.84086406,762.42379,763.15379,0.80312,0.026040775
18,ACTTRAN018,68.67382992,-149.1235329,8/27/2016 13:47,37,no rocks,17.29628906,762.63749,763.00749,0.65682,0.03797462
19,ACTTRAN019,68.67384028,-149.1233369,8/27/2016 13:48,39,no rocks,9.911842174,762.46962,762.85962,0.50895,0.05134767
20,ACTTRAN020,68.67386674,-149.1231405,8/27/2016 13:50,52,no rocks,2.975499373,762.28633,762.80633,0.45566,0.15313732
21,ACTTRAN021,68.67385721,-149.1230147,8/27/2016 13:51,c.n.p.,50,2.232220328,,762.44908,0.09841,0.04408615
22,ACTTRAN022,68.67385635,-149.1229994,8/27/2016 13:52,c.n.p.,75,2.85773579,,762.35067,0,0
,,,,,,,,,,,
23,ACTTRAN023,68.67381702,-149.1229567,8/27/2016 13:52,c.n.p.,0,-5.669042507,,761.71285,0,0
