OBJECTID,Point_Id,Lat,Lon,Time,Thaw depth [cm],Rock_depth [cm],Creek shift [m],NEAR_DIST [m],Permafrost_Table [m amsl],Surface_Elev [m amsl],Differential elev [m],Slope [m/m]
1,ACTTRAN001,68.76079123,-148.9071514,16:44,42,no rocks,304.5433192,367.5433192,511.7577,512.1777,3.45363,0.011340357
2,ACTTRAN002,68.76086743,-148.9075776,16:45,47,no rocks,286.4704517,349.4704517,511.71582,512.18582,3.46175,0.012084143
3,ACTTRAN003,68.76094848,-148.9078179,16:45,47,no rocks,278.8810192,341.8810192,511.6839,512.1539,3.42983,0.012298542
4,ACTTRAN004,68.76106734,-148.9082862,16:46,48,no rocks,258.988183,321.988183,511.55657,512.03657,3.3125,0.012790159
5,ACTTRAN005,68.76116585,-148.908608,16:47,80,no rocks,247.9803498,310.9803498,510.93978,511.73978,3.01571,0.012161085
6,ACTTRAN006,68.76126396,-148.9089056,16:48,46,no rocks,231.0076774,294.0076774,511.28011,511.74011,3.01604,0.013056016
7,ACTTRAN007,68.76141076,-148.9093125,16:48,48,no rocks,219.1714473,282.1714473,510.86219,511.34219,2.61812,0.011945534
8,ACTTRAN008,68.76151582,-148.909718,16:49,c.n.p.,50,198.6311498,261.6311498,,511.04471,2.32064,0.011683162
9,ACTTRAN009,68.76153488,-148.9098503,16:50,c.n.p.,15,179.4893933,242.4893933,,511.01947,2.2954,0.012788499
10,ACTTRAN010,68.76158066,-148.9100861,16:51,c.n.p.,40,161.2255858,224.2255858,,510.75428,2.03021,0.012592356
11,ACTTRAN011,68.76159552,-148.9101888,16:52,c.n.p.,35,126.7901538,189.7901538,,510.50014,1.77607,0.014007949
12,ACTTRAN012,68.76160428,-148.9102123,16:52,c.n.p.,30,102.0460526,165.0460526,,510.00569,1.28162,0.012559232
13,ACTTRAN013,68.76161387,-148.9102418,16:53,c.n.p.,30,49.69376646,112.6937665,,509.54454,0.82047,0.016510522
14,ACTTRAN014,68.7616212,-148.9102598,16:53,c.n.p.,0,15.642448,78.642448,,508.72407,0,0
