site_id,lat,lon,date,thaw_depth,obs_limit,pf_observed,pf_depth,method,source,quality_flag_date_assigned,quality_flag_obs_limit_assumed,daanen_reported_depth_cm
TRAN001_Nice_Lose_Dis,69.19847385,-148.8148918,2016-08-26,63.0,,1,63.0,tp,Daanen_2017,False,False,63.0
TRAN002_Nice_Lose_Dis,69.19853835,-148.8152085,2016-08-26,54.0,,1,54.0,tp,Daanen_2017,False,False,54.0
TRAN003_Nice_Lose_Dis,69.1986901,-148.8158014,2016-08-26,59.0,,1,59.0,tp,Daanen_2017,False,False,59.0
TRAN004_Nice_Lose_Dis,69.19878657,-148.8160948,2016-08-26,49.0,,1,49.0,tp,Daanen_2017,False,False,49.0
TRAN005_Nice_Lose_Dis,69.19884295,-148.816557,2016-08-26,47.0,,1,47.0,tp,Daanen_2017,False,False,47.0
TRAN006_Nice_Lose_Dis,69.19893432,-148.8169971,2016-08-26,53.0,,1,53.0,tp,Daanen_2017,False,False,53.0
TRAN007_Nice_Lose_Dis,69.19903168,-148.8173022,2016-08-26,43.0,,1,43.0,tp,Daanen_2017,False,False,43.0
TRAN008_Nice_Lose_Dis,69.19910949,-148.8175051,2016-08-26,52.0,,1,52.0,tp,Daanen_2017,False,False,52.0
TRAN009_Nice_Lose_Dis,69.19916494,-148.8176533,2016-08-26,46.0,,1,46.0,tp,Daanen_2017,False,False,46.0
TRAN010_Nice_Lose_Dis,69.19924801,-148.8178865,2016-08-26,43.0,,1,43.0,tp,Daanen_2017,False,False,43.0
TRAN011_Nice_Lose_Dis,69.19941096,-148.8181324,2016-08-26,57.0,,1,57.0,tp,Daanen_2017,False,False,57.0
TRAN012_Nice_Lose_Dis,69.1995445,-148.818513,2016-08-26,52.0,,1,52.0,tp,Daanen_2017,False,False,52.0
TRAN013_Nice_Lose_Dis,69.19957641,-148.8187199,2016-08-26,48.0,,1,48.0,tp,Daanen_2017,False,False,48.0
TRAN014_Nice_Lose_Dis,69.19959245,-148.8188283,2016-08-26,62.0,,1,62.0,tp,Daanen_2017,False,False,62.0
TRAN015_Nice_Lose_Dis,69.19961194,-148.8188815,2016-08-26,52.0,,1,52.0,tp,Daanen_2017,False,False,52.0
TRAN016_Nice_Lose_Dis,69.19962566,-148.8189335,2016-08-26,91.0,,1,91.0,tp,Daanen_2017,False,False,91.0
TRAN017_Nice_Lose_Dis,69.19962521,-148.8189685,2016-08-26,104.0,,1,104.0,tp,Daanen_2017,False,False,104.0
TRAN030_Nice_Lose_Dis,69.19966778,-148.8196912,2016-08-26,100.0,,1,100.0,tp,Daanen_2017,False,False,100.0
