ID,Method,Permafrost,Year,Month,Day,Date_UTC-9,Horizontal_distance_m,Depth_to_permafrost_cm,Depth_cm,Horizontal_to_permafrost_cm,Latitude,Longitude
1,2m probe,N,2022,9,28,,,,,,65.69796,-156.413035
2,2m probe,Y,2022,9,28,,0,,60,117,65.702897,-156.411638
3,2m probe,Y,2022,9,28,,0,,150,176,65.702897,-156.411638
4,2m probe,Y,2022,9,28,,0,,250,32,65.702897,-156.411638
5,2m probe,Y,2022,9,28,,0,,600,40,65.702897,-156.411638
6,2m probe,N,2022,9,28,,,,,,65.718635,-156.531902
7,2m probe,N,2022,9,28,,,,,,65.778437,-156.429131
8,2m probe,Y,2022,9,29,2022-09-29T18:56:39Z,,,35,130,65.690546,-156.386102
9,2m probe,Y,2022,9,29,2022-09-29T18:56:39Z,,,50,125,65.690546,-156.386102
10,2m probe,Y,2022,9,29,2022-09-29T18:56:39Z,,,60,120,65.690546,-156.386102
11,2m probe,Y,2022,9,29,2022-09-29T18:56:39Z,,,80,110,65.690546,-156.386102
12,2m probe,Y,2022,9,29,2022-09-29T18:56:39Z,,,110,75,65.690546,-156.386102
13,2m probe,Y,2022,9,29,2022-09-29T18:56:39Z,,,120,72,65.690546,-156.386102
14,2m probe,Y,2022,9,29,2022-09-29T18:56:39Z,,,140,72,65.690546,-156.386102
15,2m probe,Y,2022,9,29,2022-09-29T18:56:39Z,,,155,60,65.690546,-156.386102
16,2m probe,Y,2022,9,29,2022-09-29T18:56:39Z,,,165,57,65.690546,-156.386102
17,2m probe,Y,2022,9,29,2022-09-29T18:56:39Z,,,190,44,65.690546,-156.386102
18,2m probe,N,2022,9,29,2022-09-29T19:29:15Z,,,,,65.677454,-156.375384
19,2m probe,N,2022,9,29,,,,135,>210,65.677248,-156.375359
20,2m probe,Y,2022,9,29,,,,150,>210,65.677248,-156.375359
21,2m probe,Y,2022,9,29,,,,160,10,65.677248,-156.375359
22,2m probe,Y,2022,9,29,,,,180,8,65.677248,-156.375359
23,2m probe,Y,2022,9,29,,,,200,8,65.677248,-156.375359
24,2m probe,Y,2022,9,29,,0.5,>210,,,65.677248,-156.375359
25,2m probe,Y,2022,9,29,,1,>210,,,65.677248,-156.375359
26,2m probe,Y,2022,9,29,,2,>210,,,65.677248,-156.375359
27,2m probe,Y,2022,9,29,,3,>210,,,65.677248,-156.375359
28,2m probe,N,2022,9,26,,0.7,>210,,,65.780536,-156.428799
29,2m probe,N,2022,9,26,,1.5,>210,,,65.780536,-156.428799
30,2m probe,N,2022,9,26,,2,>210,,,65.780536,-156.428799
31,2m probe,N,2022,9,26,,2.5,>210,,,65.780536,-156.428799
32,2m probe,N,2022,9,26,,,,100,>210,65.780536,-156.428799
33,2m probe,N,2022,9,26,,,,200,>210,65.780536,-156.428799
34,2m probe,N,2022,9,26,,,,300,>210,65.780536,-156.428799
35,2m probe,N,2022,9,26,,,,400,>210,65.780536,-156.428799
36,2m probe,N,2022,9,26,,,,700,>210,65.780536,-156.428799
37,2m probe,N,2022,9,26,,1,>210,,,65.716694,-156.526328
38,2m probe,N,2022,9,26,,2,>210,,,65.716694,-156.526328
39,2m probe,N,2022,9,26,,3,>210,,,65.716694,-156.526328
40,2m probe,N,2022,9,26,,4,>210,,,65.716694,-156.526328
41,2m probe,N,2022,9,26,,7,>210,,,65.716694,-156.526328
55,2m probe,Y,2022,9,28,2022-09-28T17:31:16Z,0,0,,,65.702911,-156.411579
56,2m probe,Y,2022,9,28,2022-09-28T17:31:16Z,0.5,75,,,65.702911,-156.411579
57,2m probe,Y,2022,9,28,2022-09-28T17:31:16Z,1,90,,,65.702911,-156.411579
58,2m probe,Y,2022,9,28,2022-09-28T17:31:16Z,1.5,18,,,65.702911,-156.411579
59,2m probe,Y,2022,9,28,2022-09-28T17:31:16Z,2,45,,,65.702911,-156.411579
60,2m probe,Y,2022,9,28,2022-09-28T17:31:16Z,2.5,110,,,65.702911,-156.411579
61,2m probe,Y,2022,9,28,2022-09-28T17:31:16Z,3,13,,,65.702911,-156.411579
