ID,method,pf_observed,pf_depth,lat,lon,thaw_depth,source,date,obs_limit,site_id
1,tp,0,,65.69796,-156.413035,,Douglas_Koyukuk_2022,2022-09-28,200,
2,tp,1,,65.702897,-156.411638,,Douglas_Koyukuk_2022,2022-09-28,200,
6,tp,0,,65.718635,-156.531902,,Douglas_Koyukuk_2022,2022-09-28,200,
7,tp,0,,65.778437,-156.429131,,Douglas_Koyukuk_2022,2022-09-28,200,
8,tp,1,,65.690546,-156.386102,,Douglas_Koyukuk_2022,2022-09-29,200,
18,tp,0,,65.677454,-156.375384,,Douglas_Koyukuk_2022,2022-09-29,200,
19,tp,0,,65.677248,-156.375359,,Douglas_Koyukuk_2022,2022-09-29,200,
28,tp,0,,65.780536,-156.428799,,Douglas_Koyukuk_2022,2022-09-26,200,
37,tp,0,,65.716694,-156.526328,,Douglas_Koyukuk_2022,2022-09-26,200,
55,tp,1,,65.702911,-156.411579,,Douglas_Koyukuk_2022,2022-09-28,200,
68,tp,1,,65.702601,-156.408239,,Douglas_Koyukuk_2022,2022-09-28,200,
108,tp,1,,65.61934,-156.485318,,Douglas_Koyukuk_2022,2022-09-30,200,
144,tp,0,,65.618867,-156.487252,,Douglas_Koyukuk_2022,2022-09-30,200,
151,tp,0,,65.615178,-156.50727,,Douglas_Koyukuk_2022,2022-09-30,200,
155,tp,1,,65.61519,-156.51819,,Douglas_Koyukuk_2022,2022-09-30,200,
185,tp,0,,65.619025,-156.381985,,Douglas_Koyukuk_2022,2022-09-29,200,
186,tp,0,,65.61834,-156.380733,,Douglas_Koyukuk_2022,2022-09-29,200,
187,tp,0,,65.61661,-156.377653,,Douglas_Koyukuk_2022,2022-09-29,200,
188,tp,0,,65.615627,-156.37607,,Douglas_Koyukuk_2022,2022-09-29,200,
189,tp,0,,65.610305,-156.365882,,Douglas_Koyukuk_2022,2022-09-29,200,
190,tp,1,,65.690431,-156.386072,,Douglas_Koyukuk_2022,2022-09-29,200,
208,tp,0,,65.77237333,-156.4654783,,Douglas_Koyukuk_2022,2022-09-30,200,
209,tp,0,,65.76726167,-156.483595,,Douglas_Koyukuk_2022,2022-09-30,200,
210,tp,0,,65.77141667,-156.4685567,,Douglas_Koyukuk_2022,2022-09-27,200,
211,tp,0,,65.77462167,-156.4594717,,Douglas_Koyukuk_2022,2022-09-30,200,
212,tp,0,,65.78054167,-156.4274067,,Douglas_Koyukuk_2022,2022-09-30,200,
213,tp,1,,65.75038333,-156.5459017,,Douglas_Koyukuk_2022,2022-09-30,200,
217,tp,1,,65.75258667,-156.5051533,,Douglas_Koyukuk_2022,2022-09-30,200,
220,tp,0,,65.75346667,-156.5047317,,Douglas_Koyukuk_2022,2022-09-30,200,
221,tp,0,,65.77186167,-156.4670967,,Douglas_Koyukuk_2022,2022-09-30,200,
222,tp,1,,65.78021,-156.4364483,,Douglas_Koyukuk_2022,2022-09-30,200,
225,tp,1,,65.78051833,-156.43077,,Douglas_Koyukuk_2022,2022-09-30,200,
228,tp,0,,65.78055,-156.4274567,,Douglas_Koyukuk_2022,2022-09-30,200,
229,tp,0,,65.77506667,-156.3979567,,Douglas_Koyukuk_2022,2022-09-30,200,
230,tp,1,,65.78571667,-156.3562417,,Douglas_Koyukuk_2022,2022-09-30,200,
234,tp,1,,65.76973333,-156.4176533,,Douglas_Koyukuk_2022,2022-09-30,200,
238,tp,1,,65.76213833,-156.4073917,,Douglas_Koyukuk_2022,2022-09-30,200,
242,tp,1,,65.77102833,-156.41829,,Douglas_Koyukuk_2022,2022-09-30,200,
245,tp,0,,65.77216,-156.4189933,,Douglas_Koyukuk_2022,2022-09-30,200,
246,tp,1,,65.78050333,-156.4288617,,Douglas_Koyukuk_2022,2022-09-30,200,
251,tp,0,,65.71675667,-156.5264367,,Douglas_Koyukuk_2022,2022-09-30,200,
252,tp,0,,65.71919667,-156.5224767,,Douglas_Koyukuk_2022,2022-09-30,200,
253,tp,0,,65.771417,-156.468557,,Douglas_Koyukuk_2022,2022-09-30,200,
254,tp,0,,65.77484197,-156.459333,,Douglas_Koyukuk_2022,2022-09-27,200,
255,tp,0,,65.78058802,-156.427373,,Douglas_Koyukuk_2022,2022-09-27,200,
