lon,lat,date,source,site_id,pf_observed,pf_depth,thaw_depth,obs_limit,method,source_ald_raw,source_ald_cm,source_region,source_site,source_plot,source_gps_n,source_gps_w,source_organic_matter_thickness_cm,source_moss_thickness_cm,source_om_and_moss_thickness_cm
-114.9604167,62.52705556,2014-08-31,Fisher_2016,BB10,1,69.5,69.5,,tp,69.5,69.5,YK,BB,BB10,62.52705556,114.9604167,106.0,0.0,106
-114.9605,62.52697222,2014-08-31,Fisher_2016,BB11,1,48.5,48.5,,tp,48.5,48.5,YK,BB,BB11,62.52697222,114.9605,88.0,0.0,88
-114.9605278,62.52694444,2014-08-31,Fisher_2016,BB12,1,64.5,64.5,,tp,64.5,64.5,YK,BB,BB12,62.52694444,114.9605278,95.0,0.0,95
-114.9604444,62.52686111,2014-08-31,Fisher_2016,BB13,1,52.5,52.5,,tp,52.5,52.5,YK,BB,BB13,62.52686111,114.9604444,60.0,0.0,60
-114.9602222,62.52675,2014-08-31,Fisher_2016,BB17,1,60.0,60.0,,tp,60,60.0,YK,BB,BB17,62.52675,114.9602222,56.0,0.0,56
-114.9600556,62.52669444,2014-08-31,Fisher_2016,BB18,1,75.0,75.0,,tp,75,75.0,YK,BB,BB18,62.52669444,114.9600556,67.0,0.0,67
-114.9601389,62.52694444,2014-08-31,Fisher_2016,BB19,1,91.0,91.0,,tp,91,91.0,YK,BB,BB19,62.52694444,114.9601389,22.0,0.0,22
-114.9604167,62.527,2014-08-31,Fisher_2016,BB20,1,61.5,61.5,,tp,61.5,61.5,YK,BB,BB20,62.527,114.9604167,60.0,0.0,60
-114.9602778,62.52705556,2014-08-31,Fisher_2016,BB21,1,81.0,81.0,,tp,81,81.0,YK,BB,BB21,62.52705556,114.9602778,32.0,0.0,32
-114.9602222,62.52705556,2014-08-31,Fisher_2016,BB22,1,83.5,83.5,,tp,83.5,83.5,YK,BB,BB22,62.52705556,114.9602222,44.0,0.0,44
-114.9605833,62.52708333,2014-08-31,Fisher_2016,BB23,1,62.5,62.5,,tp,62.5,62.5,YK,BB,BB23,62.52708333,114.9605833,60.0,0.0,60
-114.9608056,62.52713889,2014-08-31,Fisher_2016,BB24,1,80.0,80.0,,tp,80,80.0,YK,BB,BB24,62.52713889,114.9608056,30.0,0.0,30
-114.9607222,62.52719444,2014-08-31,Fisher_2016,BB25,1,80.0,80.0,,tp,80,80.0,YK,BB,BB25,62.52719444,114.9607222,32.0,0.0,32
-114.9605556,62.52675,2014-08-31,Fisher_2016,BB26,1,53.5,53.5,,tp,53.5,53.5,YK,BB,BB26,62.52675,114.9605556,76.0,0.0,76
-114.9606389,62.52666667,2014-08-31,Fisher_2016,BB27,1,52.5,52.5,,tp,52.5,52.5,YK,BB,BB27,62.52666667,114.9606389,42.0,0.0,42
