Site,Date,Sample_ID,Latitude,Longitude,Elevation,Thaw_Depth,Soil_Moisture,Veg_Height,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0001,64.72073997,-165.9488943,57.223,79,55.5,20,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0002,64.72082524,-165.9490274,57.731,72,40.2,10,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0003,64.72095551,-165.9491823,58.031,35,52.5,25,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0004,64.72109337,-165.9492937,58.247,83,48.9,5,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0005,64.72119984,-165.9493877,58.711,120,44.3,2,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0006,64.72129124,-165.9494337,59.278,32,46.9,10,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0007,64.72142443,-165.9495698,59.086,69,55.3,20,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0008,64.72149657,-165.9496311,59.807,31,51.7,30,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0009,64.72162301,-165.9497858,59.659,57,54.5,10,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0010,64.72173212,-165.9500252,60.409,33,51,40,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0011,64.72182619,-165.9501813,59.908,105,62.6,45,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0012,64.72193832,-165.9503583,60.319,82,54.2,90,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0013,64.722031,-165.9505489,61.308,95,56.9,35,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0014,64.72214937,-165.9507267,62.089,67,51.6,130,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0015,64.72225988,-165.9507751,62.164,55,52.8,140,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0016,64.72235494,-165.9509064,63.095,70,50.1,30,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0017,64.72247083,-165.9510788,63.675,57,61.7,240,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0018,64.72261403,-165.9511546,65.345,62,46.6,10,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0019,64.72276145,-165.9512371,67.048,35,50.7,30,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0020,64.72290029,-165.9514077,68.31,28,51.5,25,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0021,64.72303964,-165.9515916,70.37,38,50.3,10,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0022,64.72316977,-165.9517851,71.574,25,55.6,30,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0023,64.72330116,-165.9519965,72.688,33,52.9,10,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0024,64.72346004,-165.9522676,73.879,25,58.9,10,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0025,64.72360567,-165.9525458,74.723,22,56.4,30,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0026,64.72377441,-165.9528694,76.299,25,52.9,20,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0027,64.72396363,-165.9531174,76.919,25,53.3,40,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0028,64.72416416,-165.9530071,77.257,88,76.2,50,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0029,64.72443279,-165.9533695,78.743,80,70.9,60,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0030,64.72439976,-165.9538137,80.494,25,50.9,30,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0031,64.72452594,-165.9541327,80.832,77,78.3,40,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0032,64.72471414,-165.9542636,82.623,22,44.9,20,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0033,64.7249114,-165.9544171,83.329,83,65.6,45,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0034,64.72505592,-165.954842,85.455,30,57.1,40,,,,,,,,,,,,,,,,
Teller_MM27,20220719,TTHAW0035,64.72524286,-165.9553365,86.739,90,69.7,40,,,,,,,,,,,,,,,,
