site_id,date,Sample_ID,lat,lon,Elevation,thaw_depth,Soil_Moisture,Veg_Height,source,pf_depth,pf_observed,obs_limit,method
Kougarok_MM82,2022-07-23,K82_0001,65.39306174,-164.6586595,91.891,38.0,55.9,15.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM82,2022-07-23,K82_0002,65.39307054,-164.6582044,91.618,50.0,57.1,15.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM82,2022-07-23,K82_0003,65.39305901,-164.6577524,90.911,35.0,83.5,5.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM82,2022-07-23,K82_0004,65.39301527,-164.6573085,90.524,38.0,61.8,20.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM82,2022-07-23,K82_0005,65.39294295,-164.6568962,90.237,34.0,55.6,15.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM82,2022-07-23,K82_0006,65.39293328,-164.6564685,89.442,30.0,53.3,15.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM82,2022-07-23,K82_0007,65.39290368,-164.6559065,88.244,37.0,75.3,20.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM82,2022-07-23,K82_0008,65.39288279,-164.6554544,88.254,28.0,52.0,10.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM82,2022-07-23,K82_0009,65.39285582,-164.6550038,87.712,40.0,84.5,25.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM82,2022-07-23,K82_0010,65.39283432,-164.6545649,87.975,32.0,54.7,10.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM82,2022-07-23,K82_0011,65.39281028,-164.6541252,87.906,37.0,58.1,25.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM82,2022-07-23,K82_0012,65.39277477,-164.6536687,88.008,29.0,51.0,10.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM82,2022-07-23,K82_0013,65.39273655,-164.653335,87.887,28.0,72.1,10.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM82,2022-07-23,K82_0014,65.39269337,-164.6529169,87.954,29.0,60.4,5.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM82,2022-07-23,K82_0015,65.39268456,-164.6527655,87.82,38.0,73.1,10.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM82,2022-07-23,K82_0016,65.3926689,-164.6523613,87.802,30.0,79.4,25.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM82,2022-07-23,K82_0017,65.39265177,-164.6519577,87.929,25.0,52.8,15.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM82,2022-07-23,K82_0018,65.39265378,-164.6515541,87.837,13.0,57.7,15.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM82,2022-07-23,K82_0019,65.39264636,-164.6511449,87.746,25.0,52.0,15.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM82,2022-07-23,K82_0020,65.39262907,-164.6507582,87.848,22.0,62.2,15.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM82,2022-07-23,K82_0021,65.39260594,-164.6503378,87.8,18.0,54.2,10.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM82,2022-07-23,K82_0022,65.39259251,-164.649953,87.455,20.0,90.7,40.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM82,2022-07-23,K82_0023,65.39256685,-164.6495769,87.799,28.0,74.4,15.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM82,2022-07-23,K82_0024,65.39255263,-164.6491946,87.845,7.0,50.7,15.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM82,2022-07-23,K82_0025,65.392566,-164.6487987,87.85,12.0,94.8,15.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM82,2022-07-23,K82_0026,65.39256678,-164.6484118,88.608,18.0,56.5,30.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM82,2022-07-23,K82_0027,65.39257988,-164.6480357,89.415,38.0,57.9,25.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM82,2022-07-23,K82_0028,65.39261739,-164.6476399,89.669,28.0,52.8,40.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM82,2022-07-23,K82_0029,65.39262977,-164.6472582,90.079,20.0,65.7,15.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM82,2022-07-23,K82_0030,65.39266205,-164.6468767,90.291,17.0,55.5,10.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM82,2022-07-23,K82_0031,65.3877817,-164.6577113,88.175,17.0,84.4,5.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM82,2022-07-23,K82_0032,65.3877719,-164.6573579,88.402,19.0,56.8,10.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM82,2022-07-23,K82_0033,65.38775427,-164.6569824,88.495,12.0,51.3,20.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM82,2022-07-23,K82_0034,65.38772924,-164.6566163,88.48,18.0,52.5,15.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM82,2022-07-23,K82_0035,65.38769844,-164.6562511,88.059,33.0,90.4,15.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM82,2022-07-23,K82_0036,65.38766745,-164.6559187,88.28,16.0,58.4,10.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM82,2022-07-23,K82_0037,65.38764708,-164.6555494,88.273,22.0,75.5,5.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM82,2022-07-23,K82_0038,65.38762086,-164.6551434,88.258,46.0,50.6,15.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM82,2022-07-23,K82_0039,65.38759254,-164.6547506,88.292,16.0,52.7,15.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM82,2022-07-23,K82_0040,65.38759346,-164.6543614,88.0,26.0,51.4,20.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM82,2022-07-23,K82_0041,65.38760618,-164.6539779,87.357,27.0,57.2,15.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM82,2022-07-23,K82_0042,65.3876118,-164.6535787,87.117,23.0,92.3,10.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM82,2022-07-23,K82_0043,65.38758807,-164.6532051,87.123,20.0,86.3,10.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM82,2022-07-23,K82_0044,65.38759261,-164.6528232,87.375,9.0,49.8,5.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM82,2022-07-23,K82_0045,65.38759764,-164.6524229,87.017,22.0,78.2,10.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM82,2022-07-23,K82_0046,65.38759564,-164.6520306,87.127,18.0,53.8,15.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM82,2022-07-23,K82_0047,65.38757389,-164.6516569,86.893,21.0,82.7,10.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM82,2022-07-23,K82_0048,65.38756643,-164.651493,87.099,14.0,45.9,20.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM82,2022-07-23,K82_0049,65.3875337,-164.6512795,86.676,29.0,81.7,10.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM82,2022-07-23,K82_0050,65.38752996,-164.6509352,87.358,12.0,34.2,5.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM82,2022-07-23,K82_0051,65.38752049,-164.6505737,87.201,14.0,57.9,10.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM82,2022-07-23,K82_0052,65.38751686,-164.6502006,87.415,11.0,63.5,15.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM82,2022-07-23,K82_0053,65.38755794,-164.6500808,86.962,28.0,89.7,40.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM82,2022-07-23,K82_0054,65.38753832,-164.6497158,88.102,8.0,36.2,15.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM82,2022-07-23,K82_0055,65.38753227,-164.6493727,89.597,6.0,49.0,45.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM82,2022-07-23,K82_0056,65.38751122,-164.649024,90.427,30.0,49.3,30.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM82,2022-07-23,K82_0057,65.38748653,-164.6486711,90.564,25.0,52.8,15.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM82,2022-07-23,K82_0058,65.38746336,-164.6483193,90.446,25.0,56.2,25.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM82,2022-07-23,K82_0059,65.38744705,-164.6479574,90.444,45.0,51.3,15.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM82,2022-07-23,K82_0060,65.3874399,-164.6475918,90.008,21.0,58.6,35.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM80,2022-07-23,K82_0061,65.36791464,-164.678176,92.452,35.0,51.4,20.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM80,2022-07-23,K82_0062,65.36798636,-164.6784544,92.285,30.0,50.7,15.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM80,2022-07-23,K82_0063,65.36803046,-164.6787815,92.165,40.0,49.2,15.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM80,2022-07-23,K82_0064,65.36804785,-164.6791283,92.172,13.0,52.9,35.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM80,2022-07-23,K82_0065,65.36806829,-164.6794409,91.867,16.0,59.0,5.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM80,2022-07-23,K82_0066,65.3681013,-164.6797411,92.07,10.0,34.8,45.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM80,2022-07-23,K82_0067,65.36811836,-164.6799755,90.358,18.0,50.8,50.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM80,2022-07-23,K82_0068,65.36813822,-164.6801431,89.668,27.0,86.6,45.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM80,2022-07-23,K82_0069,65.36815026,-164.6803365,91.752,34.0,27.7,20.0,Hanston_etal_2024,,1,130,tp
Kougarok_MM80,2022-07-23,K82_0070,65.36819131,-164.6806208,92.08,15.0,47.1,5.0,Hanston_etal_2024,,1,130,tp
