Site	date	Probe	thaw	probe code
	collected	number	depth (cm)	"(I,R,O)"
TKN0001	9/7/2000	1	75	I
TKN0001	9/7/2000	2	60	I
TKN0001	9/7/2000	3	65	I
TKN0001	9/7/2000	4	60	I
TKN0001	9/7/2000	5	50	I
TKN0002	9/7/2000	1	75	I
TKN0002	9/7/2000	2	55	I
TKN0002	9/7/2000	3	70	I
TKN0002	9/7/2000	4	80	I
TKN0002	9/7/2000	5	65	I
TKN0003	9/7/2000	1	60	I
TKN0003	9/7/2000	2	50	I
TKN0003	9/7/2000	3	60	I
TKN0003	9/7/2000	4	70	I
TKN0003	9/7/2000	5	75	I
TKN0004	9/7/2000	1	80	I
TKN0004	9/7/2000	2	50	I
TKN0004	9/7/2000	3	40	I
TKN0004	9/7/2000	4	35	I
TKN0004	9/7/2000	5	70	I
TKN0005	9/7/2000	1	35	I
TKN0005	9/7/2000	2	35	I
TKN0005	9/7/2000	3	45	I
TKN0005	9/7/2000	4	45	I
TKN0005	9/7/2000	5	50	I
TKN0005	9/7/2000	6	45	I
TKN0005	9/7/2000	7	60	I
TKN0006	9/7/2000	1	40	I
TKN0006	9/7/2000	2	45	I
TKN0006	9/7/2000	3	45	I
TKN0006	9/7/2000	4	70	I
TKN0006	9/7/2000	5	40	I
TKN0007	9/4/2002	1	74	I
TKN0007	9/4/2002	2	53	I
TKN0007	9/4/2002	3	73	I
TKN0007	9/4/2002	4	65	I
TKN0007	9/4/2002	5	69	I
TKN0007	9/4/2002	6	57	I
TKN0007	9/4/2002	7	53	I
TKN0007	9/4/2002	8	54	I
TKN0007	9/4/2002	9	76	I
TKN0007	9/4/2002	10	64	I
TKN0008	9/4/2002	1	45	I
TKN0008	9/4/2002	2	40	I
TKN0008	9/4/2002	3	50	I
TKN0008	9/4/2002	4	30	I
TKN0008	9/4/2002	5	45	I
TKN0008	9/4/2002	6	45	I
TKN0008	9/4/2002	7	50	I
TKN0008	9/4/2002	8	45	I
TKN0008	9/4/2002	9	35	I
TKN0008	9/4/2002	10	40	I
TKN0009	9/4/2002	1	45	R
TKN0009	9/4/2002	2	35	I
TKN0009	9/4/2002	3	50	I
TKN0009	9/4/2002	4	15	R
TKN0009	9/4/2002	5	40	I
TKN0009	9/4/2002	6	55	I
TKN0009	9/4/2002	7	25	I
TKN0009	9/4/2002	8	55	I
TKN0009	9/4/2002	9	25	R
TKN0009	9/4/2002	10	25	R
TKN0010	9/4/2002	1	35	R
TKN0010	9/4/2002	2	45	I
TKN0010	9/4/2002	3	35	R
TKN0010	9/4/2002	4	55	I
TKN0010	9/4/2002	5	70	I
TKN0010	9/4/2002	6	25	R
TKN0010	9/4/2002	7	75	I
TKN0010	9/4/2002	8	55	I
TKN0010	9/4/2002	9	40	I
TKN0010	9/4/2002	10	25	R
TKN0011	9/4/2002	1	30	R
TKN0011	9/4/2002	2	40	R
TKN0011	9/4/2002	3	25	R
TKN0011	9/4/2002	4	35	I
TKN0011	9/4/2002	5	70	I
TKN0011	9/4/2002	6	55	I
TKN0011	9/4/2002	7	50	R
TKN0011	9/4/2002	8	80	I
TKN0011	9/4/2002	9	70	I
TKN0011	9/4/2002	10	65	I
TKN0012	9/12/2001	1	75	I
TKN0012	9/12/2001	2	75	I
TKN0012	9/12/2001	3	95	I
TKN0012	9/12/2001	4	75	I
TKN0012	9/12/2001	5	85	I
TKN0012	9/12/2001	6	130	O
TKN0012	9/12/2001	7	100	I
TKN0012	9/12/2001	8	80	I
TKN0012	9/12/2001	9	75	I
TKN0012	9/12/2001	10	70	I
TKN0013	9/12/2001	1	55	I
TKN0013	9/12/2001	2	66	I
TKN0013	9/12/2001	3	60	I
TKN0013	9/12/2001	4	81	I
TKN0013	9/12/2001	5	56	I
TKN0013	9/12/2001	6	60	I
TKN0013	9/12/2001	7	72	I
TKN0013	9/12/2001	8	65	I
TKN0013	9/12/2001	9	77	I
TKN0013	9/12/2001	10	66	I
TKN0014	9/12/2001	1	102	I
TKN0014	9/12/2001	2	104	I
TKN0014	9/12/2001	3	64	I
TKN0014	9/12/2001	4	90	I
TKN0014	9/12/2001	5	96	I
TKN0014	9/12/2001	6	109	I
TKN0014	9/12/2001	7	102	I
TKN0014	9/12/2001	8	100	I
TKN0014	9/12/2001	9	99	I
TKN0014	9/12/2001	10	100	I
TKN0015	9/12/2001	1	55	I
TKN0015	9/12/2001	2	53	I
TKN0015	9/12/2001	3	53	I
TKN0015	9/12/2001	4	45	I
TKN0015	9/12/2001	5	42	I
TKN0015	9/12/2001	6	50	I
TKN0015	9/12/2001	7	54	I
TKN0015	9/12/2001	8	70	I
TKN0015	9/12/2001	9	68	I
TKN0015	9/12/2001	10	45	I
TKN0016	9/12/2001	1	30	I
TKN0016	9/12/2001	2	35	I
TKN0016	9/12/2001	3	45	I
TKN0016	9/12/2001	4	54	I
TKN0016	9/12/2001	5	60	I
TKN0016	9/12/2001	6	46	I
TKN0016	9/12/2001	7	48	I
TKN0016	9/12/2001	8	46	I
TKN0016	9/12/2001	9	56	I
TKN0016	9/12/2001	10	41	I
TKN0017	9/14/2000	1	50	I
TKN0017	9/14/2000	2	30	R
TKN0017	9/14/2000	3	40	I
TKN0017	9/14/2000	4	45	I
TKN0017	9/14/2000	5	30	R
TKN0017	9/14/2000	6	35	R
TKN0017	9/14/2000	7	45	I
TKN0017	9/14/2000	8	55	I
TKN0017	9/14/2000	9	55	I
TKN0017	9/14/2000	10	65	I
TKN0018	9/14/2000	1	45	R
TKN0018	9/14/2000	2	30	I
TKN0018	9/14/2000	3	35	R
TKN0018	9/14/2000	4	35	R
TKN0018	9/14/2000	5	50	R
TKN0018	9/14/2000	6	40	R
TKN0018	9/14/2000	7	30	R
TKN0018	9/14/2000	8	45	R
TKN0018	9/14/2000	9	50	I
TKN0018	9/14/2000	10	40	R
TKN0019	9/14/2000	1	35	R
TKN0019	9/14/2000	2	50	I
TKN0019	9/14/2000	3	35	R
TKN0019	9/14/2000	4	30	R
TKN0019	9/14/2000	5	45	R
TKN0019	9/14/2000	6	50	I
TKN0019	9/14/2000	7	30	R
TKN0019	9/14/2000	8	45	I
TKN0019	9/14/2000	9	30	R
TKN0019	9/14/2000	10	35	R
TKN0021	9/22/2000	1	50	I
TKN0021	9/22/2000	2	43	I
TKN0021	9/22/2000	3	66	I
TKN0021	9/22/2000	4	49	I
TKN0021	9/22/2000	5	32	I
TKN0021	9/22/2000	6	56	I
TKN0021	9/22/2000	7	52	I
TKN0021	9/22/2000	8	61	I
TKN0021	9/22/2000	9	44	I
TKN0021	9/22/2000	10	44	I
TKN0022	9/21/2000	1	70	I
TKN0022	9/21/2000	2	65	I
TKN0022	9/21/2000	3	55	I
TKN0022	9/21/2000	4	75	I
TKN0022	9/21/2000	5	80	I
TKN0022	9/21/2000	6	75	I
TKN0022	9/21/2000	7	80	I
TKN0022	9/21/2000	8	100	I
TKN0022	9/21/2000	9	60	I
TKN0022	9/21/2000	10	60	I
TKN0023	10/13/2000	1	65	I
TKN0023	10/13/2000	2	70	I
TKN0023	10/13/2000	3	55	I
TKN0023	10/13/2000	4	60	I
TKN0023	10/13/2000	5	50	I
TKN0023	10/13/2000	6	50	I
TKN0023	10/13/2000	7	70	I
TKN0023	10/13/2000	8	70	I
TKN0023	10/13/2000	9	90	I
TKN0023	10/13/2000	10	85	I
TKN0024	10/13/2000	1	30	I
TKN0024	10/13/2000	2	45	I
TKN0024	10/13/2000	3	45	I
TKN0024	10/13/2000	4	45	I
TKN0024	10/13/2000	5	40	R
TKN0024	10/13/2000	6	45	I
TKN0024	10/13/2000	7	45	I
TKN0024	10/13/2000	8	40	I
TKN0024	10/13/2000	9	45	I
TKN0024	10/13/2000	10	40	I
TKN0025	10/13/2000	1	50	I
TKN0025	10/13/2000	2	15	I
TKN0025	10/13/2000	3	20	I
TKN0025	10/13/2000	4	55	I
TKN0025	10/13/2000	5	60	I
TKN0025	10/13/2000	6	50	I
TKN0025	10/13/2000	7	55	I
TKN0025	10/13/2000	8	45	I
TKN0025	10/13/2000	9	45	I
TKN0025	10/13/2000	10	30	R
TKN0026	10/13/2000	1	40	I
TKN0026	10/13/2000	2	40	I
TKN0026	10/13/2000	3	70	I
TKN0026	10/13/2000	4	85	I
TKN0026	10/13/2000	5	40	I
TKN0026	10/13/2000	6	35	I
TKN0026	10/13/2000	7	35	I
TKN0026	10/13/2000	8	40	I
TKN0026	10/13/2000	9	45	I
TKN0026	10/13/2000	10	40	I
TKN0027	10/13/2000	1	30	I
TKN0027	10/13/2000	2	20	I
TKN0027	10/13/2000	3	25	I
TKN0027	10/13/2000	4	45	I
TKN0027	10/13/2000	5	30	I
TKN0027	10/13/2000	6	45	I
TKN0027	10/13/2000	7	35	I
TKN0027	10/13/2000	8	25	R
TKN0027	10/13/2000	9	55	R
TKN0027	10/13/2000	10	50	R
TKN0028	10/13/2000	1	55	I
TKN0028	10/13/2000	2	50	I
TKN0028	10/13/2000	3	35	I
TKN0028	10/13/2000	4	50	I
TKN0028	10/13/2000	5	50	I
TKN0028	10/13/2000	6	40	I
TKN0028	10/13/2000	7	50	I
TKN0028	10/13/2000	8	45	I
TKN0028	10/13/2000	9	50	R
TKN0028	10/13/2000	10	40	R
TKN0029	10/13/2000	1	65	I
TKN0029	10/13/2000	2	80	I
TKN0029	10/13/2000	3	60	R
TKN0029	10/13/2000	4	60	I
TKN0029	10/13/2000	5	70	I
TKN0029	10/13/2000	6	65	I
TKN0029	10/13/2000	7	75	R
TKN0029	10/13/2000	8	85	I
TKN0029	10/13/2000	9	70	I
TKN0029	10/13/2000	10	75	R
TKN0030	9/21/2000	1	50	I
TKN0030	9/21/2000	2	45	I
TKN0030	9/21/2000	3	60	I
TKN0030	9/21/2000	4	45	I
TKN0030	9/21/2000	5	55	I
TKN0030	9/21/2000	6	40	I
TKN0030	9/21/2000	7	60	I
TKN0030	9/21/2000	8	50	I
TKN0030	9/21/2000	9	50	I
TKN0030	9/21/2000	10	55	I
TKN0031	9/17/2001	1	39	I
TKN0031	9/17/2001	2	50	I
TKN0031	9/17/2001	3	52	I
TKN0031	9/17/2001	4	49	I
TKN0031	9/17/2001	5	59	I
TKN0031	9/17/2001	6	51	I
TKN0031	9/17/2001	7	48	I
TKN0031	9/17/2001	8	57	I
TKN0031	9/17/2001	9	38	I
TKN0031	9/17/2001	10	50	I
TKN0032	9/17/2001	1	48	I
TKN0032	9/17/2001	2	54	I
TKN0032	9/17/2001	3	63	I
TKN0032	9/17/2001	4	54	I
TKN0032	9/17/2001	5	55	I
TKN0032	9/17/2001	6	54	I
TKN0032	9/17/2001	7	55	I
TKN0032	9/17/2001	8	56	I
TKN0032	9/17/2001	9	53	I
TKN0032	9/17/2001	10	66	I
TKN0033	9/17/2001	1	63	I
TKN0033	9/17/2001	2	60	I
TKN0033	9/17/2001	3	67	I
TKN0033	9/17/2001	4	59	I
TKN0033	9/17/2001	5	56	I
TKN0033	9/17/2001	6	48	I
TKN0033	9/17/2001	7	46	I
TKN0033	9/17/2001	8	47	I
TKN0033	9/17/2001	9	50	I
TKN0033	9/17/2001	10	50	I
TKN0034	9/17/2001	1	45	I
TKN0034	9/17/2001	2	44	I
