site_id,date,lat,lon,thaw_depth,pf_observed,pf_depth,obs_limit,method,source
TKN0001,9/7/2000,64.765279965,-148.29794927,62.0,1,62.0,130.0,tp,Hollingsworth_2005
TKN0002,9/7/2000,64.774868958,-148.31336984,69.0,1,69.0,130.0,tp,Hollingsworth_2005
TKN0003,9/7/2000,64.77400566,-148.30475071,63.0,1,63.0,130.0,tp,Hollingsworth_2005
TKN0004,9/7/2000,64.772553285,-148.29955596,55.0,1,55.0,130.0,tp,Hollingsworth_2005
TKN0005,9/7/2000,64.772168115,-148.29696627,45.0,1,45.0,130.0,tp,Hollingsworth_2005
TKN0006,9/7/2000,64.772425466,-148.29823392,48.0,1,48.0,130.0,tp,Hollingsworth_2005
TKN0007,9/4/2002,64.872594566,-147.04551087,63.8,1,63.8,130.0,tp,Hollingsworth_2005
TKN0008,9/4/2002,64.866435958,-147.12513201,42.5,1,42.5,130.0,tp,Hollingsworth_2005
TKN0009,9/4/2002,65.046098151,-146.06725088,43.333333333333336,1,43.333333333333336,130.0,tp,Hollingsworth_2005
TKN0010,9/4/2002,65.046745514,-146.06584752,56.666666666666664,1,56.666666666666664,130.0,tp,Hollingsworth_2005
TKN0011,9/4/2002,65.047989695,-146.06267898,62.5,1,62.5,130.0,tp,Hollingsworth_2005
TKN0012,9/12/2001,65.166788236,-147.89659572,81.11111111111111,1,81.11111111111111,130.0,tp,Hollingsworth_2005
TKN0013,9/12/2001,65.165904884,-147.89642902,65.8,1,65.8,130.0,tp,Hollingsworth_2005
TKN0014,9/12/2001,65.165038237,-147.89486221,96.6,1,96.6,130.0,tp,Hollingsworth_2005
TKN0015,9/12/2001,65.154088402,-147.86562743,53.5,1,53.5,130.0,tp,Hollingsworth_2005
TKN0016,9/12/2001,65.157538436,-147.87409445,46.1,1,46.1,130.0,tp,Hollingsworth_2005
TKN0017,9/14/2000,,,50.714285714285715,1,50.714285714285715,130.0,tp,Hollingsworth_2005
TKN0018,9/14/2000,65.148067681,-147.34384955,,0,,130.0,tp,Hollingsworth_2005
TKN0019,9/14/2000,65.149395401,-147.34445879,,0,,130.0,tp,Hollingsworth_2005
