site_id,pf_observed,pf_depth,org_thick,org_thick_lower_bound,Canopy and Surface,Burn Year,Relief,Soil Type,lat,lon,source,thaw_depth,obs_limit,date,method,quality_flag_date_assigned,quality_flag_date_source_approximate,quality_flag_obs_limit_assumed,quality_flag_model_or_estimate,quality_flag_method_approximate_or_unknown,quality_flag_upper_bound_presence
3,1,49.0,85,True,"Spruce; moss, lab tea, willow, birch.",1971,Low,"Clay, silt, with some stones",60.75907,-115.8616,Holloway_2019,49.0,,2018-08-15,tp,True,True,False,False,,False
4,0,,36,False,"Poplar, spruce, tamarack; Moss, willow, lab tea",,High,Sand and gravel,60.71378,-115.8896,Holloway_2019,,200.0,2018-08-15,temp,True,True,True,True,,False
5,1,146.0,25,False,"Spruce, tamarack; moss, lab tea, horsetails, birch.",1971,Slope,Sand,60.71464,-115.8943,Holloway_2019,146.0,,2018-08-15,temp,True,True,False,True,,False
6,0,,30,False,"Poplar, spruce, willow",1981,High,Gravel,60.70697,-115.9038,Holloway_2019,,200.0,2018-08-15,temp,True,True,True,True,,False
7,1,60.0,60,True,"Spruce, tamarack, willow; grass, labrador tea, moss",,River or stream valley,,60.67968,-115.95303,Holloway_2019,60.0,,2018-08-15,tp,True,True,False,False,,False
9,0,,,False,"Spruce, tamarack (small); Wet, sedge, willow, birch",,Low,Sand,60.6603,-116.01446,Holloway_2019,,200.0,2018-08-15,temp,True,True,True,True,,False
11,0,,15,False,"Spruce, tamarack; hummocky sphagnum, lichen, lab tea",,Low,Sand,60.62586,-116.06358,Holloway_2019,,200.0,2018-08-15,temp,True,True,True,True,,False
14,0,,15,False,"Poplar, jack pine, spruce",,High,Gravel,60.60585,-116.09553,Holloway_2019,,200.0,2018-08-15,temp,True,True,True,True,,False
18,0,,20,False,"Spruce and tamarack; hummocky moss, grass, lab tea, lichen, birch",,Low,Sand,60.57663,-116.11031,Holloway_2019,,200.0,2018-08-15,temp,True,True,True,True,,False
19,0,,38,False,"Spruce, tamarack; hummocky moss, horse tails, lab tea",,Low,Sand,60.5679,-116.11639,Holloway_2019,,200.0,2018-08-15,temp,True,True,True,True,,False
20,0,,25,False,"Spruce, jack pine, tamarack; Moss, lichen, sedge",,Sloping,Sand,60.55503,-116.15326,Holloway_2019,,200.0,2018-08-15,temp,True,True,True,True,,False
22,0,,16,False,"Poplar, spruce, jack pine",,High,"Sand, silt, clay, some stones",60.52057,-116.22886,Holloway_2019,,200.0,2018-08-15,temp,True,True,True,True,,False
23,1,143.0,24,False,"Spruce and tamarack; moss, horsetails, willow",,Low,"Organic, sand, silt, clay",60.49422,-116.29705,Holloway_2019,143.0,,2018-08-15,temp,True,True,False,True,,False
