site_ID,lon_gpr,lat_gpr,alt_gpr,unc_alt_gpr
BS,-156.553938,71.256672,0.415675,0.057733
BS,-156.553937,71.256671,0.410277,0.056983
BS,-156.553937,71.25667,0.407578,0.056608
BS,-156.553937,71.256668,0.407578,0.056608
BS,-156.553937,71.256665,0.391383,0.054359
BS,-156.553937,71.256663,0.404878,0.056233
BS,-156.553937,71.256662,0.412976,0.057358
BS,-156.553937,71.25666,0.426472,0.059232
BS,-156.553938,71.256658,0.429171,0.059607
BS,-156.553938,71.256657,0.421074,0.058482
BS,-156.553938,71.256655,0.429171,0.059607
BS,-156.553938,71.256652,0.423773,0.058857
BS,-156.553937,71.256649,0.429171,0.059607
BS,-156.553937,71.256647,0.421074,0.058482
BS,-156.553936,71.256644,0.426472,0.059232
BS,-156.553935,71.256642,0.415675,0.057733
BS,-156.553935,71.256639,0.412976,0.057358
BS,-156.553935,71.256637,0.415675,0.057733
BS,-156.553935,71.256635,0.43187,0.059982
BS,-156.553935,71.256632,0.43457,0.060357
BS,-156.553935,71.25663,0.437269,0.060732
BS,-156.553934,71.256628,0.43457,0.060357
BS,-156.553933,71.256627,0.43457,0.060357
BS,-156.553933,71.256626,0.43187,0.059982
BS,-156.553933,71.256625,0.43457,0.060357
BS,-156.553933,71.256623,0.43457,0.060357
BS,-156.553933,71.256622,0.437269,0.060732
BS,-156.553932,71.25662,0.429171,0.059607
BS,-156.553931,71.256618,0.423773,0.058857
BS,-156.55393,71.256617,0.415675,0.057733
BS,-156.553931,71.256613,0.415675,0.057733
BS,-156.553932,71.256608,0.404878,0.056233
BS,-156.553932,71.256606,0.39948,0.055483
BS,-156.553933,71.256604,0.402179,0.055858
BS,-156.553933,71.256602,0.391383,0.054359
BS,-156.553933,71.2566,0.39948,0.055483
BS,-156.553931,71.256598,0.39948,0.055483
BS,-156.553928,71.256596,0.402179,0.055858
BS,-156.553925,71.256593,0.396781,0.055108
BS,-156.553923,71.256592,0.39948,0.055483
BS,-156.553922,71.256591,0.407578,0.056608
BS,-156.55392,71.25659,0.410277,0.056983
BS,-156.553918,71.256588,0.415675,0.057733
BS,-156.553916,71.256587,0.415675,0.057733
BS,-156.553913,71.256585,0.426472,0.059232
BS,-156.553911,71.256583,0.43457,0.060357
BS,-156.553908,71.256582,0.43457,0.060357
BS,-156.553905,71.256578,0.43187,0.059982
BS,-156.553904,71.256577,0.43187,0.059982
BS,-156.553903,71.256575,0.43187,0.059982
BS,-156.553903,71.256573,0.415675,0.057733
BS,-156.553902,71.256572,0.429171,0.059607
BS,-156.553902,71.25657,0.412976,0.057358
BS,-156.553902,71.256568,0.429171,0.059607
BS,-156.553901,71.256567,0.445366,0.061856
BS,-156.5539,71.256565,0.439968,0.061107
BS,-156.553899,71.256563,0.450765,0.062606
BS,-156.553898,71.256562,0.450765,0.062606
BS,-156.553898,71.256559,0.458862,0.063731
BS,-156.553897,71.256557,0.445366,0.061856
BS,-156.553897,71.256553,0.448066,0.062231
BS,-156.553897,71.256552,0.456163,0.063356
BS,-156.553898,71.256551,0.453464,0.062981
BS,-156.553898,71.25655,0.456163,0.063356
BS,-156.553898,71.256548,0.456163,0.063356
BS,-156.553898,71.256547,0.453464,0.062981
BS,-156.553898,71.256545,0.448066,0.062231
BS,-156.553899,71.256544,0.458862,0.063731
BS,-156.5539,71.256543,0.450765,0.062606
BS,-156.5539,71.25654,0.450765,0.062606
BS,-156.5539,71.256537,0.442667,0.061482
BS,-156.5539,71.256535,0.445366,0.061856
BS,-156.5539,71.256533,0.439968,0.061107
BS,-156.553899,71.256531,0.437269,0.060732
BS,-156.553899,71.256529,0.442667,0.061482
BS,-156.553899,71.256527,0.43457,0.060357
BS,-156.553899,71.256525,0.437269,0.060732
BS,-156.553898,71.256523,0.453464,0.062981
BS,-156.553897,71.256522,0.445366,0.061856
BS,-156.553895,71.25652,0.445366,0.061856
BS,-156.553895,71.256517,0.439968,0.061107
BS,-156.553893,71.256515,0.448066,0.062231
BS,-156.553892,71.256513,0.445366,0.061856
BS,-156.553891,71.256511,0.442667,0.061482
BS,-156.55389,71.256509,0.437269,0.060732
BS,-156.553888,71.256507,0.437269,0.060732
BS,-156.553887,71.256505,0.442667,0.061482
BS,-156.553886,71.256503,0.437269,0.060732
BS,-156.553885,71.256501,0.43457,0.060357
BS,-156.553884,71.256498,0.43187,0.059982
BS,-156.553883,71.256496,0.442667,0.061482
BS,-156.553882,71.256494,0.43457,0.060357
BS,-156.553881,71.256492,0.43457,0.060357
BS,-156.55388,71.25649,0.43457,0.060357
BS,-156.553879,71.256488,0.439968,0.061107
BS,-156.553878,71.256487,0.450765,0.062606
BS,-156.553877,71.256485,0.448066,0.062231
BS,-156.553876,71.256483,0.450765,0.062606
BS,-156.553874,71.256482,0.450765,0.062606
BS,-156.553873,71.25648,0.450765,0.062606
BS,-156.553872,71.256478,0.456163,0.063356
BS,-156.553871,71.256477,0.445366,0.061856
