File name: prb_gpr_alt_hd.csv,,,,,,,,,,,,,,
Missing value code: Missing data are represented as -999,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
site_ID,lat_prb,lon_prb,alt_prb,unc_alt_prb,lat_gpr,lon_gpr,owtt,velocity,unc_vel,cv_vel,alt_gpr,unc_alt_gpr,vwc,unc_vwc
,,,m,m,,,ns,m/ns,m/ns,m/ns,m,m,,
CP_HD_1,71.27335,-156.639833,0.28,0.03,71.273812,-156.63795,5.907217,0.0474,0.008124,0.202004,0.237964,0.04807,0.550013,0.111105
CP_HD_1,71.273354,-156.639814,0.22,0.03,71.273812,-156.63795,6.228699,0.03532,0.006054,0.202004,0.250915,0.050686,0.790914,0.159768
CP_HD_1,71.27336,-156.639796,0.31,0.03,71.273812,-156.63795,6.429625,0.048214,0.008264,0.202004,0.259009,0.052321,0.539818,0.109046
CP_HD_1,71.273369,-156.639777,0.32,0.03,71.273812,-156.63795,6.429625,0.04977,0.008531,0.202004,0.259009,0.052321,0.520948,0.105234
CP_HD_1,71.273379,-156.639758,0.23,0.03,71.273812,-156.63795,6.429625,0.035772,0.006131,0.202004,0.259009,0.052321,0.773336,0.156217
CP_HD_1,71.273385,-156.639739,0.27,0.03,71.273812,-156.63795,6.46981,0.041732,0.007153,0.202004,0.260628,0.052648,0.630516,0.127367
CP_HD_1,71.273392,-156.63972,0.23,0.03,71.273812,-156.63795,6.349254,0.036225,0.006209,0.202004,0.255771,0.051667,0.75724,0.152966
CP_HD_1,71.273398,-156.639701,0.26,0.03,71.273812,-156.63795,6.268884,0.041475,0.007109,0.202004,0.252533,0.051013,0.634828,0.128238
CP_HD_1,71.273405,-156.639682,0.25,0.03,71.273812,-156.63795,6.228699,0.040137,0.00688,0.202004,0.250915,0.050686,0.658854,0.133091
CP_HD_1,71.273413,-156.639663,0.24,0.03,71.273812,-156.63795,6.108143,0.039292,0.006735,0.202004,0.246058,0.049705,0.67581,0.136516
CP_HD_1,71.273418,-156.639644,0.24,0.03,71.273812,-156.63795,6.268884,0.038284,0.006562,0.202004,0.252533,0.051013,0.698479,0.141096
CP_HD_1,71.273423,-156.639626,0.26,0.03,71.273812,-156.63795,6.590365,0.039452,0.006762,0.202004,0.265484,0.053629,0.672477,0.135843
CP_HD_1,71.273429,-156.639607,0.24,0.03,71.273812,-156.63795,6.911846,0.034723,0.005952,0.202004,0.278434,0.056245,0.816908,0.165019
CP_HD_1,71.273436,-156.639588,0.24,0.03,71.273812,-156.63795,6.911846,0.034723,0.005952,0.202004,0.278434,0.056245,0.816908,0.165019
CP_HD_1,71.273442,-156.639569,0.24,0.03,71.273812,-156.63795,6.751106,0.03555,0.006093,0.202004,0.271959,0.054937,0.781782,0.157923
CP_HD_1,71.273449,-156.63955,0.24,0.03,71.273812,-156.63795,5.625921,0.04266,0.007312,0.202004,0.226633,0.045781,0.615656,0.124365
CP_HD_1,71.273454,-156.639531,0.24,0.03,71.273812,-156.63795,5.666106,0.042357,0.00726,0.202004,0.228251,0.046108,0.620398,0.125323
CP_HD_1,71.273461,-156.639512,0.26,0.03,71.273812,-156.63795,5.867032,0.044315,0.007596,0.202004,0.236345,0.047743,0.591152,0.119415
CP_HD_1,71.273466,-156.639493,0.2,0.03,71.273812,-156.63795,6.067958,0.03296,0.005649,0.202004,0.244439,0.049378,-999,-999
CP_HD_1,71.273471,-156.639474,0.28,0.03,71.273812,-156.63795,5.746477,0.048726,0.008352,0.202004,0.231489,0.046762,0.533535,0.107776
CP_HD_1,71.273482,-156.639456,0.26,0.03,71.273812,-156.63795,6.148328,0.042288,0.007248,0.202004,0.247677,0.050032,0.621497,0.125545
CP_HD_1,71.273495,-156.639437,0.26,0.03,71.273812,-156.63795,6.188514,0.042013,0.007201,0.202004,0.249296,0.050359,0.625908,0.126436
CP_HD_1,71.273511,-156.639418,0.26,0.03,71.273812,-156.63795,7.072587,0.036762,0.006301,0.202004,0.28491,0.057553,0.739868,0.149456
CP_HD_1,71.273522,-156.639399,0.26,0.03,71.273812,-156.63795,7.112772,0.036554,0.006265,0.202004,0.286528,0.05788,0.746385,0.150773
CP_HD_1,71.273532,-156.63938,0.26,0.03,71.273812,-156.63795,7.394068,0.035163,0.006027,0.202004,0.29786,0.060169,0.797427,0.161083
CP_HD_1,71.273542,-156.639361,0.28,0.03,71.273812,-156.63795,7.514623,0.037261,0.006387,0.202004,0.302716,0.06115,0.725154,0.146484
CP_HD_1,71.273548,-156.639342,0.27,0.03,71.273812,-156.63795,7.95666,0.033934,0.005816,0.202004,0.320523,0.064747,0.85705,0.173128
CP_HD_1,71.273561,-156.639323,0.28,0.03,71.273812,-156.63795,7.474438,0.037461,0.006421,0.202004,0.301098,0.060823,0.719588,0.14536
CP_HD_1,71.273566,-156.639304,0.28,0.03,71.273812,-156.63795,6.938637,0.040354,0.006917,0.202004,0.279514,0.056463,0.654746,0.132261
CP_HD_1,71.273571,-156.639286,0.27,0.03,71.273812,-156.63795,6.751106,0.039993,0.006855,0.202004,0.271959,0.054937,0.661619,0.13365
CP_HD_1,71.273576,-156.639267,0.29,0.03,71.273812,-156.63795,7.755735,0.037392,0.006409,0.202004,0.312429,0.063112,0.721493,0.145745
CP_HD_1,71.273582,-156.639248,0.3,0.03,71.273812,-156.63795,8.398697,0.03572,0.006122,0.202004,0.33833,0.068344,0.775282,0.15661
CP_HD_1,71.27359,-156.639229,0.37,0.03,71.273812,-156.63795,10.327585,0.035826,0.006141,0.202004,0.416033,0.08404,0.771323,0.15581
CP_HD_1,71.2736,-156.63921,0.39,0.03,71.273812,-156.63795,11.131287,0.035036,0.006005,0.202004,0.448409,0.09058,0.802853,0.16218
CP_HD_1,71.273605,-156.639191,0.4,0.03,71.273812,-156.63795,11.251843,0.03555,0.006093,0.202004,0.453265,0.091561,0.781782,0.157923
CP_HD_1,71.273613,-156.639172,0.4,0.03,71.273812,-156.63795,10.548603,0.03792,0.0065,0.202004,0.424936,0.085839,0.7075,0.142918
CP_HD_1,71.273617,-156.639153,0.34,0.03,71.273812,-156.63795,8.237956,0.041272,0.007074,0.202004,0.331855,0.067036,0.638278,0.128935
CP_HD_1,71.273625,-156.639134,0.3,0.03,71.273812,-156.63795,8.479068,0.035381,0.006064,0.202004,0.341568,0.068998,0.788448,0.15927
CP_HD_1,71.27363,-156.639116,0.3,0.03,71.273812,-156.63795,8.860826,0.033857,0.005803,0.202004,0.356946,0.072105,0.861375,0.174001
CP_HD_1,71.273636,-156.639097,0.3,0.03,71.273812,-156.63795,9.001475,0.033328,0.005712,0.202004,0.362612,0.073249,0.893398,0.18047
CP_HD_1,71.273641,-156.639078,0.31,0.03,71.273812,-156.63795,9.12203,0.033984,0.005825,0.202004,0.367469,0.07423,0.854291,0.17257
