File name: probe_data.csv,,,,,,,,,,,,,,,
Missing value code: Missing data are represented as -999,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Distance,UNB_HD_1 ,UNB_HD_2 ,BS_HD_1 ,BS_HD_2 ,BS_HD_3 ,BS_HD_4 ,BS_HD_5 ,BS_HD_7 ,CP_HD_1 ,CL_HD_1 ,CL_HD_2 ,CL_HD_3 ,CL_HD_4 ,CL_HD_5 ,CL_HD_6 
m,cm,cm,cm,cm,cm,cm,cm,cm,cm,cm,cm,cm,cm,cm,cm
0,29,73,47,29,38,41,36,75,28,58,47,36,43,35,35
1,29,73,49,30,39,43,37,56,22,54,46,32,41,33,36
2,30,76,48,31,37,44,34,59,31,49,46,36,40,31,42
3,29,71,47,26,38,44,33,79,32,50,51,33,39,29,44
4,28,69,49,27,39,44,34,77,23,53,57,32,41,31,45
5,24,72,48,27,39,42,35,65,27,48,49,36,42,31,36
6,27,71,50,26,40,38,37,66,23,44,43,36,42,37,37
7,30,69,50,29,40,38,36,80,26,56,44,32,41,36,42
8,29,68,54,29,40,39,39,69,25,47,28,38,40,34,40
9,30,69,48,24,39,39,40,69,24,44,23,36,39,36,48
10,34,63,49,17,39,39,40,73,24,56,21,35,40,32,46
11,35,63,52,23,39,39,42,63,26,55,22,33,40,28,44
12,20,61,49,28,39,40,41,63,24,56,24,31,41,30,36
13,23,54,48,26,42,39,42,68,24,48,26,26,38,33,36
14,25,54,49,23,43,39,40,66,24,58,31,29,38,31,36
15,30,58,48,22,43,38,38,69,24,57,29,33,40,33,46
16,28,51,50,29,41,39,41,64,24,58,33,29,38,36,50
17,35,56,48,27,40,38,41,72,26,65,26,30,38,38,53
18,47,53,49,26,40,39,41,71,20,59,30,30,37,37,39
19,49,45,47,28,42,40,41,71,28,73,39,30,38,33,33
20,43,56,46,29,43,41,42,70,26,69,45,33,39,29,31
21,37,50,49,28,43,43,41,79,26,72,45,36,39,29,34
22,39,40,48,30,43,43,44,65,26,80,43,30,39,34,41
23,37,41,52,32,41,41,45,68,26,71,43,33,38,29,50
24,43,44,47,24,40,42,42,71,26,73,42,26,41,26,46
25,42,40,46,25,41,40,40,62,28,85,40,30,39,27,34
26,41,42,48,18,39,41,41,65,27,65,30,33,40,26,30
27,40,40,47,25,36,40,40,65,28,68,17,34,39,26,29
28,37,42,48,29,35,41,42,71,28,48,12,33,40,28,42
29,37,45,48,22,34,39,40,71,27,88,14,29,39,28,53
30,37,41,47,24,33,36,39,70,29,-999,18,31,38,31,44
31,40,37,48,20,34,37,38,74,30,64,14,32,40,41,39
32,43,46,47,21,33,29,35,70,37,-999,16,35,37,37,38
33,47,46,46,23,33,30,38,64,39,60,17,35,39,32,34
34,48,51,45,26,33,26,40,59,40,39,19,37,40,30,39
35,36,43,46,25,29,26,41,55,40,65,30,36,44,29,46
36,35,42,50,25,31,29,41,56,34,-999,43,33,43,30,38
37,27,39,54,27,31,34,40,53,30,-999,44,31,39,44,38
38,33,44,50,26,32,31,40,65,30,42,44,28,38,42,35
39,33,44,48,26,32,31,43,74,30,69,46,30,38,44,41
40,27,35,47,26,28,29,40,60,31,63,44,29,41,43,36
41,30,44,49,28,30,30,41,68,31,59,44,27,39,44,36
42,31,36,46,26,30,33,42,62,28,44,34,31,38,42,36
43,30,50,48,26,31,39,42,55,34,56,23,30,40,45,28
44,26,41,50,26,32,37,42,66,31,-999,12,24,39,44,34
45,25,39,49,25,35,36,42,55,25,-999,10,29,39,45,31
46,26,39,58,26,33,36,42,54,30,45,19,31,39,32,36
47,29,40,48,25,32,38,44,54,32,100,19,33,35,29,33
48,28,40,53,28,34,36,42,47,33,58,29,37,39,29,26
49,30,40,55,28,34,40,41,55,29,-999,35,40,40,34,42
50,37,40,59,28,32,38,43,55,36,-999,40,35,41,32,39
51,42,42,55,28,32,40,44,53,29,-999,43,30,44,36,32
52,35,44,53,30,32,44,44,41,33,-999,42,31,43,36,34
53,25,44,54,27,31,45,44,41,30,-999,44,30,40,36,43
54,28,41,54,30,31,46,44,43,29,-999,43,33,48,38,54
55,28,43,52,36,33,48,43,46,25,-999,43,30,38,38,37
56,24,39,39,29,33,43,44,44,25,-999,45,28,35,38,30
57,28,45,35,30,31,46,43,44,31,-999,45,30,40,41,40
58,25,53,33,30,31,43,43,42,33,77,43,33,41,41,29
59,32,50,37,32,32,44,43,44,32,-999,40,32,39,40,25
60,40,43,40,32,33,50,43,55,49,65,39,30,40,43,29
61,51,42,42,31,33,43,43,62,42,74,42,30,38,44,34
62,49,39,43,30,33,45,42,73,41,76,43,28,38,47,31
63,43,37,49,34,32,45,42,69,46,70,44,35,40,45,34
64,26,45,44,36,29,40,41,77,37,67,44,38,41,47,52
65,25,35,36,34,32,39,42,66,33,67,45,36,39,43,46
66,26,42,42,34,34,39,42,71,36,68,42,34,40,40,42
67,27,40,36,34,37,38,42,64,33,63,44,32,41,38,40
68,27,42,35,33,36,40,43,59,33,62,43,30,41,41,36
69,30,44,43,34,33,40,42,69,32,51,42,29,42,46,37
70,25,40,46,32,33,40,42,60,34,42,43,25,43,47,37
