FID,Date,SiteID,Adjacency,ThawDep_cm,Lat_WGS84,Lon_WGS84,X_UTMz6,Y_UTMz6,Altitude_m
0,20180614,APEX1,Seismometer,32,64.696607,-148.323667,436876.77984,7175302.00236,134.27
1,20180614,APEX1,Seismometer,63,64.696607,-148.323667,436876.77984,7175302.00236,134.27
2,20180614,APEX1,Seismometer,40,64.696607,-148.323667,436876.77984,7175302.00236,134.27
3,20180614,APEX1,Seismometer,30,64.696607,-148.323667,436876.77984,7175302.00236,134.27
4,20180614,APEX1,Seismometer,31,64.696607,-148.323667,436876.77984,7175302.00236,134.27
5,20180614,APEX1,NMR borehole,23,64.696600,-148.323624,436878.79235,7175301.13901,133.59
6,20180614,APEX1,NMR borehole,22,64.696600,-148.323624,436878.79235,7175301.13901,133.59
7,20180614,APEX1,NMR borehole,19,64.696600,-148.323624,436878.79235,7175301.13901,133.59
8,20180614,APEX1,NMR borehole,21,64.696600,-148.323624,436878.79235,7175301.13901,133.59
9,20180614,APEX2,Seismometer,33,64.696488,-148.323168,436900.27026,7175288.16999,133.11
10,20180614,APEX2,Seismometer,31,64.696488,-148.323168,436900.27026,7175288.16999,133.11
11,20180614,APEX2,Seismometer,32,64.696488,-148.323168,436900.27026,7175288.16999,133.11
12,20180614,APEX2,Seismometer,33,64.696488,-148.323168,436900.27026,7175288.16999,133.11
13,20180614,APEX2,NMR borehole,45,64.696488,-148.323269,436895.48270,7175288.27926,132.94
14,20180614,APEX2,NMR borehole,44,64.696488,-148.323269,436895.48270,7175288.27926,132.94
15,20180614,APEX2,NMR borehole,48,64.696488,-148.323269,436895.48270,7175288.27926,132.94
16,20180614,APEX2,NMR borehole,52,64.696488,-148.323269,436895.48270,7175288.27926,132.94
17,20180614,APEX3,Seismometer,16,64.696286,-148.322626,436925.65625,7175265.10808,133.93
18,20180614,APEX3,Seismometer,22,64.696286,-148.322626,436925.65625,7175265.10808,133.93
19,20180614,APEX3,Seismometer,16,64.696286,-148.322626,436925.65625,7175265.10808,133.93
20,20180614,APEX3,Seismometer,19,64.696286,-148.322626,436925.65625,7175265.10808,133.93
21,20180614,APEX3,NMR borehole,18,64.696279,-148.322600,436926.87910,7175264.34488,133.33
22,20180614,APEX3,NMR borehole,20,64.696279,-148.322600,436926.87910,7175264.34488,133.33
23,20180614,APEX3,NMR borehole,20,64.696279,-148.322600,436926.87910,7175264.34488,133.33
24,20180614,APEX3,NMR borehole,15,64.696279,-148.322600,436926.87910,7175264.34488,133.33
25,20180614,APEX4,Seismometer,79,64.695948,-148.322557,436928.15964,7175227.42467,130.63
26,20180614,APEX4,Seismometer,45,64.695948,-148.322557,436928.15964,7175227.42467,130.63
27,20180614,APEX4,Seismometer,46,64.695948,-148.322557,436928.15964,7175227.42467,130.63
28,20180614,APEX4,Seismometer,42,64.695948,-148.322557,436928.15964,7175227.42467,130.63
29,20180614,APEX4,Seismometer,43,64.695948,-148.322557,436928.15964,7175227.42467,130.63
30,20180614,APEX4,NMR borehole,29,64.695961,-148.322521,436929.89987,7175228.85620,131.11
31,20180614,APEX4,NMR borehole,28,64.695961,-148.322521,436929.89987,7175228.85620,131.11
32,20180614,APEX4,NMR borehole,34,64.695961,-148.322521,436929.89987,7175228.85620,131.11
33,20180614,APEX4,NMR borehole,31,64.695961,-148.322521,436929.89987,7175228.85620,131.11
34,20180614,APEX5,Seismometer,39,64.695741,-148.322539,436928.55647,7175204.32935,131.41
35,20180614,APEX5,Seismometer,40,64.695741,-148.322539,436928.55647,7175204.32935,131.41
36,20180614,APEX5,Seismometer,30,64.695741,-148.322539,436928.55647,7175204.32935,131.41
37,20180614,APEX5,Seismometer,73,64.695741,-148.322539,436928.55647,7175204.32935,131.41
38,20180614,APEX5,Seismometer,68,64.695741,-148.322539,436928.55647,7175204.32935,131.41
39,20180614,APEX6,Seismometer,38,64.696025,-148.322126,436948.89353,7175235.53899,133.20
40,20180614,APEX6,Seismometer,47,64.696025,-148.322126,436948.89353,7175235.53899,133.20
41,20180614,APEX6,Seismometer,40,64.696025,-148.322126,436948.89353,7175235.53899,133.20
42,20180614,APEX6,Seismometer,40,64.696025,-148.322126,436948.89353,7175235.53899,133.20
43,20180614,APEX6,NMR borehole,38,64.696031,-148.322053,436952.41816,7175236.22367,131.97
44,20180614,APEX6,NMR borehole,47,64.696031,-148.322053,436952.41816,7175236.22367,131.97
45,20180614,APEX6,NMR borehole,40,64.696031,-148.322053,436952.41816,7175236.22367,131.97
46,20180614,APEX6,NMR borehole,40,64.696031,-148.322053,436952.41816,7175236.22367,131.97
47,20180614,APEX7,Seismometer,30,64.695877,-148.321758,436966.11058,7175218.73856,132.09
48,20180614,APEX7,Seismometer,35,64.695877,-148.321758,436966.11058,7175218.73856,132.09
