site_id,james_adjacency,date,lat,lon,pf_observed,obs_limit,method,source,thaw_depth,pf_depth,james_reported_depth_min_cm,james_reported_depth_max_cm,james_native_count,quality_flag_source_unit_or_code_recoded,quality_flag_summary_statistic,quality_flag_coord_site_level
APEX1_3_ERT_electrode,ERT electrode,2018-08-20,64.69627,-148.322367,1,,tp,James_2019,34.0,34.0,34,34,1,False,False,True
APEX1_3_ERT_electrode,ERT electrode,2018-08-20,64.696274,-148.322393,1,,tp,James_2019,31.0,31.0,31,31,1,False,False,True
APEX1_3_ERT_electrode,ERT electrode,2018-08-20,64.696279,-148.32242,1,,tp,James_2019,37.0,37.0,37,37,1,False,False,True
APEX1_3_ERT_electrode,ERT electrode,2018-08-20,64.696285,-148.322451,1,,tp,James_2019,38.0,38.0,38,38,1,False,False,True
APEX1_3_ERT_electrode,ERT electrode,2018-08-20,64.696292,-148.322479,1,,tp,James_2019,37.0,37.0,37,37,1,False,False,True
APEX1_3_ERT_electrode,ERT electrode,2018-08-20,64.696298,-148.322504,1,,tp,James_2019,35.0,35.0,35,35,1,False,False,True
APEX1_3_ERT_electrode,ERT electrode,2018-08-20,64.696303,-148.322535,1,,tp,James_2019,36.0,36.0,36,36,1,False,False,True
APEX1_3_ERT_electrode,ERT electrode,2018-08-20,64.696309,-148.322561,1,,tp,James_2019,42.0,42.0,42,42,1,False,False,True
APEX1_3_ERT_electrode,ERT electrode,2018-08-20,64.696317,-148.322589,1,,tp,James_2019,36.0,36.0,36,36,1,False,False,True
APEX1_3_ERT_electrode,ERT electrode,2018-08-20,64.69633,-148.322641,1,,tp,James_2019,42.0,42.0,42,42,1,False,False,True
APEX1_3_ERT_electrode,ERT electrode,2018-08-20,64.696334,-148.322668,1,,tp,James_2019,45.0,45.0,45,45,1,False,False,True
APEX1_3_ERT_electrode,ERT electrode,2018-08-20,64.69634,-148.322701,1,,tp,James_2019,51.0,51.0,51,51,1,False,False,True
APEX1_3_ERT_electrode,ERT electrode,2018-08-20,64.696349,-148.322727,1,,tp,James_2019,47.0,47.0,47,47,1,False,False,True
APEX1_3_ERT_electrode,ERT electrode,2018-08-20,64.696354,-148.322755,1,,tp,James_2019,46.0,46.0,46,46,1,False,False,True
APEX1_3_ERT_electrode,ERT electrode,2018-08-20,64.69636,-148.322784,1,,tp,James_2019,50.0,50.0,50,50,1,False,False,True
APEX1_3_ERT_electrode,ERT electrode,2018-08-20,64.696368,-148.322809,1,,tp,James_2019,48.0,48.0,48,48,1,False,False,True
APEX1_3_ERT_electrode,ERT electrode,2018-08-20,64.696372,-148.322833,1,,tp,James_2019,71.0,71.0,71,71,1,False,False,True
APEX1_3_ERT_electrode,ERT electrode,2018-08-20,64.696378,-148.322865,1,,tp,James_2019,81.0,81.0,81,81,1,False,False,True
APEX1_3_ERT_electrode,ERT electrode,2018-08-20,64.696384,-148.322891,1,,tp,James_2019,94.0,94.0,94,94,1,False,False,True
APEX1_3_ERT_electrode,ERT electrode,2018-08-20,64.696391,-148.322917,1,,tp,James_2019,99.0,99.0,99,99,1,False,False,True
APEX1_3_ERT_electrode,ERT electrode,2018-08-20,64.696397,-148.322947,1,,tp,James_2019,98.0,98.0,98,98,1,False,False,True
APEX1_3_ERT_electrode,ERT electrode,2018-08-20,64.696405,-148.322973,1,,tp,James_2019,80.0,80.0,80,80,1,False,False,True
APEX1_3_ERT_electrode,ERT electrode,2018-08-20,64.69641,-148.322999,1,,tp,James_2019,68.0,68.0,68,68,1,False,False,True
APEX1_3_ERT_electrode,ERT electrode,2018-08-20,64.696425,-148.32306,1,,tp,James_2019,51.0,51.0,51,51,1,False,False,True
APEX1_3_ERT_electrode,ERT electrode,2018-08-20,64.696436,-148.323116,1,,tp,James_2019,70.0,70.0,70,70,1,False,False,True
APEX1_3_ERT_electrode,ERT electrode,2018-08-20,64.696448,-148.323172,1,,tp,James_2019,70.0,70.0,70,70,1,False,False,True
APEX1_3_ERT_electrode,ERT electrode,2018-08-20,64.696462,-148.323223,1,,tp,James_2019,71.0,71.0,71,71,1,False,False,True
APEX1_3_ERT_electrode,ERT electrode,2018-08-20,64.696478,-148.323279,1,,tp,James_2019,87.0,87.0,87,87,1,False,False,True
APEX1_3_ERT_electrode,ERT electrode,2018-08-20,64.696488,-148.323332,1,,tp,James_2019,67.0,67.0,67,67,1,False,False,True
APEX1_3_ERT_electrode,ERT electrode,2018-08-20,64.6965,-148.323389,1,,tp,James_2019,63.0,63.0,63,63,1,False,False,True
APEX1_3_ERT_electrode,ERT electrode,2018-08-20,64.696513,-148.323442,1,,tp,James_2019,79.0,79.0,79,79,1,False,False,True
APEX1_3_ERT_electrode,ERT electrode,2018-08-20,64.696527,-148.323499,1,,tp,James_2019,77.0,77.0,77,77,1,False,False,True
APEX1_3_ERT_electrode,ERT electrode,2018-08-20,64.696538,-148.323558,1,,tp,James_2019,53.0,53.0,53,53,1,False,False,True
APEX1_3_ERT_electrode,ERT electrode,2018-08-20,64.696551,-148.323613,1,,tp,James_2019,69.0,69.0,69,69,1,False,False,True
APEX1_3_ERT_electrode,ERT electrode,2018-08-20,64.696562,-148.323663,1,,tp,James_2019,78.0,78.0,78,78,1,False,False,True
APEX1_3_ERT_electrode,ERT electrode,2018-08-20,64.696573,-148.323723,1,,tp,James_2019,65.0,65.0,65,65,1,False,False,True
APEX1_3_ERT_electrode,ERT electrode,2018-08-20,64.696586,-148.323776,1,,tp,James_2019,67.0,67.0,67,67,1,False,False,True
APEX1_3_ERT_electrode,ERT electrode,2018-08-20,64.6966,-148.323835,1,,tp,James_2019,66.0,66.0,66,66,1,False,False,True
APEX1_3_ERT_electrode,ERT electrode,2018-08-20,64.696611,-148.32389,1,,tp,James_2019,53.0,53.0,53,53,1,False,False,True
APEX1_NMR_borehole,NMR borehole,2018-06-14,64.6966,-148.323624,1,,tp,James_2019,21.25,21.25,19,23,4,False,True,True
APEX1_NMR_borehole,NMR borehole,2018-07-05,64.6966,-148.323624,1,,tp,James_2019,39.25,39.25,31,54,4,False,True,True
APEX1_NMR_borehole,NMR borehole,2018-08-19,64.6966,-148.323624,1,,tp,James_2019,69.75,69.75,65,78,4,False,True,True
APEX1_NMR_borehole,NMR borehole,2018-10-10,64.6966,-148.323624,1,,tp,James_2019,62.0,62.0,59,65,4,False,True,True
APEX1_NMR_borehole,NMR borehole,2019-06-30,64.6966,-148.323624,1,,tp,James_2019,33.5,33.5,30,38,4,False,True,True
APEX1_NMR_borehole,NMR borehole,2019-09-08,64.6966,-148.323624,1,,tp,James_2019,71.4,71.4,70,73,5,False,True,True
APEX1_Seismometer,Seismometer,2018-06-14,64.696607,-148.323667,1,,tp,James_2019,39.2,39.2,30,63,5,False,True,True
APEX1_Seismometer,Seismometer,2018-07-05,64.696607,-148.323667,1,,tp,James_2019,42.5,42.5,30,62,4,False,True,True
APEX1_Seismometer,Seismometer,2018-08-19,64.696607,-148.323667,1,,tp,James_2019,69.75,69.75,65,78,4,False,True,True
APEX1_Seismometer,Seismometer,2018-10-10,64.696607,-148.323667,1,,tp,James_2019,76.25,76.25,71,80,4,False,True,True
APEX1_Seismometer,Seismometer,2019-06-30,64.696607,-148.323667,1,,tp,James_2019,38.0,38.0,35,44,4,False,True,True
APEX1_Seismometer,Seismometer,2019-09-08,64.696607,-148.323667,1,,tp,James_2019,79.0,79.0,76,83,5,False,True,True
APEX2_NMR_borehole,NMR borehole,2018-06-14,64.696488,-148.323269,1,,tp,James_2019,47.25,47.25,44,52,4,False,True,True
APEX2_NMR_borehole,NMR borehole,2018-07-05,64.696488,-148.323269,1,,tp,James_2019,61.75,61.75,58,65,4,False,True,True
APEX2_NMR_borehole,NMR borehole,2018-08-19,64.696488,-148.323269,1,,tp,James_2019,73.75,73.75,67,87,4,False,True,True
APEX2_NMR_borehole,NMR borehole,2018-10-10,64.696488,-148.323269,1,,tp,James_2019,98.5,98.5,97,100,4,False,True,True
APEX2_NMR_borehole,NMR borehole,2019-06-30,64.696488,-148.323269,1,,tp,James_2019,60.0,60.0,58,63,4,False,True,True
APEX2_NMR_borehole,NMR borehole,2019-09-08,64.696488,-148.323269,1,,tp,James_2019,99.2,99.2,97,102,5,False,True,True
APEX2_Seismometer,Seismometer,2018-06-14,64.696488,-148.323168,1,,tp,James_2019,32.25,32.25,31,33,4,False,True,True
APEX2_Seismometer,Seismometer,2018-07-05,64.696488,-148.323168,1,,tp,James_2019,34.25,34.25,30,41,4,False,True,True
APEX2_Seismometer,Seismometer,2018-08-19,64.696488,-148.323168,1,,tp,James_2019,73.75,73.75,67,87,4,False,True,True
APEX2_Seismometer,Seismometer,2018-10-10,64.696488,-148.323168,1,,tp,James_2019,62.75,62.75,61,66,4,False,True,True
APEX2_Seismometer,Seismometer,2019-06-30,64.696488,-148.323168,1,,tp,James_2019,39.0,39.0,33,48,4,False,True,True
APEX2_Seismometer,Seismometer,2019-09-08,64.696488,-148.323168,1,,tp,James_2019,69.2,69.2,64,77,5,False,True,True
APEX3_NMR_borehole,NMR borehole,2018-06-14,64.696279,-148.3226,1,,tp,James_2019,18.25,18.25,15,20,4,False,True,True
APEX3_NMR_borehole,NMR borehole,2018-07-05,64.696279,-148.3226,1,,tp,James_2019,24.666666666666668,24.666666666666668,22,30,3,False,True,True
APEX3_NMR_borehole,NMR borehole,2018-08-19,64.696279,-148.3226,1,,tp,James_2019,37.25,37.25,35,42,4,False,True,True
APEX3_NMR_borehole,NMR borehole,2018-10-10,64.696279,-148.3226,1,,tp,James_2019,44.25,44.25,38,47,4,False,True,True
APEX3_NMR_borehole,NMR borehole,2019-06-30,64.696279,-148.3226,1,,tp,James_2019,34.5,34.5,30,40,4,False,True,True
APEX3_NMR_borehole,NMR borehole,2019-09-08,64.696279,-148.3226,1,,tp,James_2019,52.2,52.2,46,60,5,False,True,True
APEX3_Seismometer,Seismometer,2018-06-14,64.696286,-148.322626,1,,tp,James_2019,18.25,18.25,16,22,4,False,True,True
APEX3_Seismometer,Seismometer,2018-07-05,64.696286,-148.322626,1,,tp,James_2019,27.666666666666668,27.666666666666668,25,31,3,False,True,True
APEX3_Seismometer,Seismometer,2018-08-19,64.696286,-148.322626,1,,tp,James_2019,41.25,41.25,39,44,4,False,True,True
APEX3_Seismometer,Seismometer,2018-10-10,64.696286,-148.322626,1,,tp,James_2019,40.25,40.25,36,44,4,False,True,True
APEX3_Seismometer,Seismometer,2019-06-30,64.696286,-148.322626,1,,tp,James_2019,35.75,35.75,32,40,4,False,True,True
APEX3_Seismometer,Seismometer,2019-09-08,64.696286,-148.322626,1,,tp,James_2019,54.2,54.2,50,59,5,False,True,True
APEX4_NMR_borehole,NMR borehole,2018-06-14,64.695961,-148.322521,1,,tp,James_2019,30.5,30.5,28,34,4,False,True,True
APEX4_NMR_borehole,NMR borehole,2018-07-05,64.695961,-148.322521,1,,tp,James_2019,43.5,43.5,42,45,4,False,True,True
APEX4_NMR_borehole,NMR borehole,2018-08-19,64.695961,-148.322521,1,,tp,James_2019,63.75,63.75,57,70,4,False,True,True
APEX4_NMR_borehole,NMR borehole,2018-10-10,64.695961,-148.322521,1,,tp,James_2019,63.25,63.25,54,73,4,False,True,True
APEX4_NMR_borehole,NMR borehole,2019-06-30,64.695961,-148.322521,1,,tp,James_2019,42.75,42.75,40,46,4,False,True,True
APEX4_NMR_borehole,NMR borehole,2019-09-08,64.695961,-148.322521,1,,tp,James_2019,66.4,66.4,58,73,5,False,True,True
APEX4_Seismometer,Seismometer,2018-06-14,64.695948,-148.322557,1,,tp,James_2019,51.0,51.0,42,79,5,False,True,True
APEX4_Seismometer,Seismometer,2018-07-05,64.695948,-148.322557,1,,tp,James_2019,66.0,66.0,52,82,4,False,True,True
APEX4_Seismometer,Seismometer,2018-08-19,64.695948,-148.322557,1,,tp,James_2019,78.5,78.5,74,84,4,False,True,True
APEX4_Seismometer,Seismometer,2018-10-10,64.695948,-148.322557,1,,tp,James_2019,88.25,88.25,85,93,4,False,True,True
APEX4_Seismometer,Seismometer,2019-06-30,64.695948,-148.322557,1,,tp,James_2019,50.75,50.75,46,59,4,False,True,True
APEX4_Seismometer,Seismometer,2019-09-08,64.695948,-148.322557,1,,tp,James_2019,89.6,89.6,85,97,5,False,True,True
APEX5_3_ERT_electrode,ERT electrode,2018-08-19,64.695576,-148.322576,1,,tp,James_2019,78.0,78.0,78,78,1,False,False,True
APEX5_3_ERT_electrode,ERT electrode,2018-08-19,64.695592,-148.322576,1,,tp,James_2019,64.0,64.0,64,64,1,False,False,True
APEX5_3_ERT_electrode,ERT electrode,2018-08-19,64.695608,-148.322586,1,,tp,James_2019,96.0,96.0,96,96,1,False,False,True
APEX5_3_ERT_electrode,ERT electrode,2018-08-19,64.69562,-148.322585,1,,tp,James_2019,116.0,116.0,116,116,1,False,False,True
APEX5_3_ERT_electrode,ERT electrode,2018-08-19,64.695635,-148.322585,1,,tp,James_2019,130.0,130.0,130,130,1,False,False,True
APEX5_3_ERT_electrode,ERT electrode,2018-08-19,64.695649,-148.322589,1,,tp,James_2019,102.0,102.0,102,102,1,False,False,True
APEX5_3_ERT_electrode,ERT electrode,2018-08-19,64.695662,-148.322585,1,,tp,James_2019,95.0,95.0,95,95,1,False,False,True
APEX5_3_ERT_electrode,ERT electrode,2018-08-19,64.695675,-148.322582,1,,tp,James_2019,127.0,127.0,127,127,1,False,False,True
APEX5_3_ERT_electrode,ERT electrode,2018-08-19,64.69569,-148.322579,1,,tp,James_2019,127.0,127.0,127,127,1,False,False,True
APEX5_3_ERT_electrode,ERT electrode,2018-08-19,64.695703,-148.322586,1,,tp,James_2019,127.0,127.0,127,127,1,False,False,True
APEX5_3_ERT_electrode,ERT electrode,2018-08-19,64.695712,-148.322581,1,,tp,James_2019,121.0,121.0,121,121,1,False,False,True
APEX5_3_ERT_electrode,ERT electrode,2018-08-19,64.695725,-148.322588,1,,tp,James_2019,118.0,118.0,118,118,1,False,False,True
APEX5_3_ERT_electrode,ERT electrode,2018-08-19,64.695738,-148.32259,1,,tp,James_2019,102.0,102.0,102,102,1,False,False,True
APEX5_3_ERT_electrode,ERT electrode,2018-08-19,64.695754,-148.322594,1,,tp,James_2019,97.0,97.0,97,97,1,False,False,True
APEX5_3_ERT_electrode,ERT electrode,2018-08-19,64.695769,-148.322598,1,,tp,James_2019,119.0,119.0,119,119,1,False,False,True
APEX5_3_ERT_electrode,ERT electrode,2018-08-19,64.695786,-148.322596,1,,tp,James_2019,115.0,115.0,115,115,1,False,False,True
APEX5_3_ERT_electrode,ERT electrode,2018-08-19,64.695801,-148.322595,1,,tp,James_2019,135.0,135.0,135,135,1,False,False,True
APEX5_3_ERT_electrode,ERT electrode,2018-08-19,64.69581,-148.322599,1,,tp,James_2019,134.0,134.0,134,134,1,False,False,True
APEX5_3_ERT_electrode,ERT electrode,2018-08-19,64.695822,-148.322601,1,,tp,James_2019,132.0,132.0,132,132,1,False,False,True
APEX5_3_ERT_electrode,ERT electrode,2018-08-19,64.695835,-148.3226,1,,tp,James_2019,117.0,117.0,117,117,1,False,False,True
APEX5_3_ERT_electrode,ERT electrode,2018-08-19,64.695847,-148.3226,1,,tp,James_2019,80.0,80.0,80,80,1,False,False,True
APEX5_3_ERT_electrode,ERT electrode,2018-08-19,64.695859,-148.322605,1,,tp,James_2019,102.0,102.0,102,102,1,False,False,True
APEX5_3_ERT_electrode,ERT electrode,2018-08-19,64.695876,-148.322608,1,,tp,James_2019,106.0,106.0,106,106,1,False,False,True
APEX5_3_ERT_electrode,ERT electrode,2018-08-19,64.695891,-148.322602,1,,tp,James_2019,114.0,114.0,114,114,1,False,False,True
APEX5_3_ERT_electrode,ERT electrode,2018-08-19,64.695901,-148.322603,1,,tp,James_2019,103.0,103.0,103,103,1,False,False,True
APEX5_3_ERT_electrode,ERT electrode,2018-08-19,64.695913,-148.322605,1,,tp,James_2019,93.0,93.0,93,93,1,False,False,True
APEX5_3_ERT_electrode,ERT electrode,2018-08-19,64.695931,-148.322607,1,,tp,James_2019,72.0,72.0,72,72,1,False,False,True
APEX5_3_ERT_electrode,ERT electrode,2018-08-19,64.695944,-148.322602,1,,tp,James_2019,82.0,82.0,82,82,1,False,False,True
APEX5_3_ERT_electrode,ERT electrode,2018-08-19,64.695959,-148.322607,1,,tp,James_2019,59.0,59.0,59,59,1,False,False,True
APEX5_3_ERT_electrode,ERT electrode,2018-08-19,64.695972,-148.322605,1,,tp,James_2019,57.0,57.0,57,57,1,False,False,True
APEX5_3_ERT_electrode,ERT electrode,2018-08-19,64.695984,-148.322609,1,,tp,James_2019,40.0,40.0,40,40,1,False,False,True
APEX5_3_ERT_electrode,ERT electrode,2018-08-19,64.695998,-148.322619,1,,tp,James_2019,51.0,51.0,51,51,1,False,False,True
APEX5_3_ERT_electrode,ERT electrode,2018-08-19,64.696012,-148.322621,1,,tp,James_2019,48.0,48.0,48,48,1,False,False,True
APEX5_3_ERT_electrode,ERT electrode,2018-08-19,64.696024,-148.322623,1,,tp,James_2019,47.0,47.0,47,47,1,False,False,True
APEX5_3_ERT_electrode,ERT electrode,2018-08-19,64.696038,-148.322631,1,,tp,James_2019,37.0,37.0,37,37,1,False,False,True
APEX5_3_ERT_electrode,ERT electrode,2018-08-19,64.696064,-148.322639,1,,tp,James_2019,39.0,39.0,39,39,1,False,False,True
APEX5_3_ERT_electrode,ERT electrode,2018-08-19,64.696091,-148.322644,1,,tp,James_2019,43.0,43.0,43,43,1,False,False,True
APEX5_3_ERT_electrode,ERT electrode,2018-08-19,64.69612,-148.322646,1,,tp,James_2019,47.0,47.0,47,47,1,False,False,True
APEX5_3_ERT_electrode,ERT electrode,2018-08-19,64.696146,-148.32265,1,,tp,James_2019,43.0,43.0,43,43,1,False,False,True
APEX5_3_ERT_electrode,ERT electrode,2018-08-19,64.696172,-148.322657,1,,tp,James_2019,32.0,32.0,32,32,1,False,False,True
APEX5_3_ERT_electrode,ERT electrode,2018-08-19,64.6962,-148.322659,1,,tp,James_2019,38.0,38.0,38,38,1,False,False,True
APEX5_3_ERT_electrode,ERT electrode,2018-08-19,64.696224,-148.322678,1,,tp,James_2019,41.0,41.0,41,41,1,False,False,True
APEX5_3_ERT_electrode,ERT electrode,2018-08-19,64.696251,-148.322677,1,,tp,James_2019,39.0,39.0,39,39,1,False,False,True
APEX5_3_ERT_electrode,ERT electrode,2018-08-19,64.69628,-148.322696,1,,tp,James_2019,44.0,44.0,44,44,1,False,False,True
APEX5_3_ERT_electrode,ERT electrode,2018-08-19,64.696308,-148.32269,1,,tp,James_2019,40.0,40.0,40,40,1,False,False,True
APEX5_7_ERT_electrode,ERT electrode,2018-08-20,64.695767,-148.323152,1,,tp,James_2019,119.0,119.0,119,119,1,False,False,True
APEX5_7_ERT_electrode,ERT electrode,2018-08-20,64.695769,-148.323122,1,,tp,James_2019,71.0,71.0,71,71,1,False,False,True
APEX5_7_ERT_electrode,ERT electrode,2018-08-20,64.695769,-148.323089,1,,tp,James_2019,60.0,60.0,60,60,1,False,False,True
APEX5_7_ERT_electrode,ERT electrode,2018-08-20,64.69577,-148.323057,1,,tp,James_2019,68.0,68.0,68,68,1,False,False,True
APEX5_7_ERT_electrode,ERT electrode,2018-08-20,64.695773,-148.323027,1,,tp,James_2019,64.0,64.0,64,64,1,False,False,True
APEX5_7_ERT_electrode,ERT electrode,2018-08-20,64.695775,-148.322997,1,,tp,James_2019,51.0,51.0,51,51,1,False,False,True
