site_id,lon,lat,thaw_depth,date,pf_depth,obs_limit,pf_observed,source,method
19BTLE,-147.819547,64.920197,200.0,2019-09-03,,200.0,0,James_2020,tp
19BTLE,-147.818963,64.920563,200.0,2019-09-03,,200.0,0,James_2020,tp
19BTLE,-147.818781,64.920688,89.0,2019-09-03,89.0,,1,James_2020,tp
19BTLE,-147.818692,64.920743,75.0,2019-09-03,75.0,,1,James_2020,tp
19BTLE,-147.818531,64.920848,80.0,2019-09-03,80.0,,1,James_2020,tp
19BTLE,-147.818385,64.920937,82.0,2019-09-03,82.0,,1,James_2020,tp
19BTLE,-147.818242,64.921029,85.0,2019-09-03,85.0,,1,James_2020,tp
19BTLE,-147.818168,64.921071,135.0,2019-09-03,135.0,,0,James_2020,tp
19BTLE,-147.818143,64.921087,200.0,2019-09-03,,200.0,0,James_2020,tp
19BTLE,-147.817958,64.921186,200.0,2019-09-03,,200.0,0,James_2020,tp
19BTLE,-147.817853,64.921242,165.0,2019-09-03,165.0,,0,James_2020,tp
19BTLE,-147.817829,64.921259,115.0,2019-09-03,115.0,,1,James_2020,tp
19BTLE,-147.81775,64.921301,105.0,2019-09-03,105.0,,1,James_2020,tp
19BTLE,-147.817698,64.921327,70.0,2019-09-03,70.0,,1,James_2020,tp
19BTLE,-147.817673,64.921342,55.0,2019-09-03,55.0,,1,James_2020,tp
19BTLE,-147.817537,64.921414,76.0,2019-09-03,76.0,,1,James_2020,tp
19BTLS,-147.820504,64.918979,200.0,2019-09-05,,200.0,0,James_2020,tp
19BTLS,-147.820483,64.918965,200.0,2019-09-05,,200.0,0,James_2020,tp
19BTLS,-147.820458,64.918952,200.0,2019-09-05,,200.0,0,James_2020,tp
19BTLS,-147.820157,64.91878,200.0,2019-09-05,,200.0,0,James_2020,tp
19BTLS,-147.820129,64.918767,200.0,2019-09-05,,200.0,0,James_2020,tp
19BTLS,-147.820104,64.918753,200.0,2019-09-05,,200.0,0,James_2020,tp
19BTLS,-147.820077,64.918739,120.0,2019-09-05,120.0,,1,James_2020,tp
19BTLS,-147.820038,64.918712,116.0,2019-09-05,116.0,,1,James_2020,tp
19BTLS,-147.819987,64.918682,130.0,2019-09-05,130.0,,1,James_2020,tp
19BTLS,-147.819933,64.918655,110.0,2019-09-05,110.0,,1,James_2020,tp
19BTLS,-147.81988,64.918627,115.0,2019-09-05,115.0,,1,James_2020,tp
19BTLS,-147.819834,64.918597,87.0,2019-09-05,87.0,,1,James_2020,tp
19BTLS,-147.819776,64.918571,65.0,2019-09-05,65.0,,1,James_2020,tp
19BTLS,-147.819729,64.918542,70.0,2019-09-05,70.0,,1,James_2020,tp
19BTLS,-147.819672,64.918516,67.0,2019-09-05,67.0,,1,James_2020,tp
19BTLS,-147.819621,64.918488,76.0,2019-09-05,76.0,,1,James_2020,tp
19BTLS,-147.819566,64.91846,67.0,2019-09-05,67.0,,1,James_2020,tp
19BTLS,-147.819513,64.918431,76.0,2019-09-05,76.0,,1,James_2020,tp
19BTLS,-147.819456,64.918405,65.0,2019-09-05,65.0,,1,James_2020,tp
19BTLS,-147.819402,64.91838,75.0,2019-09-05,75.0,,1,James_2020,tp
19BTLS,-147.819343,64.918351,87.0,2019-09-05,87.0,,1,James_2020,tp
19BTLS,-147.819287,64.918326,85.0,2019-09-05,85.0,,1,James_2020,tp
19BTLS,-147.819231,64.918298,95.0,2019-09-05,95.0,,1,James_2020,tp
19BTLS,-147.819173,64.918273,79.0,2019-09-05,79.0,,1,James_2020,tp
19BTLS,-147.819114,64.918247,94.0,2019-09-05,94.0,,1,James_2020,tp
19BTLS,-147.819049,64.918224,74.0,2019-09-05,74.0,,1,James_2020,tp
19BTLS,-147.818989,64.918202,87.0,2019-09-05,87.0,,1,James_2020,tp
19BTLS,-147.818926,64.918178,64.0,2019-09-05,64.0,,1,James_2020,tp
19BTLS,-147.818866,64.918157,125.0,2019-09-05,125.0,,1,James_2020,tp
19BTLS,-147.818803,64.918128,127.0,2019-09-05,127.0,,1,James_2020,tp
19BTLS,-147.818742,64.918105,162.0,2019-09-05,162.0,,0,James_2020,tp
19BTLS,-147.81868,64.918082,146.0,2019-09-05,146.0,,0,James_2020,tp
19BTLS,-147.818618,64.918059,125.0,2019-09-05,125.0,,1,James_2020,tp
19BTLS,-147.818554,64.918038,93.0,2019-09-05,93.0,,1,James_2020,tp
19BTLS,-147.818489,64.918012,108.0,2019-09-05,108.0,,1,James_2020,tp
19BTLS,-147.81842,64.917988,102.0,2019-09-05,102.0,,1,James_2020,tp
19BTLS,-147.818358,64.917965,92.0,2019-09-05,92.0,,1,James_2020,tp
19BTLS,-147.818292,64.91794,103.0,2019-09-05,103.0,,1,James_2020,tp
19BTLS,-147.818231,64.917917,150.0,2019-09-05,150.0,,0,James_2020,tp
19BTLS,-147.818166,64.917894,158.0,2019-09-05,158.0,,0,James_2020,tp
19BTLN,-147.821654,64.920168,200.0,2019-09-04,,200.0,0,James_2020,tp
19BTLN,-147.821686,64.92018,200.0,2019-09-04,,200.0,0,James_2020,tp
19BTLN,-147.821698,64.920191,200.0,2019-09-04,,200.0,0,James_2020,tp
19BTLN,-147.821729,64.920202,65.0,2019-09-04,65.0,,1,James_2020,tp
19BTLN,-147.821749,64.920219,58.0,2019-09-04,58.0,,1,James_2020,tp
19BTLN,-147.821763,64.920238,65.0,2019-09-04,65.0,,1,James_2020,tp
19BTLN,-147.821809,64.920267,65.0,2019-09-04,65.0,,1,James_2020,tp
19BTLN,-147.821854,64.920299,57.0,2019-09-04,57.0,,1,James_2020,tp
19BTLN,-147.821896,64.920327,70.0,2019-09-04,70.0,,1,James_2020,tp
19BTLN,-147.821943,64.920358,63.0,2019-09-04,63.0,,1,James_2020,tp
19BTLN,-147.821992,64.920387,67.0,2019-09-04,67.0,,1,James_2020,tp
19BTLN,-147.822053,64.920416,55.0,2019-09-04,55.0,,1,James_2020,tp
19BTLN,-147.822105,64.920442,65.0,2019-09-04,65.0,,1,James_2020,tp
19BTLN,-147.822163,64.920467,75.0,2019-09-04,75.0,,1,James_2020,tp
19BTLN,-147.822221,64.920488,55.0,2019-09-04,55.0,,1,James_2020,tp
19BTLN,-147.822297,64.920514,63.0,2019-09-04,63.0,,1,James_2020,tp
19BTLN,-147.822365,64.920541,75.0,2019-09-04,75.0,,1,James_2020,tp
19BTLN,-147.822428,64.92056,75.0,2019-09-04,75.0,,1,James_2020,tp
19BTLN,-147.822489,64.92058,63.0,2019-09-04,63.0,,1,James_2020,tp
19BTLN,-147.822557,64.920603,65.0,2019-09-04,65.0,,1,James_2020,tp
19BTLN,-147.822623,64.920625,80.0,2019-09-04,80.0,,1,James_2020,tp
19BTLN,-147.822688,64.920648,75.0,2019-09-04,75.0,,1,James_2020,tp
19BTLN,-147.822754,64.920672,65.0,2019-09-04,65.0,,1,James_2020,tp
19BTLN,-147.822823,64.920692,85.0,2019-09-04,85.0,,1,James_2020,tp
19BTLN,-147.82289,64.920708,67.0,2019-09-04,67.0,,1,James_2020,tp
19BTLN,-147.822962,64.920728,72.0,2019-09-04,72.0,,1,James_2020,tp
19BTLN,-147.823041,64.920746,75.0,2019-09-04,75.0,,1,James_2020,tp
19BTLN,-147.823114,64.920765,120.0,2019-09-04,120.0,,1,James_2020,tp
19BTLN,-147.823187,64.920782,70.0,2019-09-04,70.0,,1,James_2020,tp
19BTLN,-147.823265,64.920796,130.0,2019-09-04,130.0,,1,James_2020,tp
19BTLN,-147.823305,64.920801,185.0,2019-09-04,185.0,,0,James_2020,tp
19BTLN,-147.823344,64.920808,200.0,2019-09-04,,200.0,0,James_2020,tp
19BTLN,-147.823426,64.92082,200.0,2019-09-04,,200.0,0,James_2020,tp
19BTLN,-147.823465,64.920825,200.0,2019-09-04,,200.0,0,James_2020,tp
19BTLN,-147.823504,64.920832,200.0,2019-09-04,,200.0,0,James_2020,tp
19BTLN,-147.823541,64.92084,165.0,2019-09-04,165.0,,0,James_2020,tp
19BTLN,-147.82358,64.920847,155.0,2019-09-04,155.0,,0,James_2020,tp
19BTLN,-147.823618,64.920855,200.0,2019-09-04,,200.0,0,James_2020,tp
19BTLN,-147.823658,64.920858,200.0,2019-09-04,,200.0,0,James_2020,tp
19BTLN,-147.823698,64.920865,200.0,2019-09-04,,200.0,0,James_2020,tp
19BTLN,-147.82378,64.920877,200.0,2019-09-04,,200.0,0,James_2020,tp
19BTLN,-147.823858,64.920889,130.0,2019-09-04,130.0,,1,James_2020,tp
19BTLN,-147.823936,64.920904,95.0,2019-09-04,95.0,,1,James_2020,tp
19BTLN,-147.824016,64.920915,135.0,2019-09-04,135.0,,0,James_2020,tp
19BTLN,-147.824097,64.920926,75.0,2019-09-04,75.0,,1,James_2020,tp
19BTLN,-147.824178,64.920938,95.0,2019-09-04,95.0,,1,James_2020,tp
19BTLN,-147.82426,64.920948,112.0,2019-09-04,112.0,,1,James_2020,tp
19BTLN,-147.82434,64.920956,80.0,2019-09-04,80.0,,1,James_2020,tp
19BTLN,-147.824423,64.920966,50.0,2019-09-04,50.0,,1,James_2020,tp
19BTLN,-147.824501,64.920976,65.0,2019-09-04,65.0,,1,James_2020,tp
19BTLEX,-147.81887,64.919711,85.0,2019-09-05,85.0,,1,James_2020,tp
19BTLEX,-147.818973,64.919784,100.0,2019-09-05,100.0,,1,James_2020,tp
19BTLEX,-147.819019,64.919836,98.0,2019-09-05,98.0,,1,James_2020,tp
19BTLEX,-147.819052,64.919869,120.0,2019-09-05,,120.0,0,James_2020,tp
19BTLEX,-147.819642,64.920337,120.0,2019-09-05,,120.0,0,James_2020,tp
19BTLEX,-147.81975,64.920417,120.0,2019-09-05,,120.0,0,James_2020,tp
19BTLEX,-147.819842,64.920494,95.0,2019-09-05,95.0,,1,James_2020,tp
19BTLEX,-147.819876,64.920526,106.0,2019-09-05,106.0,,1,James_2020,tp
19BTLEX,-147.819912,64.920558,81.0,2019-09-05,81.0,,1,James_2020,tp
19BTLEX,-147.819927,64.920571,81.0,2019-09-05,81.0,,1,James_2020,tp
BTLNMRE,-147.818797,64.92065,85.0,2019-09-06,85.0,,1,James_2020,tp
BTLNMRN,-147.821963,64.920173,85.0,2019-09-06,85.0,,1,James_2020,tp
19LTER,-148.297121,64.712813,200.0,2019-09-02,,200.0,0,James_2020,tp
19LTER,-148.29709,64.712764,200.0,2019-09-02,,200.0,0,James_2020,tp
19LTER,-148.297038,64.712715,200.0,2019-09-02,,200.0,0,James_2020,tp
19LTER,-148.296995,64.712667,200.0,2019-09-02,,200.0,0,James_2020,tp
19LTER,-148.296947,64.712617,87.0,2019-09-02,87.0,,1,James_2020,tp
19LTER,-148.296902,64.712567,200.0,2019-09-02,,200.0,0,James_2020,tp
19LTER,-148.296858,64.712515,200.0,2019-09-02,,200.0,0,James_2020,tp
19LTER,-148.296811,64.712466,93.0,2019-09-02,93.0,,1,James_2020,tp
19LTER,-148.29675,64.712418,200.0,2019-09-02,,200.0,0,James_2020,tp
19LTER,-148.296695,64.712371,68.0,2019-09-02,68.0,,1,James_2020,tp
19LTER,-148.296642,64.712322,200.0,2019-09-02,,200.0,0,James_2020,tp
19LTER,-148.296584,64.712274,200.0,2019-09-02,,200.0,0,James_2020,tp
19LTER,-148.296527,64.712226,200.0,2019-09-02,,200.0,0,James_2020,tp
19LTER,-148.296463,64.712181,200.0,2019-09-02,,200.0,0,James_2020,tp
19LTER,-148.296392,64.71214,68.0,2019-09-02,68.0,,1,James_2020,tp
19LTER,-148.29633,64.712092,74.0,2019-09-02,74.0,,1,James_2020,tp
19LTER,-148.296267,64.712045,71.0,2019-09-02,71.0,,1,James_2020,tp
19LTER,-148.296221,64.71199,83.0,2019-09-02,83.0,,1,James_2020,tp
19LTER,-148.296167,64.711945,57.0,2019-09-02,57.0,,1,James_2020,tp
19LTER,-148.29613,64.711895,53.0,2019-09-02,53.0,,1,James_2020,tp
19LTER,-148.296087,64.711838,68.0,2019-09-02,68.0,,1,James_2020,tp
19LTER,-148.296049,64.711807,57.0,2019-09-02,57.0,,1,James_2020,tp
