Distance (m),Latitude,Longitude
0,60.80540670,-161.86013930
1,60.80541505,-161.86013254
2,60.80542339,-161.86012578
3,60.80543174,-161.86011902
4,60.80544008,-161.86011226
5,60.80544843,-161.86010550
6,60.80545678,-161.86009875
7,60.80546512,-161.86009199
8,60.80547347,-161.86008523
9,60.80548181,-161.86007847
10,60.80549016,-161.86007171
11,60.80549851,-161.86006495
12,60.80550685,-161.86005819
13,60.80551520,-161.86005143
14,60.80552354,-161.86004467
15,60.80553189,-161.86003791
16,60.80554024,-161.86003116
17,60.80554858,-161.86002440
18,60.80555693,-161.86001764
19,60.80556527,-161.86001088
20,60.80557362,-161.86000412
21,60.80558197,-161.85999736
22,60.80559031,-161.85999060
23,60.80559866,-161.85998384
24,60.80560700,-161.85997708
25,60.80561535,-161.85997032
26,60.80562370,-161.85996356
27,60.80563204,-161.85995681
28,60.80564039,-161.85995005
29,60.80564873,-161.85994329
30,60.80565708,-161.85993653
31,60.80566542,-161.85992977
32,60.80567377,-161.85992301
33,60.80568212,-161.85991625
34,60.80569046,-161.85990949
35,60.80569881,-161.85990273
36,60.80570715,-161.85989597
37,60.80571550,-161.85988921
38,60.80572385,-161.85988245
39,60.80573219,-161.85987570
40,60.80574054,-161.85986894
41,60.80574888,-161.85986218
42,60.80575723,-161.85985542
43,60.80576558,-161.85984866
44,60.80577392,-161.85984190
45,60.80578227,-161.85983514
46,60.80579061,-161.85982838
47,60.80579896,-161.85982162
48,60.80580731,-161.85981486
49,60.80581565,-161.85980810
50,60.80582400,-161.85980134
51,60.80583234,-161.85979459
52,60.80584069,-161.85978783
53,60.80584904,-161.85978107
54,60.80585738,-161.85977431
55,60.80586573,-161.85976755
56,60.80587407,-161.85976079
57,60.80588242,-161.85975403
58,60.80589077,-161.85974727
59,60.80589911,-161.85974051
60,60.80590746,-161.85973375
61,60.80591580,-161.85972699
62,60.80592415,-161.85972023
63,60.80593250,-161.85971347
64,60.80594084,-161.85970672
65,60.80594919,-161.85969996
66,60.80595753,-161.85969320
67,60.80596588,-161.85968644
68,60.80597423,-161.85967968
69,60.80598257,-161.85967292
70,60.80599092,-161.85966616
71,60.80599926,-161.85965940
72,60.80600761,-161.85965264
73,60.80601596,-161.85964588
74,60.80602430,-161.85963912
75,60.80603265,-161.85963236
76,60.80604099,-161.85962560
77,60.80604934,-161.85961884
78,60.80605768,-161.85961209
79,60.80606603,-161.85960533
80,60.80607438,-161.85959857
81,60.80608272,-161.85959181
82,60.80609107,-161.85958505
83,60.80609941,-161.85957829
84,60.80610776,-161.85957153
85,60.80611611,-161.85956477
86,60.80612445,-161.85955801
87,60.80613280,-161.85955125
88,60.80614114,-161.85954449
89,60.80614949,-161.85953773
90,60.80615784,-161.85953097
91,60.80616618,-161.85952421
92,60.80617453,-161.85951746
93,60.80618287,-161.85951070
94,60.80619122,-161.85950394
95,60.80619957,-161.85949718
96,60.80620791,-161.85949042
97,60.80621626,-161.85948366
98,60.80622460,-161.85947690
99,60.80623295,-161.85947014
100,60.80624130,-161.85946338
