Point Id,Latitude (decimal),Longitude (decimal)
BASE,60.79655278,-161.82149722
GPS0001,60.79614167,-161.82394722
GPS0002,60.79613333,-161.82395556
GPS0003,60.796125,-161.82396389
GPS0004,60.79611667,-161.82397222
GPS0005,60.79611111,-161.82397778
GPS0006,60.79610278,-161.82398611
GPS0007,60.79609444,-161.82399444
GPS0008,60.79608611,-161.82400278
GPS0009,60.79607778,-161.82401111
GPS0010,60.79606944,-161.82401944
GPS0011,60.79606111,-161.82402778
GPS0012,60.79605278,-161.82403333
GPS0013,60.79604444,-161.82404167
GPS0014,60.79603611,-161.82405
GPS0015,60.79602778,-161.82405833
GPS0016,60.79601944,-161.82406667
GPS0017,60.79601111,-161.824075
GPS0018,60.79600278,-161.82408056
GPS0019,60.79599444,-161.82409167
GPS0020,60.79598889,-161.82409722
GPS0021,60.79598056,-161.82410556
GPS0022,60.79597222,-161.82411667
GPS0023,60.79596389,-161.82412222
GPS0024,60.79595556,-161.82412778
GPS0025,60.79594722,-161.82413611
GPS0026,60.79593889,-161.82414167
GPS0027,60.79593056,-161.82415278
GPS0028,60.79592222,-161.82415833
GPS0029,60.79591667,-161.82416944
GPS0030,60.79590833,-161.824175
GPS0031,60.7959,-161.82418333
GPS0032,60.79589167,-161.82419167
GPS0033,60.79588333,-161.8242
GPS0034,60.795875,-161.82420833
GPS0035,60.79586667,-161.82421389
GPS0036,60.79585833,-161.82422222
GPS0037,60.79585,-161.82423056
GPS0038,60.79584167,-161.82423889
GPS0039,60.79583611,-161.82424722
GPS0040,60.795825,-161.82425556
GPS0041,60.79581944,-161.82426389
GPS0042,60.79581111,-161.82427222
GPS0043,60.79580278,-161.82428056
GPS0044,60.79579444,-161.82428611
GPS0045,60.79578611,-161.82429444
GPS0046,60.79577778,-161.82430278
GPS0047,60.79576944,-161.82431111
GPS0048,60.79576111,-161.82431944
GPS0049,60.79575556,-161.82432778
GPS0050,60.79574722,-161.82433611
GPS0051,60.79573889,-161.82434444
GPS0052,60.79573056,-161.82435
GPS0053,60.79572222,-161.82435833
GPS0054,60.79571389,-161.82436667
GPS0055,60.79570556,-161.824375
GPS0056,60.79569722,-161.82438333
GPS0057,60.79569167,-161.82439444
GPS0058,60.79568333,-161.8244
GPS0059,60.795675,-161.82440833
GPS0060,60.79566667,-161.82441944
GPS0061,60.79565833,-161.824425
GPS0062,60.79565,-161.82443333
GPS0063,60.79564167,-161.82444167
GPS0064,60.79563333,-161.82445
GPS0065,60.795625,-161.82445556
GPS0066,60.79561667,-161.82446667
GPS0067,60.79560833,-161.82447222
GPS0068,60.7956,-161.82448056
GPS0069,60.79559444,-161.82448889
GPS0070,60.79558611,-161.82449722
GPS0071,60.79557778,-161.82450556
GPS0072,60.79556944,-161.82451389
GPS0073,60.79556111,-161.82452222
GPS0074,60.79555278,-161.82453056
GPS0075,60.79554444,-161.82453611
GPS0076,60.79553611,-161.82454444
GPS0077,60.79552778,-161.82455278
GPS0078,60.79551944,-161.82455833
GPS0079,60.79551389,-161.82456667
GPS0080,60.79550556,-161.824575
GPS0081,60.79549722,-161.82458333
GPS0082,60.79548889,-161.82459167
GPS0083,60.79548056,-161.8246
GPS0084,60.79547222,-161.82460556
GPS0085,60.79546389,-161.82461667
GPS0086,60.79545556,-161.82462222
GPS0087,60.79544722,-161.82463333
GPS0088,60.79543889,-161.82464167
GPS0089,60.79543056,-161.82465
GPS0090,60.795425,-161.82465556
GPS0091,60.79541667,-161.82466389
GPS0092,60.79540833,-161.82467222
GPS0093,60.7954,-161.82468056
GPS0094,60.79539167,-161.82468889
GPS0095,60.79538333,-161.82469722
GPS0096,60.795375,-161.82470278
GPS0097,60.79536667,-161.82471111
GPS0098,60.79535833,-161.82471944
GPS0099,60.79535,-161.82472778
GPS0100,60.79534444,-161.82473333
GPS0101,60.79533611,-161.82474167
