Point Id,Point Role,Source,Easting [m],Northing [m],Ortho. Height [m],CQ 3D [m],CQ 2D [m],CQ 1D [m],Geoid Separation [m],X [m],Y [m],Z [m],Latitude [°],Longitude [°],Ellip. Height [m],,,,,,,
BASE,Control,User-entered,346454.4167,6743428.041,13.4088,-,-,-,10.6083,-2964230.203,-973357.0181,5544338.027,"60° 47' 47.59"" N","161° 49' 17.39"" W",24.0171,,,,,,,
GPS0001,Fixed RTK,DOT WEDGES,346319.268,6743387.811,16.2028,0.011,0.0056,0.0094,10.6076,-2964311.243,-973243.3156,5544318.016,"60° 47' 46.11"" N","161° 49' 26.21"" W",26.8104,,,,,,,
GPS0002,Fixed RTK,DOT WEDGES,346318.7074,6743386.98,16.3043,0.0091,0.0046,0.0079,10.6076,-2964312.162,-973243.0655,5544317.688,"60° 47' 46.08"" N","161° 49' 26.24"" W",26.9119,,,,,,,
GPS0003,Fixed RTK,DOT WEDGES,346318.2329,6743386.085,16.4824,0.0091,0.0046,0.0078,10.6076,-2964313.139,-973242.9277,5544317.397,"60° 47' 46.05"" N","161° 49' 26.27"" W",27.09,,,,,,,
GPS0004,Fixed RTK,DOT WEDGES,346317.7702,6743385.266,16.4568,0.0091,0.0046,0.0079,10.6076,-2964313.956,-973242.7464,5544316.966,"60° 47' 46.02"" N","161° 49' 26.30"" W",27.0645,,,,,,,
GPS0005,Fixed RTK,DOT WEDGES,346317.3297,6743384.39,16.3414,0.0105,0.0053,0.0091,10.6076,-2964314.769,-973242.5899,5544316.429,"60° 47' 46.00"" N","161° 49' 26.32"" W",26.949,,,,,,,
GPS0006,Fixed RTK,DOT WEDGES,346316.8293,6743383.524,16.3607,0.0145,0.0074,0.0125,10.6076,-2964315.658,-973242.3945,5544316.013,"60° 47' 45.97"" N","161° 49' 26.35"" W",26.9683,,,,,,,
GPS0007,Fixed RTK,DOT WEDGES,346316.3789,6743382.682,16.4779,0.0087,0.0044,0.0075,10.6076,-2964316.555,-973242.2535,5544315.696,"60° 47' 45.94"" N","161° 49' 26.38"" W",27.0855,,,,,,,
GPS0008,Fixed RTK,DOT WEDGES,346315.8836,6743381.757,16.4539,0.0111,0.0057,0.0095,10.6076,-2964317.47,-973242.075,5544315.213,"60° 47' 45.91"" N","161° 49' 26.41"" W",27.0615,,,,,,,
GPS0009,Fixed RTK,DOT WEDGES,346315.403,6743380.894,16.4273,0.0095,0.0049,0.0082,10.6076,-2964318.328,-973241.8905,5544314.759,"60° 47' 45.88"" N","161° 49' 26.44"" W",27.035,,,,,,,
GPS0010,Fixed RTK,DOT WEDGES,346314.9468,6743379.972,16.4426,0.0103,0.0053,0.0088,10.6076,-2964319.246,-973241.7536,5544314.313,"60° 47' 45.85"" N","161° 49' 26.47"" W",27.0502,,,,,,,
GPS0011,Fixed RTK,DOT WEDGES,346314.4442,6743379.075,16.4215,0.0114,0.0058,0.0099,10.6076,-2964320.141,-973241.5597,5544313.847,"60° 47' 45.82"" N","161° 49' 26.50"" W",27.0291,,,,,,,
GPS0012,Fixed RTK,DOT WEDGES,346314.0575,6743378.172,16.5758,0.0135,0.0069,0.0116,10.6077,-2964321.083,-973241.5033,5544313.534,"60° 47' 45.79"" N","161° 49' 26.52"" W",27.1835,,,,,,,
GPS0013,Fixed RTK,DOT WEDGES,346313.5372,6743377.343,16.4598,0.0142,0.0076,0.012,10.6077,-2964321.886,-973241.2571,5544313.017,"60° 47' 45.76"" N","161° 49' 26.55"" W",27.0675,,,,,,,
