Distance (m),BET-7 Lat,BET-7 Lon,BET-7 Elevation (m asl),BET-7 Thaw Depth (m asl),BET-7 Thaw depth,BET-31 Lat,BET-31 Lon,BET-31 Elevation (m asl),BET-31 Thaw Depth (m asl),,BET-31 Thaw depth
0,60.79614167,-161.8239472,16.2028,15.6428,56,60.8054067,-161.8601393,30.83159637,29.89159637,,94
1,60.79613333,-161.8239556,16.3043,15.6443,66,60.80541505,-161.8601325,30.93605995,30.04605995,,89
2,60.796125,-161.8239639,16.4824,15.8924,59,60.80542339,-161.8601258,30.71945,29.54945,,117
3,60.79611667,-161.8239722,16.4568,15.7368,72,60.80543174,-161.860119,30.69992447,29.27992447,,142
4,60.79611111,-161.8239778,16.3414,15.6814,66,60.80544008,-161.8601123,30.6140728,29.1140728,,150
5,60.79610278,-161.8239861,16.3607,15.7207,64,60.80544843,-161.8601055,30.66807747,29.18807747,,148
6,60.79609444,-161.8239944,16.4779,15.8579,62,60.80545678,-161.8600988,30.68415642,29.36415642,,132
7,60.79608611,-161.8240028,16.4539,15.6839,77,60.80546512,-161.860092,30.66661835,29.57661835,,109
8,60.79607778,-161.8240111,16.4273,15.7673,66,60.80547347,-161.8600852,30.7845192,29.9545192,,83
9,60.79606944,-161.8240194,16.4426,15.8626,58,60.80548181,-161.8600785,30.93828201,30.21828201,,72
10,60.79606111,-161.8240278,16.4215,15.7515,67,60.80549016,-161.8600717,30.89826393,30.13826393,,76
11,60.79605278,-161.8240333,16.5758,15.8858,69,60.80549851,-161.860065,30.90435982,29.83435982,,107
12,60.79604444,-161.8240417,16.4598,15.7998,66,60.80550685,-161.8600582,30.85405731,30.05405731,,80
13,60.79603611,-161.82405,16.4616,15.8816,58,60.8055152,-161.8600514,30.77815819,29.36815819,,141
14,60.79602778,-161.8240583,16.5876,15.9576,63,60.80552354,-161.8600447,30.65742683,Greater than Probe Length,,
15,60.79601944,-161.8240667,16.5747,15.9147,66,60.80553189,-161.8600379,30.50462914,Greater than Probe Length,,
16,60.79601111,-161.824075,16.5306,15.8006,73,60.80554024,-161.8600312,30.42071915,Greater than Probe Length,,
17,60.79600278,-161.8240806,16.6314,15.9114,72,60.80554858,-161.8600244,30.42527962,Greater than Probe Length,,
18,60.79599444,-161.8240917,16.6419,16.0019,64,60.80555693,-161.8600176,30.49972343,27.73972343,,276
19,60.79598889,-161.8240972,16.7098,15.9498,76,60.80556527,-161.8600109,30.46478462,Greater than Probe Length,,
20,60.79598056,-161.8241056,16.7498,15.9698,78,60.80557362,-161.8600041,30.46378517,Greater than Probe Length,,
21,60.79597222,-161.8241167,16.8386,16.2186,62,60.80558197,-161.8599974,30.45088577,Greater than Probe Length,,
22,60.79596389,-161.8241222,16.7719,16.1419,63,60.80559031,-161.8599906,30.55998421,28.69998421,,186
23,60.79595556,-161.8241278,16.7943,16.2043,59,60.80559866,-161.8599838,30.71393204,29.37393204,,134
24,60.79594722,-161.8241361,16.7474,16.1674,58,60.805607,-161.8599771,30.92057228,29.75057228,,117
25,60.79593889,-161.8241417,16.9958,16.3458,65,60.80561535,-161.8599703,30.92291069,29.91291069,,101
26,60.79593056,-161.8241528,16.9451,16.3451,60,60.8056237,-161.8599636,30.90829659,29.85829659,,105
27,60.79592222,-161.8241583,16.8482,16.2782,57,60.80563204,-161.8599568,30.95119667,29.92119667,,103
28,60.79591667,-161.8241694,16.7841,16.3041,48,60.80564039,-161.8599501,30.82925415,30.08925415,,74
29,60.79590833,-161.824175,16.7765,16.2465,53,60.80564873,-161.8599433,30.813797,30.143797,,67
30,60.7959,-161.8241833,16.8948,16.3748,52,60.80565708,-161.8599365,30.86243629,30.19243629,,67
31,60.79589167,-161.8241917,16.878,16.388,49,60.80566542,-161.8599298,30.69733429,29.67733429,,102
