site_id,date,lat,lon,thaw_depth,pf_observed,pf_depth,method,obs_limit,source
BET_7_0,10/3/2024,60.79614167,-161.8239472,56.0,1,56.0,tp,150.0,Jones_2025
BET_31_0,10/1/2024,60.8054067,-161.8601393,94.0,1,94.0,tp,150.0,Jones_2025
BET_7_1,10/3/2024,60.79613333,-161.8239556,66.0,1,66.0,tp,150.0,Jones_2025
BET_31_1,10/1/2024,60.80541505,-161.8601325,89.0,1,89.0,tp,150.0,Jones_2025
BET_7_2,10/3/2024,60.796125,-161.8239639,59.0,1,59.0,tp,150.0,Jones_2025
BET_31_2,10/1/2024,60.80542339,-161.8601258,117.0,1,117.0,tp,150.0,Jones_2025
BET_7_3,10/3/2024,60.79611667,-161.8239722,72.0,1,72.0,tp,150.0,Jones_2025
BET_31_3,10/1/2024,60.80543174,-161.860119,142.0,1,142.0,tp,150.0,Jones_2025
BET_7_4,10/3/2024,60.79611111,-161.8239778,66.0,1,66.0,tp,150.0,Jones_2025
BET_31_4,10/1/2024,60.80544008,-161.8601123,150.0,1,150.0,tp,150.0,Jones_2025
BET_7_5,10/3/2024,60.79610278,-161.8239861,64.0,1,64.0,tp,150.0,Jones_2025
BET_31_5,10/1/2024,60.80544843,-161.8601055,148.0,1,148.0,tp,150.0,Jones_2025
BET_7_6,10/3/2024,60.79609444,-161.8239944,62.0,1,62.0,tp,150.0,Jones_2025
BET_31_6,10/1/2024,60.80545678,-161.8600988,132.0,1,132.0,tp,150.0,Jones_2025
BET_7_7,10/3/2024,60.79608611,-161.8240028,77.0,1,77.0,tp,150.0,Jones_2025
BET_31_7,10/1/2024,60.80546512,-161.860092,109.0,1,109.0,tp,150.0,Jones_2025
BET_7_8,10/3/2024,60.79607778,-161.8240111,66.0,1,66.0,tp,150.0,Jones_2025
BET_31_8,10/1/2024,60.80547347,-161.8600852,83.0,1,83.0,tp,150.0,Jones_2025
BET_7_9,10/3/2024,60.79606944,-161.8240194,58.0,1,58.0,tp,150.0,Jones_2025
BET_31_9,10/1/2024,60.80548181,-161.8600785,72.0,1,72.0,tp,150.0,Jones_2025
BET_7_10,10/3/2024,60.79606111,-161.8240278,67.0,1,67.0,tp,150.0,Jones_2025
BET_31_10,10/1/2024,60.80549016,-161.8600717,76.0,1,76.0,tp,150.0,Jones_2025
BET_7_11,10/3/2024,60.79605278,-161.8240333,69.0,1,69.0,tp,150.0,Jones_2025
BET_31_11,10/1/2024,60.80549851,-161.860065,107.0,1,107.0,tp,150.0,Jones_2025
BET_7_12,10/3/2024,60.79604444,-161.8240417,66.0,1,66.0,tp,150.0,Jones_2025
BET_31_12,10/1/2024,60.80550685,-161.8600582,80.0,1,80.0,tp,150.0,Jones_2025
BET_7_13,10/3/2024,60.79603611,-161.82405,58.0,1,58.0,tp,150.0,Jones_2025
BET_31_13,10/1/2024,60.8055152,-161.8600514,141.0,1,141.0,tp,150.0,Jones_2025
BET_7_14,10/3/2024,60.79602778,-161.8240583,63.0,1,63.0,tp,150.0,Jones_2025
BET_31_14,10/1/2024,60.80552354,-161.8600447,,0,,tp,150.0,Jones_2025
BET_7_15,10/3/2024,60.79601944,-161.8240667,66.0,1,66.0,tp,150.0,Jones_2025
BET_31_15,10/1/2024,60.80553189,-161.8600379,,0,,tp,150.0,Jones_2025
BET_7_16,10/3/2024,60.79601111,-161.824075,73.0,1,73.0,tp,150.0,Jones_2025
BET_31_16,10/1/2024,60.80554024,-161.8600312,,0,,tp,150.0,Jones_2025
BET_7_17,10/3/2024,60.79600278,-161.8240806,72.0,1,72.0,tp,150.0,Jones_2025
BET_31_17,10/1/2024,60.80554858,-161.8600244,,0,,tp,150.0,Jones_2025
BET_7_18,10/3/2024,60.79599444,-161.8240917,64.0,1,64.0,tp,150.0,Jones_2025
BET_31_18,10/1/2024,60.80555693,-161.8600176,276.0,1,276.0,aug,,Jones_2025
BET_7_19,10/3/2024,60.79598889,-161.8240972,76.0,1,76.0,tp,150.0,Jones_2025
BET_31_19,10/1/2024,60.80556527,-161.8600109,,0,,tp,150.0,Jones_2025
BET_7_20,10/3/2024,60.79598056,-161.8241056,78.0,1,78.0,tp,150.0,Jones_2025
BET_31_20,10/1/2024,60.80557362,-161.8600041,,0,,tp,150.0,Jones_2025
BET_7_21,10/3/2024,60.79597222,-161.8241167,62.0,1,62.0,tp,150.0,Jones_2025
BET_31_21,10/1/2024,60.80558197,-161.8599974,,0,,tp,150.0,Jones_2025
BET_7_22,10/3/2024,60.79596389,-161.8241222,63.0,1,63.0,tp,150.0,Jones_2025
BET_31_22,10/1/2024,60.80559031,-161.8599906,186.0,1,186.0,aug,,Jones_2025
BET_7_23,10/3/2024,60.79595556,-161.8241278,59.0,1,59.0,tp,150.0,Jones_2025
BET_31_23,10/1/2024,60.80559866,-161.8599838,134.0,1,134.0,tp,150.0,Jones_2025
BET_7_24,10/3/2024,60.79594722,-161.8241361,58.0,1,58.0,tp,150.0,Jones_2025
BET_31_24,10/1/2024,60.805607,-161.8599771,117.0,1,117.0,tp,150.0,Jones_2025
BET_7_25,10/3/2024,60.79593889,-161.8241417,65.0,1,65.0,tp,150.0,Jones_2025
BET_31_25,10/1/2024,60.80561535,-161.8599703,101.0,1,101.0,tp,150.0,Jones_2025
BET_7_26,10/3/2024,60.79593056,-161.8241528,60.0,1,60.0,tp,150.0,Jones_2025
BET_31_26,10/1/2024,60.8056237,-161.8599636,105.0,1,105.0,tp,150.0,Jones_2025
BET_7_27,10/3/2024,60.79592222,-161.8241583,57.0,1,57.0,tp,150.0,Jones_2025
BET_31_27,10/1/2024,60.80563204,-161.8599568,103.0,1,103.0,tp,150.0,Jones_2025
BET_7_28,10/3/2024,60.79591667,-161.8241694,48.0,1,48.0,tp,150.0,Jones_2025
BET_31_28,10/1/2024,60.80564039,-161.8599501,74.0,1,74.0,tp,150.0,Jones_2025
BET_7_29,10/3/2024,60.79590833,-161.824175,53.0,1,53.0,tp,150.0,Jones_2025
