GridID,Lat_Decimal_Degrees,Long_Decimal_Degrees,Northing_m,Easting_m,ThawDepth1_cm,ThawDepth2_cm,ThawDepth3_cm,Mean_ThawDepth_cm,Soil_Temperature_degCelsius_12cm,Volumetric_Water_Content_Upper12cm_Percent,WaterLevel_cm,Maximum_Vegetation_ Height_cm,Snow_Depth_May_2024_cm,NDVI_July2024,MTI_2024
0,70.72370863,-153.8374145,7846795.352,469146.6848,43,42,43,43,8.3,100,14,23,58,0.84,-0.56
1,70.72370988,-153.8371431,7846795.353,469156.6848,12,16,18,15,1.7,49.7,-9999,24,59,0.78,-0.37
2,70.72371112,-153.8368717,7846795.354,469166.6848,16,13,17,15,0.4,53.7,-9999,26,34,0.58,-0.35
3,70.72371237,-153.8366004,7846795.354,469176.6848,22,23,21,22,2.4,60.9,-9999,25,30,0.73,-0.38
4,70.72371361,-153.836329,7846795.355,469186.6848,18,17,20,18,1.8,58.6,-9999,33,44,0.81,-0.42
5,70.72371485,-153.8360576,7846795.356,469196.6848,22,20,23,22,3.1,79.1,-9999,25,35,0.75,-0.57
6,70.7237161,-153.8357862,7846795.357,469206.6848,15,17,20,17,0.8,59.4,-9999,34,46,0.66,-0.48
7,70.72371734,-153.8355148,7846795.358,469216.6848,25,27,28,27,3.4,65.4,-9999,23,38,0.65,-0.43
8,70.72371858,-153.8352435,7846795.359,469226.6848,25,24,25,25,3.2,51.8,-9999,23,25,0.7,-0.31
9,70.72371982,-153.8349721,7846795.36,469236.6848,28,28,27,28,4.1,71.6,-9999,26,37,0.32,-0.44
10,70.72372106,-153.8347009,7846795.361,469246.6756,28,28,26,27,4.3,64.5,-9999,31,52,0.74,-0.4
11,70.72363158,-153.834697,7846785.379,469246.6848,17,18,20,18,2.6,44.3,-9999,24,27,0.84,-0.35
12,70.72363032,-153.8349683,7846785.377,469236.6848,19,16,13,16,1.6,56.4,-9999,18,55,0.74,-0.43
13,70.72362906,-153.8352397,7846785.374,469226.6848,27,27,27,27,2.9,54.2,-9999,20,58,0.55,-0.38
14,70.7236278,-153.8355111,7846785.371,469216.6848,22,23,24,23,2.3,53.5,-9999,23,28,0.75,-0.42
15,70.72362654,-153.8357825,7846785.368,469206.6848,21,21,21,21,3.7,51.2,-9999,16,29,0.6,-0.39
16,70.72362528,-153.8360539,7846785.366,469196.6848,30,30,26,29,3.6,70.1,-9999,32,42,0.58,-0.61
17,70.72362402,-153.8363252,7846785.363,469186.6848,21,22,28,24,3.5,56.1,-9999,26,44,0.77,-0.45
18,70.72362276,-153.8365966,7846785.36,469176.6848,24,25,26,25,3.5,60.1,-9999,34,42,0.76,-0.43
19,70.7236215,-153.836868,7846785.357,469166.6848,18,17,17,17,1,56,-9999,23,24,0.39,-0.23
20,70.72362024,-153.8371394,7846785.354,469156.6848,15,15,14,15,2.5,65.1,-9999,20,52,0.68,-0.47
21,70.72361898,-153.8374108,7846785.352,469146.6848,37,40,40,39,6.5,100,12,30,49,0.69,-0.49
22,70.72352932,-153.837407,7846775.352,469146.6848,29,30,33,31,8.2,100,4,22,37,0.6,-0.53
23,70.72353058,-153.8371356,7846775.354,469156.6848,33,33,33,33,4.6,59.6,-9999,22,44,0.64,-0.53
24,70.72353184,-153.8368643,7846775.357,469166.6848,24,24,18,22,2.5,56.1,-9999,23,37,0.77,-0.38
25,70.72353311,-153.8365929,7846775.36,469176.6848,22,22,24,23,4,50.4,-9999,13,29,0.66,-0.37
26,70.72353437,-153.8363215,7846775.363,469186.6848,20,22,20,21,2,40.7,-9999,19,43,0.56,-0.45
27,70.72353563,-153.8360501,7846775.366,469196.6848,24,25,26,25,3.9,44.4,-9999,18,16,0.78,-0.36
28,70.72353689,-153.8357787,7846775.368,469206.6848,18,20,20,19,1.3,53.3,-9999,22,14,0.83,-0.37
29,70.72353814,-153.8355074,7846775.371,469216.6848,29,29,30,29,5.8,50.1,-9999,24,15,0.61,-0.39
30,70.7235394,-153.835236,7846775.374,469226.6848,19,17,20,19,2.3,56.2,-9999,31,45,0.64,-0.37
31,70.72354066,-153.8349646,7846775.377,469236.6848,23,23,25,24,2.2,53.8,-9999,30,41,0.72,-0.6
32,70.72354192,-153.8346932,7846775.379,469246.6848,27,27,25,26,4.7,50.9,-9999,22,51,0.81,-0.45
33,70.72345226,-153.8346895,7846765.379,469246.6848,24,27,28,26,7,46.6,-9999,9,8,0.71,-0.35
34,70.72345101,-153.8349609,7846765.377,469236.6848,20,20,19,20,1,59.4,-9999,27,45,0.75,-0.5
