GridID,Lat_Decimal_Degrees,Long_Decimal_Degrees,Northing_m,Easting_m,ThawDepth1_cm,ThawDepth2_cm,ThawDepth3_cm,Mean_ThawDepth_cm,Soil_Temperature_degCelsius_12cm,Volumetric_Water_Content_Upper12cm_Percent,WaterLevel_cm,Maximum_Vegetation_ Height_cm
0,70.73440062,-153.8559844,7847997.231,468479.36,22,21,24,22,4.3,56.2,-9999,12
1,70.73441033,-153.8557152,7847998.174,468489.286,24,24,25,24,4.3,76.9,4,35
2,70.73442017,-153.8554509,7847999.134,468499.034,32,30,30,31,7.5,100,15,51
3,70.73443012,-153.8551832,7848000.105,468508.909,19,20,21,20,3.3,71.9,-9999,29
4,70.73443876,-153.8549112,7848000.928,468518.937,28,27,26,27,5.8,76.4,4,27
5,70.7344486,-153.8546404,7848001.884,468528.924,18,17,20,18,3.1,70.9,-9999,29
6,70.73445788,-153.8543695,7848002.779,468538.912,26,25,25,25,4.8,100,15,40
7,70.73446656,-153.8540975,7848003.606,468548.943,26,27,27,27,4.4,100,6,29
8,70.73447602,-153.8538292,7848004.522,468558.836,26,26,27,26,5.2,100,7,31
9,70.73448484,-153.8535573,7848005.364,468568.86,24,26,26,25,3.6,80.6,-9999,20
10,70.73449241,-153.8532851,7848006.068,468578.895,27,29,27,28,5.8,100,11,42
11,70.73440322,-153.8532584,7847996.108,468579.741,15,18,15,16,0.9,57.9,-9999,13
12,70.73439436,-153.8535278,7847995.259,468569.805,24,24,23,24,4.8,100,10,33
13,70.73438545,-153.8538002,7847994.407,468559.762,19,18,19,19,1.9,86.5,-9999,31
14,70.73437698,-153.8540687,7847993.601,468549.862,26,25,28,26,5.4,100,12,35
15,70.73436863,-153.8543385,7847992.81,468539.915,18,18,20,19,2.7,100,-9999,35
16,70.73436011,-153.854609,7847992,468529.94,19,18,18,18,1.2,63.7,-9999,22
17,70.73435008,-153.8548806,7847991.022,468519.924,30,32,29,30,5.4,100,6,29
18,70.7343399,-153.8551479,7847990.026,468510.067,20,21,17,19,2.6,56.7,-9999,25
19,70.73433021,-153.8554179,7847989.085,468500.108,16,16,18,17,1.8,60.4,-9999,18
