GridID,Lat_Decimal_Degrees,Long_Decimal_Degrees,Northing_m,Easting_m,ThawDepth1_cm,ThawDepth2_cm,ThawDepth3_cm,Mean_ThawDepth_cm,Soil_Temperature_degCelsius_12cm,Volumetric_Water_Content_Upper12cm_Percent,WaterLevel_cm,Maximum_Vegetation_ Height_cm,Snow_Depth_May_2024_cm,NDVI_July2024,MTI_2024
0,70.73440062,-153.8559844,7847997.231,468479.36,21,21,21,21,5.1,57.7,-9999,10,-9999,0.63,-0.28
1,70.73441033,-153.8557152,7847998.174,468489.286,23,23,25,24,4.1,75.2,-9999,30,-9999,0.74,-0.25
2,70.73442017,-153.8554509,7847999.134,468499.034,29,29,29,29,6.3,100,13,43,-9999,0.61,-0.28
3,70.73443012,-153.8551832,7848000.105,468508.909,21,21,21,21,4.3,78.3,-9999,18,-9999,0.65,-0.33
4,70.73443876,-153.8549112,7848000.928,468518.937,25,25,25,25,5.4,100,6,25,-9999,0.6,-0.34
5,70.7344486,-153.8546404,7848001.884,468528.924,22,22,22,22,3.1,76.4,-9999,26,-9999,0.68,-0.23
6,70.73445788,-153.8543695,7848002.779,468538.912,25,26,27,26,5.7,100,14,36,-9999,0.67,-0.31
7,70.73446656,-153.8540975,7848003.606,468548.943,26,26,26,26,5.6,100,6,24,-9999,0.54,-0.24
8,70.73447602,-153.8538292,7848004.522,468558.836,25,25,25,25,6.2,100,5,30,-9999,0.28,-0.3
9,70.73448484,-153.8535573,7848005.364,468568.86,25,25,26,25,4.6,83.9,-9999,28,-9999,0.57,-0.31
10,70.73449241,-153.8532851,7848006.068,468578.895,25,25,25,25,5.5,100,14,37,-9999,0.64,-0.29
11,70.73440322,-153.8532584,7847996.108,468579.741,19,19,20,19,1.9,57.3,-9999,18,-9999,0.67,-0.12
12,70.73439436,-153.8535278,7847995.259,468569.805,24,25,24,24,4.9,100,6,29,-9999,0.62,-0.24
13,70.73438545,-153.8538002,7847994.407,468559.762,19,19,19,19,3.2,83.6,-9999,23,-9999,0.68,-0.21
14,70.73437698,-153.8540687,7847993.601,468549.862,24,24,23,24,3.9,100,9,37,-9999,0.7,-0.17
15,70.73436863,-153.8543385,7847992.81,468539.915,24,25,26,25,4.6,95.1,-9999,36,-9999,0.65,-0.17
16,70.73436011,-153.854609,7847992,468529.94,31,31,31,31,3.6,75.9,-9999,22,-9999,0.69,-0.18
17,70.73435008,-153.8548806,7847991.022,468519.924,30,30,30,30,5.5,100,5,20,27,0.58,-0.34
18,70.7343399,-153.8551479,7847990.026,468510.067,18,18,19,18,3.2,52.7,-9999,19,51,0.67,-0.23
19,70.73433021,-153.8554179,7847989.085,468500.108,18,18,19,18,3.2,62.2,-9999,20,49,0.63,-0.21
20,70.73432031,-153.8556884,7847988.122,468490.134,16,16,16,16,1.7,65.3,-9999,2,36,0.71,-0.12
21,70.73431144,-153.8559566,7847987.272,468480.243,19,19,20,19,2.3,64.6,-9999,19,32,0.64,-0.3
22,70.73422413,-153.8559302,7847977.521,468481.078,16,16,18,17,2.1,61.3,-9999,27,26,0.78,-0.17
23,70.73423408,-153.8556627,7847978.492,468490.944,21,21,21,21,3.4,64.6,-9999,20,34,0.72,-0.17
24,70.73424361,-153.8553916,7847979.414,468500.94,27,27,27,27,5.7,100,7,28,38,0.71,-0.06
25,70.73425277,-153.8551214,7847980.295,468510.904,30,30,30,30,6.3,100,10,29,41,0.61,-0.18
26,70.73426178,-153.8548515,7847981.16,468520.858,22,22,22,22,3,76.3,-9999,23,24,0.72,-0.22
27,70.7342711,-153.8545817,7847982.06,468530.808,19,19,19,19,2,57.3,-9999,19,54,0.73,-0.07
28,70.73428061,-153.8543118,7847982.98,468540.758,14,14,14,14,1.8,100,11,32,55,0.61,-0.23
29,70.73428905,-153.8540428,7847983.782,468550.676,22,22,22,22,4.5,66.2,-9999,14,56,0.6,-0.32
30,70.7342978,-153.8537701,7847984.616,468560.734,22,22,24,23,2.1,58.9,-9999,29,34,0.64,-0.33
31,70.73430693,-153.8535025,7847985.496,468570.601,19,19,19,19,3.9,100,11,44,15,0.6,-0.24
32,70.73431533,-153.8532295,7847986.292,468580.668,21,21,21,21,4.1,100,14,50,48,0.65,-0.26
