site_id,date,lat,lon,thaw_depth,pf_observed,pf_depth,method,obs_limit,source
LCP_2023_0.0,07/13/2023,70.73440062,-153.8559844,22.0,1,,tp,100,Jones_Jones_2025
LCP_2023_1.0,07/13/2023,70.73441033,-153.8557152,24.0,1,,tp,100,Jones_Jones_2025
LCP_2023_2.0,07/13/2023,70.73442017,-153.8554509,31.0,1,,tp,100,Jones_Jones_2025
LCP_2023_3.0,07/13/2023,70.73443012,-153.8551832,20.0,1,,tp,100,Jones_Jones_2025
LCP_2023_4.0,07/13/2023,70.73443876,-153.8549112,27.0,1,,tp,100,Jones_Jones_2025
LCP_2023_5.0,07/13/2023,70.7344486,-153.8546404,18.0,1,,tp,100,Jones_Jones_2025
LCP_2023_6.0,07/13/2023,70.73445788,-153.8543695,25.0,1,,tp,100,Jones_Jones_2025
LCP_2023_7.0,07/13/2023,70.73446656,-153.8540975,27.0,1,,tp,100,Jones_Jones_2025
LCP_2023_8.0,07/13/2023,70.73447602,-153.8538292,26.0,1,,tp,100,Jones_Jones_2025
LCP_2023_9.0,07/13/2023,70.73448484,-153.8535573,25.0,1,,tp,100,Jones_Jones_2025
LCP_2023_10.0,07/13/2023,70.73449241,-153.8532851,28.0,1,,tp,100,Jones_Jones_2025
LCP_2023_11.0,07/13/2023,70.73440322,-153.8532584,16.0,1,,tp,100,Jones_Jones_2025
LCP_2023_12.0,07/13/2023,70.73439436,-153.8535278,24.0,1,,tp,100,Jones_Jones_2025
LCP_2023_13.0,07/13/2023,70.73438545,-153.8538002,19.0,1,,tp,100,Jones_Jones_2025
LCP_2023_14.0,07/13/2023,70.73437698,-153.8540687,26.0,1,,tp,100,Jones_Jones_2025
LCP_2023_15.0,07/13/2023,70.73436863,-153.8543385,19.0,1,,tp,100,Jones_Jones_2025
LCP_2023_16.0,07/13/2023,70.73436011,-153.854609,18.0,1,,tp,100,Jones_Jones_2025
LCP_2023_17.0,07/13/2023,70.73435008,-153.8548806,30.0,1,,tp,100,Jones_Jones_2025
LCP_2023_18.0,07/13/2023,70.7343399,-153.8551479,19.0,1,,tp,100,Jones_Jones_2025
LCP_2023_19.0,07/13/2023,70.73433021,-153.8554179,17.0,1,,tp,100,Jones_Jones_2025
LCP_2023_20.0,07/13/2023,70.73432031,-153.8556884,16.0,1,,tp,100,Jones_Jones_2025
LCP_2023_21.0,07/13/2023,70.73431144,-153.8559566,19.0,1,,tp,100,Jones_Jones_2025
LCP_2023_22.0,07/13/2023,70.73422413,-153.8559302,18.0,1,,tp,100,Jones_Jones_2025
LCP_2023_23.0,07/13/2023,70.73423408,-153.8556627,22.0,1,,tp,100,Jones_Jones_2025
LCP_2023_24.0,07/13/2023,70.73424361,-153.8553916,29.0,1,,tp,100,Jones_Jones_2025
LCP_2023_25.0,07/13/2023,70.73425277,-153.8551214,30.0,1,,tp,100,Jones_Jones_2025
LCP_2023_26.0,07/13/2023,70.73426178,-153.8548515,22.0,1,,tp,100,Jones_Jones_2025
LCP_2023_27.0,07/13/2023,70.7342711,-153.8545817,18.0,1,,tp,100,Jones_Jones_2025
LCP_2023_28.0,07/13/2023,70.73428061,-153.8543118,18.0,1,,tp,100,Jones_Jones_2025
LCP_2023_29.0,07/13/2023,70.73428905,-153.8540428,13.0,1,,tp,100,Jones_Jones_2025
LCP_2023_30.0,07/13/2023,70.7342978,-153.8537701,24.0,1,,tp,100,Jones_Jones_2025
LCP_2023_31.0,07/13/2023,70.73430693,-153.8535025,22.0,1,,tp,100,Jones_Jones_2025
LCP_2023_32.0,07/13/2023,70.73431533,-153.8532295,21.0,1,,tp,100,Jones_Jones_2025
LCP_2023_33.0,07/13/2023,70.73422585,-153.8532036,21.0,1,,tp,100,Jones_Jones_2025
LCP_2023_34.0,07/13/2023,70.73421578,-153.8534707,29.0,1,,tp,100,Jones_Jones_2025
LCP_2023_35.0,07/13/2023,70.73420531,-153.8537417,21.0,1,,tp,100,Jones_Jones_2025
LCP_2023_36.0,07/13/2023,70.73419637,-153.8540122,18.0,1,,tp,100,Jones_Jones_2025
LCP_2023_37.0,07/13/2023,70.73418702,-153.8542817,29.0,1,,tp,100,Jones_Jones_2025
LCP_2023_38.0,07/13/2023,70.73417855,-153.8545538,17.0,1,,tp,100,Jones_Jones_2025
LCP_2023_39.0,07/13/2023,70.73417099,-153.8548221,22.0,1,,tp,100,Jones_Jones_2025
LCP_2023_40.0,07/13/2023,70.73416177,-153.8550926,23.0,1,,tp,100,Jones_Jones_2025
LCP_2023_41.0,07/13/2023,70.73415257,-153.8553613,19.0,1,,tp,100,Jones_Jones_2025
LCP_2023_42.0,07/13/2023,70.73414313,-153.8556319,23.0,1,,tp,100,Jones_Jones_2025
LCP_2023_43.0,07/13/2023,70.73413479,-153.8558986,29.0,1,,tp,100,Jones_Jones_2025
LCP_2023_44.0,07/13/2023,70.7340448,-153.8558714,28.0,1,,tp,100,Jones_Jones_2025
LCP_2023_45.0,07/13/2023,70.73405408,-153.8556012,20.0,1,,tp,100,Jones_Jones_2025
LCP_2023_46.0,07/13/2023,70.73406379,-153.8553333,24.0,1,,tp,100,Jones_Jones_2025
LCP_2023_47.0,07/13/2023,70.73407316,-153.8550606,20.0,1,,tp,100,Jones_Jones_2025
LCP_2023_48.0,07/13/2023,70.73408156,-153.8547927,27.0,1,,tp,100,Jones_Jones_2025
LCP_2023_49.0,07/13/2023,70.73409006,-153.8545234,25.0,1,,tp,100,Jones_Jones_2025
LCP_2023_50.0,07/13/2023,70.73409901,-153.8542541,24.0,1,,tp,100,Jones_Jones_2025
LCP_2023_51.0,07/13/2023,70.73410883,-153.8539846,27.0,1,,tp,100,Jones_Jones_2025
LCP_2023_52.0,07/13/2023,70.73411799,-153.8537157,18.0,1,,tp,100,Jones_Jones_2025
LCP_2023_53.0,07/13/2023,70.73412821,-153.8534449,22.0,1,,tp,100,Jones_Jones_2025
LCP_2023_54.0,07/13/2023,70.73413585,-153.8531712,21.0,1,,tp,100,Jones_Jones_2025
LCP_2023_55.0,07/13/2023,70.73404714,-153.8531451,35.0,1,,tp,100,Jones_Jones_2025
LCP_2023_56.0,07/13/2023,70.7340386,-153.8534164,24.0,1,,tp,100,Jones_Jones_2025
LCP_2023_57.0,07/13/2023,70.73402863,-153.8536862,23.0,1,,tp,100,Jones_Jones_2025
LCP_2023_58.0,07/13/2023,70.73401985,-153.8539554,19.0,1,,tp,100,Jones_Jones_2025
LCP_2023_59.0,07/13/2023,70.73401096,-153.8542266,24.0,1,,tp,100,Jones_Jones_2025
LCP_2023_60.0,07/13/2023,70.73400188,-153.8544937,26.0,1,,tp,100,Jones_Jones_2025
LCP_2023_61.0,07/13/2023,70.73399269,-153.8547652,34.0,1,,tp,100,Jones_Jones_2025
LCP_2023_62.0,07/13/2023,70.73398431,-153.8550344,25.0,1,,tp,100,Jones_Jones_2025
LCP_2023_63.0,07/13/2023,70.73397432,-153.855305,21.0,1,,tp,100,Jones_Jones_2025
LCP_2023_64.0,07/13/2023,70.73396499,-153.8555736,20.0,1,,tp,100,Jones_Jones_2025
LCP_2023_65.0,07/13/2023,70.73395538,-153.8558436,20.0,1,,tp,100,Jones_Jones_2025
LCP_2023_66.0,07/13/2023,70.73386848,-153.8558108,31.0,1,,tp,100,Jones_Jones_2025
LCP_2023_67.0,07/13/2023,70.73387982,-153.8555434,22.0,1,,tp,100,Jones_Jones_2025
LCP_2023_68.0,07/13/2023,70.73388856,-153.855275,32.0,1,,tp,100,Jones_Jones_2025
LCP_2023_69.0,07/13/2023,70.73389772,-153.8550017,24.0,1,,tp,100,Jones_Jones_2025
LCP_2023_70.0,07/13/2023,70.73390401,-153.8547335,20.0,1,,tp,100,Jones_Jones_2025
LCP_2023_71.0,07/13/2023,70.73391466,-153.8544665,21.0,1,,tp,100,Jones_Jones_2025
LCP_2023_72.0,07/13/2023,70.73392399,-153.854195,22.0,1,,tp,100,Jones_Jones_2025
LCP_2023_73.0,07/13/2023,70.73393271,-153.8539239,29.0,1,,tp,100,Jones_Jones_2025
LCP_2023_74.0,07/13/2023,70.73394168,-153.8536542,26.0,1,,tp,100,Jones_Jones_2025
LCP_2023_75.0,07/13/2023,70.73394967,-153.8533846,25.0,1,,tp,100,Jones_Jones_2025
LCP_2023_76.0,07/13/2023,70.73395877,-153.8531144,22.0,1,,tp,100,Jones_Jones_2025
LCP_2023_77.0,07/13/2023,70.73387031,-153.8530834,22.0,1,,tp,100,Jones_Jones_2025
LCP_2023_78.0,07/13/2023,70.73386129,-153.8533535,31.0,1,,tp,100,Jones_Jones_2025
LCP_2023_79.0,07/13/2023,70.7338518,-153.8536213,24.0,1,,tp,100,Jones_Jones_2025
LCP_2023_80.0,07/13/2023,70.73384231,-153.8538929,29.0,1,,tp,100,Jones_Jones_2025
LCP_2023_81.0,07/13/2023,70.7338326,-153.8541622,20.0,1,,tp,100,Jones_Jones_2025
LCP_2023_82.0,07/13/2023,70.73382411,-153.8544298,30.0,1,,tp,100,Jones_Jones_2025
LCP_2023_83.0,07/13/2023,70.73381533,-153.854701,20.0,1,,tp,100,Jones_Jones_2025
LCP_2023_84.0,07/13/2023,70.7338063,-153.8549701,23.0,1,,tp,100,Jones_Jones_2025
LCP_2023_85.0,07/13/2023,70.73379673,-153.855239,19.0,1,,tp,100,Jones_Jones_2025
LCP_2023_86.0,07/13/2023,70.73378632,-153.8555112,28.0,1,,tp,100,Jones_Jones_2025
LCP_2023_87.0,07/13/2023,70.73377825,-153.8557822,23.0,1,,tp,100,Jones_Jones_2025
LCP_2023_88.0,07/13/2023,70.73368776,-153.8557531,30.0,1,,tp,100,Jones_Jones_2025
LCP_2023_89.0,07/13/2023,70.73369637,-153.8554825,23.0,1,,tp,100,Jones_Jones_2025
LCP_2023_90.0,07/13/2023,70.73370624,-153.8552144,19.0,1,,tp,100,Jones_Jones_2025
LCP_2023_91.0,07/13/2023,70.73371618,-153.8549417,32.0,1,,tp,100,Jones_Jones_2025
LCP_2023_92.0,07/13/2023,70.73372636,-153.854673,32.0,1,,tp,100,Jones_Jones_2025
LCP_2023_93.0,07/13/2023,70.73373612,-153.8544029,25.0,1,,tp,100,Jones_Jones_2025
LCP_2023_94.0,07/13/2023,70.73374486,-153.8541318,21.0,1,,tp,100,Jones_Jones_2025
LCP_2023_95.0,07/13/2023,70.73375451,-153.8538639,21.0,1,,tp,100,Jones_Jones_2025
LCP_2023_96.0,07/13/2023,70.73376424,-153.853591,28.0,1,,tp,100,Jones_Jones_2025
LCP_2023_97.0,07/13/2023,70.733773,-153.8533243,22.0,1,,tp,100,Jones_Jones_2025
