SiteIDYear,SiteID,Year,Date,Project,ObservEnv,ObservSoil,ObservVeg,LocEcoregion,LocLandmark,LatWGS84,LonWGS84,ElevEllip_m,PlotType,PlotSize,PhysiogName,TopoMacroName,TopoMicroName,Terrain Title,TkarstName,DrainageName,NWI_name,SoilMoistureName,WaterDep_cm,DomText_Name,SiteChem_name,SitepH,SiteEC_uScm,SoilOrgSurfThk_cm,SoilOrgCum40_cm,SoilOrgPostTK_cm,SoilThawDep_cm,SoilCryoturb,SoilPFrost,SoilRockDep_cm,SoilIceWdgDep_cm,SoilObsDep_cm,SoilStrat,SoilSamples,VegetationTitle,EcoStructName,VegMethod,Disturbance_Name
GOSL-T2-250-WT-2014,GOSL-T2-250-WT,2014,8/14/2014 0:00,NPS LTEM,Jorgenson,,,Tanana-Kuskokwim Lowlands,Gosling Lake,63.91,-151.90,202.2415,Dlog,point,Lacustrine,Waterbodies,Water,Shallow Isolated Thaw Lake,Shallow Lake,Flooded,Permanently flooded,Aquatic,98,Water,Circumneutral,999,999,999,999,999,999,u,n,999,999,0,n,n,Fresh Water,Low Scrub,n,Thermokarst
GOSL-T1-167-2005,GOSL-T1-167,2005,8/16/2014 0:00,NPS LTEM,Jorgenson,,Jorgenson,Tanana-Kuskokwim Lowlands,Gosling Lake,63.91,-151.90,207.7692,Photo,3 m rad,Lacustrine,Waterbodies,Water,Shallow Isolated Thaw Lake,Shallow Lake,Flooded,Permanently flooded,Aquatic,95,Water,Circumneutral,999,999,999,999,999,999,u,n,999,999,0,n,n,Fresh Water,Shallow Lake,n,Thermokarst
GOSL-T1-100-2005,GOSL-T1-100,2005,9/25/2005 0:00,NSF PF Dynamics,mtj,,mtj,Tanana-Kuskokwim Lowlands,Gosling Lake,63.91,-151.90,230,Perm-Soil,10,Lowland,Flat Or Fluvial Related,Hummocks (mineral cored),Peat plateau Bog,Undergraded,Somewhat poorly drained,Saturated,Moist,-45,Peat,Acidic,3.3,240,278,40,0,44,n,Y,999,999,295,y,y,Black Spruce Woodland,Needleleaf Woodland,O,Absent/none (mature vegetation)
GOSL-T2-075-2005,GOSL-T2-075,2005,9/23/2005 0:00,NSF PF Dynamics,mtj,,mtj,Tanana-Kuskokwim Lowlands,Gosling Lake,63.91,-151.91,210,Perm-Soil-Veg,10,Lowland,Flat Or Fluvial Related,Hummocks (mineral cored),Peat plateau Bog,Undergraded,Somewhat poorly drained,Saturated,Moist,-58,Peat,Acidic,3.2,90,142,40,0,62,n,Y,999,999,280,y,y,"Open Low Scrub, post burn or disturbance",Post-fire Scrub,O,Absent/none (mature vegetation)
GOSL-E1-2005,GOSL-E1,2005,9/22/2005 0:00,NSF PF Dynamics,Jorgenson/Kanevskiy,Jorgenson/Kanevskiy,mtj,Tanana-Kuskokwim Lowlands,Gosling Lake,63.91,-151.90,212,Perm-Soil-Veg,10,Lowland,Crest,Hummocks (mineral cored),Peat plateau Bog,Collapse-block Shore,Somewhat poorly drained,Saturated,Moist,-80,Peat,Acidic,3.2,190,160,40,31,80,y,Y,999,999,337,y,n,Open Black Spruce Forest,No data,O,Thermokarst
GOSL-E2-2005,GOSL-E2,2005,9/25/2005 0:00,NSF PF Dynamics,Jorgenson/Kanevskiy,Jorgenson/Kanevskiy,mtj,Tanana-Kuskokwim Lowlands,Gosling Lake,63.91,-151.89,212,Perm-Soil-Veg,10,Lowland,Flat Or Fluvial Related,Hummocks (mineral cored),Peat plateau Bog,Collapse-block Shore,Somewhat poorly drained,Saturated,Moist,-72,Peat,Acidic,2.9,240,72,40,72,72,n,y,999,999,423,y,y,Black Spruce Woodland,No data,O,Thermokarst
GOSL-T1-015-2014,GOSL-T1-015,2014,8/16/2014 0:00,NPS LTEM,Jorgenson,Jorg/Schiro,Roland/Stehn,Tanana-Kuskokwim Lowlands,Gosling Lake,63.91,-151.90,214.2579,Perm-Soil-Veg,5 m rad,Lowland,Flat Or Fluvial Related,Hummocks (mineral cored),Peat plateau Bog,Undergraded,Somewhat poorly drained,Saturated,Moist,-36,Peat,Acidic,3.6,98,166,40,0,40,n,y,999,999,302,y,y,Black Spruce Woodland,Needleleaf Woodland,PM,Absent/none (mature vegetation)
GOSL-T1-044-2005,GOSL-T1-044,2005,9/25/2005 0:00,NSF PF Dynamics,Jorgenson,Jorg/Kanev,,Tanana-Kuskokwim Lowlands,Gosling Lake,63.91,-151.90,212,Perm-Soil-Veg,5 m rad,Lowland,Flat Or Fluvial Related,NONPATTERNED,Peat plateau Bog,Undergraded,Somewhat poorly drained,Saturated,Moist,-40,Peat,Acidic,3.4,3.2,168,40,49,43,n,y,999,999,201,y,y,Black Spruce Woodland,Needleleaf Woodland,O,Absent/none (mature vegetation)
GOSL-T1-040-ST-2005,GOSL-T1-040-ST,2005,9/25/2005 0:00,NSF PF Dynamics,mtj,,mtj,Tanana-Kuskokwim Lowlands,Gosling Lake,63.91,-151.90,212,Dlog,point,Lowland,Flat Or Fluvial Related,Hummocks (mineral cored),Peat plateau Bog,Not determined,Somewhat poorly drained,Saturated,Moist,-42,Peat,Acidic,3.4,110,167,40,,49,n,Y,999,,167,N,0,Black Spruce Woodland,No data,,Absent/none (mature vegetation)
GOSL-T2-125-5S-2014,GOSL-T2-125-5S,2014,8/14/2014 0:00,NPS LTEM,Jorgenson,Jorg/Schiro,,Tanana-Kuskokwim Lowlands,Gosling Lake,63.91,-151.91,210,Perm-Soil,1 m rad,Lowland,Permafrost Plateau,NONPATTERNED,Peat plateau Bog,Undergraded,Somewhat poorly drained,Saturated,Moist,-43,Peat,Acidic,3.8,54,110,40,36,45,n,y,999,999,210,y,n,Open Low Ericaceous Shrub Bog,Bog Dwarf Scrub,O,Absent/none (mature vegetation)
GOSL-T1-100-2014,GOSL-T1-100,2014,8/16/2014 0:00,NPS LTEM,Jorgenson,,Roland/Stehn,Tanana-Kuskokwim Lowlands,Gosling Lake,63.91,-151.90,230,Veg,10,Lowland,Flat Or Fluvial Related,Hummocks (mineral cored),Peat plateau Bog,Undergraded,Somewhat poorly drained,Saturated,Moist,-35,Peat,Acidic,3.3,240,999,999,999,39,n,Y,999,999,0,n,n,Black Spruce Woodland,Needleleaf Woodland,PM,Absent/none (mature vegetation)
GOSL-T2-125-5S-2021,GOSL-T2-125-5S,2021,9/22/2021 0:00,NPS LTEM,Jorgenson,,Jorgenson,Tanana-Kuskokwim Lowlands,Gosling Lake,63.91,-151.91,210,Veg,1 m rad,no data,no data,no data,Peat plateau Bog,Undergraded,Somewhat poorly drained,Saturated,Moist,-40,Peat,Acidic,999,999,999,999,,999,U,y,999,,,n,n,Open Low Ericaceous Shrub Bog,Bog Dwarf Scrub,O,Absent/none (mature vegetation)
