SiteIDYear,SiteID,Year,Date,Project,ObservEnv,ObservSoil,ObservVeg,LocEcoregion,LocLandmark,LatWGS84,LonWGS84,ElevEllip_m,PlotType,PlotSize,PhysiogName,TopoMacroName,TopoMicroName,Terrain Title,TkarstName,DrainageName,NWI_name,SoilMoistureName,WaterDep_cm,DomText_Name,SiteChem_name,SitepH,SiteEC_uScm,SoilOrgSurfThk_cm,SoilOrgCum40_cm,SoilOrgPostTK_cm,SoilThawDep_cm,SoilCryoturb,SoilPFrost,SoilRockDep_cm,SoilIceWdgDep_cm,SoilObsDep_cm,SoilStrat,SoilSamples,VegetationTitle,EcoStructName,VegMethod,Disturbance_Name
JG-DA1-2014,JG-DA1,2014,7/30/2014 0:00,NSF Ice-wedge Degradation,Jorgenson,na,na,Beaufort Coastal Plain,Jago,69.74704,-143.60363,147,Monit-Perm-Dlog,5x2m,Lacustrine,Plateau,Mixed pits and polygons,Sandy Older Till,Thermokarst Troughs and Pits,Flooded,Permanently flooded,Aquatic,40,Organic-rich,Alkaline,999,999,999,999,999,999,U,P,999,999,999,n,n,Aquatic Bryophyte,Aquatic Moss,N,Thermokarst
JG-SI1-2009,JG-SI1,2009,8/10/2009 0:00,NSF Ice-wedge Degradation,Jorgenson,Jorgenson/Kanevskiy,Jorgenson,Beaufort Coastal Plain,Jago,69.74702,-143.60673,148,Monit-Perm-Veg-Dlog,8x2m,Lacustrine,Plateau,Mixed pits and polygons,Organic Fen,Thermokarst Troughs and Pits,Flooded,Semipermanently flooded,Aquatic,11,Peat,Circumneutral,7,73,26,26,6,53,p,p,999,61,100,y,Y,Wet Sedge Meadow Tundra,Sedge Marsh,P,Thermokarst
JG-SI2-2009,JG-SI2,2009,8/10/2009 0:00,NSF Ice-wedge Degradation,Jorgenson,Jorgenson/Kanevskiy,Jorgenson,Beaufort Coastal Plain,Jago,70.90489,-153.20429,145,Monit-Perm-Veg-Dlog,5x2m,Lacustrine,Plateau,Mixed pits and polygons,Sandy Older Till,Thermokarst Troughs and Pits,Flooded,Semipermanently flooded,Aquatic,18,Organic-rich,Circumneutral,6.9,135,25,21,15,58,p,p,999,65,80,y,Y,Wet Sedge Meadow Tundra,Sedge Marsh,P,Thermokarst
JG-SI3-2009,JG-SI3,2009,8/10/2009 0:00,NSF Ice-wedge Degradation,Jorgenson,Jorgenson/Kanevskiy,Jorgenson,Beaufort Coastal Plain,Jago,70.28585,-150.90731,152,Monit-Perm-Veg-Dlog,8x2m,Lacustrine,Plateau,Mixed pits and polygons,Sandy Older Till,Thermokarst Troughs and Pits,Flooded,Semipermanently flooded,Aquatic,18,Organic-rich,Circumneutral,6.8,120,33,21,19,50,p,p,999,62,103,y,Y,Wet Sedge Meadow Tundra,Sedge Marsh,P,Thermokarst
JG-DA1-2009,JG-DA1,2009,8/10/2009 0:00,NSF Ice-wedge Degradation,Jorgenson,Jorgenson/Kanevskiy,Jorgenson,Beaufort Coastal Plain,Jago,70.49222,-149.29500,147,Monit-Perm-Veg-Dlog,5x2m,Lacustrine,Plateau,Mixed pits and polygons,Sandy Older Till,Thermokarst Troughs and Pits,Flooded,Permanently flooded,Aquatic,35,Organic-rich,Circumneutral,7,250,18,36,0,44,p,p,999,44,85,y,Y,Fresh Water,Shallow Lake,P,Thermokarst
JG-DA2-2009,JG-DA2,2009,8/10/2009 0:00,NSF Ice-wedge Degradation,Jorgenson,Jorgenson/Kanevskiy,Jorgenson,Beaufort Coastal Plain,Jago,70.87078,-152.52225,144,Monit-Perm-Veg-Dlog,5x2m,Lacustrine,Plateau,Mixed pits and polygons,Sandy Older Till,Thermokarst Troughs and Pits,Flooded,Permanently flooded,Aquatic,48,Organic-rich,Circumneutral,6.9,225,26,28,0,42,p,p,999,48,68,y,Y,Aquatic Bryophyte,Aquatic Moss,P,Thermokarst
JG-DA3-2009,JG-DA3,2009,8/12/2009 0:00,NSF Ice-wedge Degradation,Jorgenson,Jorgenson/Kanevskiy,Jorgenson,Beaufort Coastal Plain,Jago,70.87078,-152.52225,150,Monit-Perm-Veg-Dlog,5x2m,Lacustrine,Plateau,Mixed pits and polygons,Sandy Older Till,Thermokarst Troughs and Pits,Flooded,Permanently flooded,Aquatic,46,Organic-rich,Circumneutral,6.9,137,17,33,0,62,p,p,999,73,90,y,Y,Fresh Sedge Marsh,Aquatic Moss,P,Thermokarst
JG-G01-2011,JG-G01,2011,8/3/2011 0:00,NSF Ice-wedge Degradation,Jorgenson,Jorgenson,JCJ-Boldenow,Beaufort Coastal Plain,Jago,70.54743,-152.08768,149,Soil-Veg,5m rad,Lacustrine,Plateau,Mixed pits and polygons,Sandy Older Till,Thermokarst Troughs and Pits,Flooded,Permanently flooded,Aquatic,65,Organic-rich,Circumneutral,5.8,124,999,999,999,34,u,p,999,999,34,n,n,Fresh Sedge Marsh,Sedge Marsh,O,Thermokarst
JG-G02-2011,JG-G02,2011,8/3/2011 0:00,NSF Ice-wedge Degradation,Jorgenson,Jorgenson,JCJ-Boldenow,Beaufort Coastal Plain,Jago,69.25125,-150.73357,149,Soil-Veg,5m rad,Lacustrine,Plateau,Mixed pits and polygons,Organic Fen,Thermokarst Troughs and Pits,Flooded,Permanently flooded,Aquatic,17,Peat,Circumneutral,6.1,85,33,40,19,53,p,p,999,999,40,y,n,Fresh Sedge Marsh,Sedge Marsh,O,Thermokarst
JG-G03-2011,JG-G03,2011,8/3/2011 0:00,NSF Ice-wedge Degradation,Jorgenson,Jorgenson,JCJ-Boldenow,Beaufort Coastal Plain,Jago,70.18785,-150.87084,148,Soil-Veg,5m rad,Lacustrine,Plateau,Mixed pits and polygons,Sandy Older Till,Thermokarst Troughs and Pits,Flooded,Permanently flooded,Aquatic,55,Organic-rich,Circumneutral,6.3,96,999,999,999,54,u,p,999,999,54,n,n,Fresh Sedge Marsh,Sedge Marsh,O,Thermokarst
