site_id,date,lat,lon,thaw_depth,pf_observed,pf_depth,method,obs_limit,org_thick,source
JG-DA1,07/30/2014,69.74704,-143.60363,,1,,unknown,,,Jorgenson_Kanevskiy_2022_Jago
JG-SI1,08/10/2009,69.74702,-143.60673,53.0,1,53.0,unknown,100.0,26.0,Jorgenson_Kanevskiy_2022_Jago
JG-SI2,08/10/2009,70.90489,-153.20429,58.0,1,58.0,unknown,80.0,25.0,Jorgenson_Kanevskiy_2022_Jago
JG-SI3,08/10/2009,70.28585,-150.90731,50.0,1,50.0,unknown,103.0,33.0,Jorgenson_Kanevskiy_2022_Jago
JG-DA1,08/10/2009,70.49222,-149.295,44.0,1,44.0,unknown,85.0,18.0,Jorgenson_Kanevskiy_2022_Jago
JG-DA2,08/10/2009,70.87078,-152.52225,42.0,1,42.0,unknown,68.0,26.0,Jorgenson_Kanevskiy_2022_Jago
JG-DA3,08/12/2009,70.87078,-152.52225,62.0,1,62.0,unknown,90.0,17.0,Jorgenson_Kanevskiy_2022_Jago
JG-G01,08/03/2011,70.54743,-152.08768,34.0,1,34.0,unknown,34.0,,Jorgenson_Kanevskiy_2022_Jago
JG-G02,08/03/2011,69.25125,-150.73357,53.0,1,53.0,unknown,40.0,33.0,Jorgenson_Kanevskiy_2022_Jago
JG-G03,08/03/2011,70.18785,-150.87084,54.0,1,54.0,unknown,54.0,,Jorgenson_Kanevskiy_2022_Jago
JG-G06,08/03/2011,65.34264,-146.91065,58.0,1,58.0,unknown,58.0,,Jorgenson_Kanevskiy_2022_Jago
JG-G07,08/03/2011,65.34842,-146.91329,58.0,1,58.0,unknown,58.0,,Jorgenson_Kanevskiy_2022_Jago
JG-G08,08/03/2011,65.35118,-146.91369,34.0,1,34.0,unknown,34.0,,Jorgenson_Kanevskiy_2022_Jago
JG-G11,08/03/2011,71.29509,-156.71465,89.0,1,89.0,unknown,89.0,,Jorgenson_Kanevskiy_2022_Jago
JG-G14,08/03/2011,71.29508,-156.71464,41.0,1,41.0,unknown,41.0,,Jorgenson_Kanevskiy_2022_Jago
JG-WTA1,01/29/2018,70.2396,-150.98087,59.0,1,59.0,unknown,93.0,34.0,Jorgenson_Kanevskiy_2022_Jago
JG-WTA2,08/02/2018,65.56756,-148.92485,48.0,1,48.0,unknown,91.0,35.0,Jorgenson_Kanevskiy_2022_Jago
JG-DA1,07/29/2011,70.16356,-148.45906,52.0,1,52.0,unknown,52.0,36.0,Jorgenson_Kanevskiy_2022_Jago
JG-DA1,07/31/2016,70.47067,-157.40775,45.0,1,45.0,unknown,,,Jorgenson_Kanevskiy_2022_Jago
JG-DA2,07/29/2011,70.46819,-157.40889,46.0,1,46.0,unknown,46.0,36.0,Jorgenson_Kanevskiy_2022_Jago
JG-DA2,07/31/2016,70.46542,-157.45056,53.0,1,53.0,unknown,,,Jorgenson_Kanevskiy_2022_Jago
JG-SI2,07/30/2018,70.1339,-143.65574,28.0,1,28.0,unknown,56.0,28.0,Jorgenson_Kanevskiy_2022_Jago
JG-SI3,07/31/2018,70.13368,-143.65576,50.0,1,50.0,unknown,81.0,24.0,Jorgenson_Kanevskiy_2022_Jago
JG-DA3,08/01/2018,70.13307,-143.65595,50.0,1,50.0,unknown,120.0,,Jorgenson_Kanevskiy_2022_Jago
