"a","auger"
"c","corer"
"dhs","drilling, hollow stem"
"e","bank exposure"
"eh","exposure and hole saw"
"f","surFace"
"g","grab"
"h","hole saw"
"k","knife-cube"
"l","plug"
"la","plug and auger"
"lc","plug and corer"
"lk","plug and knife"
"lm","plug and metal rod"
"lr","plog and metal rod"
"ls","plug and SIPRE"
"lt","plug and tube"
"n","none"
"na","not applicable"
"nd","no data"
"p","pit"
"pc","pit and corer"
"pl","pit and plug"
"pr","pit and metal rod"
"PS","pit and sipre corer"
"r","metal rod"
"s","sipre corer"
"SR","Sipre and metal rod"
"t","tube/push probe"
"v","shovel"
