"CryoStrat_Code","Cryostrat_CodeMZK","Cryostrat_Name","Cryostrat_Descr","Used"
"PF","PF","Permafrost, undifferentiated",,"y"
"PC",,"Cryotic Permafrost","(saline)",
"PE","EP","Epigenetic Permafrost","epigenetic permafrost (variable ice content but mainly ice-poor)","y"
"PG",,"Glacigenetic Permafrost","Frozen ice-poor till","y"
"PER","PSP","Epigenetic Permafrost, Refrozen","para-syngenetic permafrost (refrozen deposits of closed taliks, lacustrine and taberal deposits, mainly ice-poor)","y"
"PS","SP","Syngenetic Permafrost",,"y"
"UU",,"Unfrozen, undifferentiated",,"y"
"UE",,"Unfrozen Exposures","Name for permafrost type","y"
"UT",,"Unfrozen, closed talik","unfrozen zone between surface and subsurface permafrost","y"
"ALU","ALU","Active layer, unfrozen",,"y"
"ALF","ALF","Active layer, frozen","also SF seasonal frost in discontinuous","y"
"TL","TL","Transient layer","Below active layer, subject to thaw during extreme years, , old PT","y"
"AT","ALF-TL","ALF-TL Undifferentiated","undifferentiated (no distinctive boundary between AL and TL)","y"
"PQ","IL","Quasi-syngenetic Permafrost, undifferentiated","intermediate layer, undifferentiated","y"
"PQD","IL-MC","Quasi-syngenetic Permafrost, discontinuous zone","intermediate layer, typical mainly of the discontinuous PF zone (thin belts, micro-cryostructures)","y"
"TLP","TL-IL","Transient Layer-PF, or TL-IL, Undifferentiated","TL-PF undifferentiated, types of PF also undifferentiated","y"
"MWS","IWS","Ice Wedge, Syngenetic",,"y"
"MWE","IWE","Ice Wedge, Epigenetic",,"y"
"MC","TCI","Thermokarst Cave Ice","also Tunnel ice","y"
"MG","BGI","Buried Glacial Ice",,"y"
"MI",,"Intrusive Ice",,"y"
"UB",,"Unfrozen, below permafrost","also for open taliks below PF",
"MU",,"Massive Ice, undifferentiated",,"y"
"PQB","QSP","Quasi-syngenetic permafrost, Buried","buried IL, usually ice-rich","y"
"PP","PSP","Para-syngenetic Permafrost","refreezing of closed talik or tunnel from surrounding permafrost, includes para-syngenetic of MZK, does not differentiate in sedimentation active or inactive, paragenesis. From the Greek for ""born beside"".","y"
"PQW","IL-WD","Quasi-syngenetic Permafrost, Well-developed","intermediate layer from AL thinning, well developed (thick belts, mainly ataxitic cryostructure","y"
"PQP","IL-PD","Quasi-syngenetic Permafrost, Poorly-developed","intermediate layer, poorly developed (relatively ice-poor, mainly reticulate and/or braided c/s, no well-developed belts)","y"
"SW",,"Surface Water, frozen",,"y"
"nd",,"NoData",,"y"
"need",,"Need","Need to complete, info available","y"
"FM",,"Multi-year Frost","Seasonal or Multi-year Frost",
"PEC",,"Epigenetic Permafrost, Cave","Cave ice in thaw cavity","y"
