site_id,lat,lon,date,org_thick,thaw_depth,pf_depth,pf_observed,obs_limit,method,source
01GALB,68.48,-149.47,2001-07-21,22.0,55.0,55.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
05Sagwon,69.44,-148.62,2005-07-09,21.0,62.0,62.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
10ImnCrk,68.61,-149.31,2010-07-12,140.0,40.0,,0,210.0,aug_pit,Jorgenson_Kanevskiy_2025
98AK185001,70.16,-148.45,1998-07-01,18.0,54.0,54.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
98AK185001A,70.16,-148.45,1998-07-01,,65.0,65.0,1,75.0,aug_pit,Jorgenson_Kanevskiy_2025
98AK185003,68.06,-149.57,1998-07-01,9.0,40.0,40.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
AL1-TH10-632,69.26,-150.7,2010-09-01,,39.0,39.0,1,400.0,aug_pit,Jorgenson_Kanevskiy_2025
AL2-1,69.25,-150.73,2010-09-08,,42.0,42.0,1,150.0,aug_pit,Jorgenson_Kanevskiy_2025
AL2-2,69.25,-150.73,2010-09-08,,43.0,46.0,1,250.0,aug_pit,Jorgenson_Kanevskiy_2025
AL2-3,69.25,-150.73,2010-09-08,,49.0,52.0,1,200.0,aug_pit,Jorgenson_Kanevskiy_2025
AL2-4,69.25,-150.73,2010-09-09,,150.0,150.0,1,277.0,aug_pit,Jorgenson_Kanevskiy_2025
AL2-5,69.25,-150.72,2010-09-09,,48.0,52.0,1,389.0,aug_pit,Jorgenson_Kanevskiy_2025
AL2-6,69.25,-150.72,2010-09-09,,47.0,47.0,1,110.0,aug_pit,Jorgenson_Kanevskiy_2025
AL2-TH10-631,69.25,-150.72,2010-09-01,,57.0,57.0,1,600.0,aug_pit,Jorgenson_Kanevskiy_2025
AL4-1,69.35,-151.07,2010-09-07,,59.0,59.0,1,100.0,aug_pit,Jorgenson_Kanevskiy_2025
AL4-2,69.35,-151.07,2010-09-07,,39.0,39.0,1,73.0,aug_pit,Jorgenson_Kanevskiy_2025
AL4-3,69.35,-151.07,2010-09-07,,34.0,34.0,1,270.0,aug_pit,Jorgenson_Kanevskiy_2025
AL4-4,69.35,-151.07,2010-09-07,,36.0,36.0,1,220.0,aug_pit,Jorgenson_Kanevskiy_2025
AL4-5,69.35,-151.07,2010-09-08,,43.0,49.0,1,130.0,aug_pit,Jorgenson_Kanevskiy_2025
AR6-1,69.32,-150.97,2010-09-10,,46.0,46.0,1,190.0,aug_pit,Jorgenson_Kanevskiy_2025
